Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051103";"Schmedeswurth";"Gemeinden";"-13,95";"31,11";"-29,70";"14,02";"-23,81";"-5,13";"-16,39";"-45,45";"-5,52"
"01051104";"Schrum";"Gemeinden";"131,58";"-24,69";"-180,56";"-12,99";"-37,50";"-14,08";"57,97";"0,00";"50,63"
"01051105";"Schülp";"Gemeinden";"-2,07";"-8,47";"10,48";"30,55";"-19,31";"15,42";"-7,44";"-23,50";"17,95"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"-32,94";"54,88";"6,26";"30,99";"53,83";"15,80";"54,63";"20,36";"31,71"
"01051108";"Strübbel";"Gemeinden";"23,26";"-60,98";"22,22";"42,11";"-21,74";"0,00";"-11,63";"21,51";"26,67"
"01051109";"Süderdeich";"Gemeinden";"-14,03";"-27,40";"-5,56";"-7,52";"-11,88";"4,28";"2,11";"19,69";"18,39"
"01051110";"Süderhastedt";"Gemeinden";"25,35";"34,28";"-6,96";"22,94";"-6,98";"28,84";"-22,28";"1,32";"12,76"
"01051113";"Wöhrden";"Gemeinden";"4,03";"39,06";"2,20";"2,99";"1,51";"-20,65";"4,01";"5,54";"10,84"
"01051114";"Tellingstedt";"Gemeinden";"2,44";"21,76";"-24,54";"-2,00";"13,40";"-2,66";"-7,31";"21,31";"7,76"
"01051117";"Tielenhemme";"Gemeinden";"0,00";"-29,94";"23,26";"-11,43";"-118,06";"22,99";"-6,02";"76,47";"30,67"
"01051118";"Trennewurth";"Gemeinden";"-36,54";"6,76";"-13,89";"-14,98";"7,63";"11,76";"-28,69";"0,00";"-38,63"
"01051119";"Volsemenhusen";"Gemeinden";"-13,89";"-13,48";"5,19";"13,59";"-28,41";"30,22";"22,54";"23,19";"33,13"
"01051120";"Wallen";"Gemeinden";"60,61";"-27,78";"128,21";"-28,57";"-30,30";"138,89";"-58,82";"30,30";"0,00"
"01051121";"Warwerort";"Gemeinden";"30,57";"-39,80";"70,54";"91,84";"-10,07";"12,24";"-29,66";"8,26";"-31,96"
"01051122";"Weddingstedt";"Gemeinden";"9,64";"8,51";"2,54";"-0,43";"-2,62";"6,55";"2,15";"-1,30";"-3,37"
"01051125";"Welmbüttel";"Gemeinden";"-7,48";"-2,44";"-4,38";"23,31";"-33,11";"8,66";"-9,26";"-37,50";"-35,26"
"01051126";"Wennbüttel";"Gemeinden";"-29,41";"12,99";"-35,29";"37,97";"0,00";"-47,06";"54,35";"43,96";"-44,94"
"01051127";"Wesselburen, Stadt";"Gemeinden";"8,99";"-7,75";"-15,04";"-5,50";"12,16";"17,96";"21,88";"4,04";"0,29"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"67,67";"14,60";"-89,55";"55,56";"54,79";"-32,52";"46,73";"-27,52";"45,05"
"01051129";"Wesselburenerkoog";"Gemeinden";"-55,56";"-94,97";"-39,74";"-6,41";"-40,65";"17,96";"18,29";"43,72";"-38,46"
"01051130";"Wesseln";"Gemeinden";"9,17";"-2,29";"-5,29";"-24,63";"-11,64";"16,93";"18,76";"-19,14";"7,29"
"01051131";"Westerborstel";"Gemeinden";"34,88";"0,00";"126,32";"69,31";"-19,23";"-37,04";"-60,00";"9,09";"-44,25"
"01051132";"Westerdeichstrich";"Gemeinden";"-1,16";"28,44";"19,82";"-27,90";"4,27";"31,58";"-9,24";"4,65";"-5,12"
"01051133";"Wiemerstedt";"Gemeinden";"25,81";"-23,53";"-70,59";"-36,14";"-6,10";"-6,37";"-13,16";"-44,87";"0,00"
"01051134";"Windbergen";"Gemeinden";"6,68";"11,19";"25,27";"-7,14";"3,55";"-9,90";"-12,66";"-6,37";"-10,77"
"01051135";"Wolmersdorf";"Gemeinden";"38,22";"19,11";"30,58";"34,68";"-24,24";"-20,47";"12,12";"9,35";"42,68"
"01051136";"Wrohm";"Gemeinden";"-6,94";"14,97";"10,36";"-27,78";"15,26";"-4,42";"15,92";"2,79";"-2,70"
"01051137";"Nordermeldorf";"Gemeinden";"1,54";"-2,99";"-16,59";"-9,05";"-12,68";"21,81";"-3,41";"37,48";"-8,52"
