Kennziffer;Raumeinheit;Aggregat;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben
"01051130";"Wesseln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051131";"Westerborstel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051132";"Westerdeichstrich";"Gemeinden";"23,38";"27,89";"30,88";"33,98";"30,36"
"01051133";"Wiemerstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051134";"Windbergen";"Gemeinden";"0,00";;;"0,00";
"01051135";"Wolmersdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051136";"Wrohm";"Gemeinden";"0,00";;;"0,00";
"01051137";"Nordermeldorf";"Gemeinden";"12,31";"7,12";"7,09";"8,60";"11,11"
"01051138";"Tensbüttel-Röst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051139";"Süderdorf";"Gemeinden";"0,00";;;"0,00";
"01051140";"Oesterwurth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051141";"Süderheistedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053001";"Albsfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053002";"Alt-Mölln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053003";"Aumühle";"Gemeinden";"2,15";"2,16";"2,30";"2,47";"2,40"
"01053004";"Bäk";"Gemeinden";"17,13";"13,86";"13,73";"0,00";
"01053005";"Bälau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053006";"Basedow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053007";"Basthorst";"Gemeinden";"0,00";;;"0,00";
"01053008";"Behlendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053009";"Berkenthin";"Gemeinden";"3,12";"2,73";"4,33";"4,01";"4,21"
"01053010";"Besenthal";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053011";"Bliestorf";"Gemeinden";"0,00";;;"0,00";
"01053012";"Börnsen";"Gemeinden";"0,00";;;"0,00";
"01053013";"Borstorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053014";"Breitenfelde";"Gemeinden";"0,00";;;"0,00";
"01053015";"Bröthen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053016";"Brunsmark";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053017";"Brunstorf";"Gemeinden";"0,00";;;"0,00";
"01053018";"Buchholz";"Gemeinden";"0,00";;;"0,00";
"01053019";"Buchhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053020";"Büchen";"Gemeinden";"0,00";;;"0,00";
"01053021";"Dahmker";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053022";"Dalldorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053023";"Dassendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053024";"Düchelsdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053025";"Duvensee";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053026";"Einhaus";"Gemeinden";"0,00";;;"0,00";
"01053027";"Elmenhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053028";"Escheburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053029";"Fitzen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053030";"Fredeburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053031";"Fuhlenhagen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053032";"Geesthacht, Stadt";"Gemeinden";"1,07";"1,22";"1,10";"0,90";"1,76"
"01053033";"Giesensdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053034";"Göldenitz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053035";"Göttin";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053036";"Grabau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053037";"Grambek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053038";"Grinau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053039";"Groß Boden";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053040";"Groß Disnack";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053041";"Groß Grönau";"Gemeinden";"0,00";;;"0,00";
"01053042";"Groß Pampau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053043";"Groß Sarau";"Gemeinden";"0,00";;;"3,96";
"01053044";"Groß Schenkenberg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053045";"Grove";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053046";"Gudow";"Gemeinden";"4,84";"5,67";"6,19";"0,00";
"01053047";"Gülzow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053048";"Güster";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053049";"Hamfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053050";"Hamwarde";"Gemeinden";"0,00";;;"0,00";
"01053051";"Harmsdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053052";"Havekost";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053053";"Hohenhorn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053054";"Hollenbek";"Gemeinden";"0,00";;;"0,00";
"01053056";"Hornbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053057";"Horst";"Gemeinden";"0,00";;;"0,00";
"01053058";"Juliusburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053059";"Kankelau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053060";"Kasseburg";"Gemeinden";"0,00";;;"0,00";
"01053061";"Kastorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053062";"Kittlitz";"Gemeinden";"0,00";;;"0,00";
"01053064";"Klein Pampau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053066";"Klein Zecher";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053067";"Klempau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053068";"Klinkrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053069";"Koberg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053070";"Köthel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053071";"Kollow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053073";"Krüzen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053074";"Krukow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053075";"Krummesse";"Gemeinden";"0,00";;;"0,00";
"01053076";"Kuddewörde";"Gemeinden";"0,00";;;"0,00";
"01053077";"Kühsen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053078";"Kulpin";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053079";"Labenz";"Gemeinden";"0,00";;;"0,00";
"01053080";"Langenlehsten";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053081";"Lankau";"Gemeinden";"0,00";;;"0,00";
"01053082";"Lanze";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053083";"Lauenburg/ Elbe, Stadt";"Gemeinden";"4,50";"3,73";"3,98";"2,64";"4,42"
"01053084";"Lehmrade";"Gemeinden";"0,00";;;"0,00";
"01053085";"Linau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053086";"Lüchow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053087";"Lütau";"Gemeinden";"0,00";;;"0,00";
"01053088";"Mechow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053089";"Möhnsen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053090";"Mölln, Stadt";"Gemeinden";"11,03";"11,55";"11,51";"7,25";"8,92"
"01053091";"Mühlenrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053092";"Müssen";"Gemeinden";"0,00";;;"0,00";
"01053093";"Mustin";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053094";"Niendorf bei Berkenthin";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053095";"Niendorf/ Stecknitz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053096";"Nusse";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053097";"Panten";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053098";"Pogeez";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053099";"Poggensee";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053100";"Ratzeburg, Stadt";"Gemeinden";"9,14";"9,07";"10,03";"10,41";"12,48"
"01053101";"Ritzerau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053102";"Römnitz";"Gemeinden";"0,00";;;"0,00";
"01053103";"Rondeshagen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053104";"Roseburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053105";"Sachsenwald (Forstgutsbez.),gemfr.Geb.";"Gemeinden";"0,00";;;;
"01053106";"Sahms";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053107";"Salem";"Gemeinden";"0,00";;"20,66";"4,25";"2,53"
"01053108";"Sandesneben";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053109";"Schiphorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053110";"Schmilau";"Gemeinden";"18,26";"15,34";;"0,00";"14,15"
"01053111";"Schnakenbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053112";"Schönberg";"Gemeinden";"0,00";;;"0,00";
"01053113";"Schretstaken";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053114";"Schürensöhlen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053115";"Schulendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053116";"Schwarzenbek, Stadt";"Gemeinden";"0,79";"1,15";"1,26";"0,57";"1,02"
"01053117";"Seedorf";"Gemeinden";"11,80";"19,28";"22,81";"18,32";"22,94"
"01053118";"Siebenbäumen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053119";"Siebeneichen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053120";"Sierksrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053121";"Sirksfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053122";"Steinhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053123";"Sterley";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053124";"Stubben";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053125";"Talkau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053126";"Tramm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053127";"Walksfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053128";"Wangelau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053129";"Wentorf bei Hamburg";"Gemeinden";"0,00";;;"0,00";
"01053130";"Wentorf (Amt Sandesneben)";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053131";"Wiershop";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053132";"Witzeeze";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053133";"Wohltorf";"Gemeinden";"0,00";;;"0,00";
"01053134";"Woltersdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053135";"Worth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053136";"Ziethen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054001";"Achtrup";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054002";"Ahrenshöft";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054003";"Ahrenviöl";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054004";"Ahrenviölfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054005";"Alkersum";"Gemeinden";"22,24";"23,18";"44,15";"38,86";"52,18"
"01054006";"Almdorf";"Gemeinden";"0,00";;;"0,00";
"01054007";"Arlewatt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054009";"Aventoft";"Gemeinden";"0,00";;;"0,00";"5,54"
"01054010";"Bargum";"Gemeinden";"0,00";;;"0,00";
"01054011";"Behrendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054012";"Bohmstedt";"Gemeinden";"0,00";;;"0,00";
"01054013";"Bondelum";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054014";"Bordelum";"Gemeinden";"58,94";"59,09";"67,16";"21,54";"66,90"
"01054015";"Borgsum";"Gemeinden";"16,52";;"40,00";"49,88";"52,61"
"01054016";"Bosbüll";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054017";"Braderup";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054018";"Bramstedtlund";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054019";"Bredstedt, Stadt";"Gemeinden";"2,01";"2,75";"3,68";"2,18";"3,20"
"01054020";"Breklum";"Gemeinden";"6,58";"5,67";"7,52";"0,00";"5,52"
"01054022";"Dagebüll";"Gemeinden";"48,26";"52,59";"151,61";"166,58";"158,53"
"01054023";"Drage";"Gemeinden";"0,00";;;"0,00";"0,00"
"01054024";"Drelsdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
