Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"05962";"Märkischer Kreis";"Kreise";"61,53";"63,60";"63,95";"63,86"
"05966";"Olpe";"Kreise";"66,86";"68,64";"68,86";"68,07"
"05970";"Siegen-Wittgenstein";"Kreise";"65,89";"67,19";"66,45";"65,35"
"05974";"Soest";"Kreise";"64,02";"65,42";"65,01";"64,17"
"05978";"Unna";"Kreise";"62,71";"64,27";"63,91";"63,14"
"06411";"Darmstadt, Wissenschaftsstadt";"Kreise";"41,64";"38,74";"35,75";"34,34"
"06412";"Frankfurt am Main, Stadt";"Kreise";"38,91";"36,85";"34,38";"33,05"
"06413";"Offenbach am Main, Stadt";"Kreise";"46,74";"45,14";"43,42";"41,98"
"06414";"Wiesbaden, Landeshauptstadt";"Kreise";"49,54";"49,07";"47,14";"45,84"
"06431";"Bergstraße";"Kreise";"62,77";"62,48";"60,82";"59,72"
"06432";"Darmstadt-Dieburg";"Kreise";"59,71";"59,12";"57,79";"56,83"
"06433";"Groß-Gerau";"Kreise";"58,60";"57,85";"55,65";"54,13"
"06434";"Hochtaunuskreis";"Kreise";"52,80";"51,98";"49,47";"47,82"
"06435";"Main-Kinzig-Kreis";"Kreise";"62,61";"62,80";"61,92";"60,55"
"06436";"Main-Taunus-Kreis";"Kreise";"53,99";"52,61";"50,52";"49,12"
"06437";"Odenwaldkreis";"Kreise";"65,89";"66,01";"65,08";"64,29"
"06438";"Offenbach";"Kreise";"57,05";"56,22";"54,59";"53,17"
"06439";"Rheingau-Taunus-Kreis";"Kreise";"61,98";"61,79";"60,26";"58,79"
"06440";"Wetteraukreis";"Kreise";"62,39";"62,01";"59,89";"58,41"
"06531";"Gießen";"Kreise";"60,05";"59,30";"56,65";"55,51"
"06532";"Lahn-Dill-Kreis";"Kreise";"67,28";"68,45";"67,50";"66,61"
"06533";"Limburg-Weilburg";"Kreise";"66,65";"66,78";"65,25";"64,17"
"06534";"Marburg-Biedenkopf";"Kreise";"64,07";"63,42";"61,37";"60,48"
"06535";"Vogelsbergkreis";"Kreise";"70,18";"71,69";"70,91";"70,26"
"06611";"Kassel, documenta-Stadt";"Kreise";"54,36";"53,20";"50,53";"49,14"
"06631";"Fulda";"Kreise";"68,39";"68,31";"66,85";"65,04"
"06632";"Hersfeld-Rotenburg";"Kreise";"68,31";"69,48";"68,57";"67,66"
"06633";"Kassel";"Kreise";"71,92";"72,14";"70,89";"69,89"
"06634";"Schwalm-Eder-Kreis";"Kreise";"71,04";"72,23";"71,25";"70,57"
"06635";"Waldeck-Frankenberg";"Kreise";"70,49";"71,49";"71,18";"70,29"
"06636";"Werra-Meißner-Kreis";"Kreise";"72,96";"73,41";"72,44";"71,63"
"07111";"Koblenz, kreisfreie Stadt";"Kreise";"57,24";"56,63";"53,16";"50,99"
"07131";"Ahrweiler";"Kreise";"66,80";"67,04";"66,24";"65,40"
"07132";"Altenkirchen (Westerwald)";"Kreise";"69,85";"71,36";"71,27";"70,72"
"07133";"Bad Kreuznach";"Kreise";"65,36";"66,43";"65,50";"64,36"
"07134";"Birkenfeld";"Kreise";"69,84";"71,08";"70,77";"69,41"
"07135";"Cochem-Zell";"Kreise";"69,12";"71,70";"71,76";"70,64"
"07137";"Mayen-Koblenz";"Kreise";"68,37";"69,82";"68,84";"67,83"
"07138";"Neuwied";"Kreise";"66,97";"69,05";"67,68";"66,82"
"07140";"Rhein-Hunsrück-Kreis";"Kreise";"68,61";"69,56";"69,94";"67,93"
"07141";"Rhein-Lahn-Kreis";"Kreise";"69,33";"70,62";"69,14";"67,94"
"07143";"Westerwaldkreis";"Kreise";"69,93";"71,08";"70,07";"69,16"
"07211";"Trier, kreisfreie Stadt";"Kreise";"56,82";"56,59";"53,51";"51,97"
"07231";"Bernkastel-Wittlich";"Kreise";"68,72";"70,54";"69,04";"68,06"
"07232";"Eifelkreis Bitburg-Prüm";"Kreise";"67,83";"69,66";"69,01";"68,17"
"07233";"Vulkaneifel";"Kreise";"70,52";"72,54";"72,73";"71,91"
"07235";"Trier-Saarburg";"Kreise";"70,71";"71,59";"70,08";"68,57"
