Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
"01053034";"Göldenitz";"Gemeinden";"19.185,57";"22.026,17";"24.013,10";"28.681,11"
"01053035";"Göttin";"Gemeinden";"26.263,23";"27.783,51";"28.613,98";"32.813,30"
"01053036";"Grabau";"Gemeinden";"21.632,98";"24.908,64";"26.182,53";"30.915,09"
"01053037";"Grambek";"Gemeinden";"25.580,09";"28.179,95";"30.216,52";"35.169,24"
"01053038";"Grinau";"Gemeinden";"20.561,15";"23.130,22";"25.112,99";"29.221,24"
"01053039";"Groß Boden";"Gemeinden";"19.635,70";"22.932,74";"24.904,56";"29.899,79"
"01053040";"Groß Disnack";"Gemeinden";"24.505,69";"26.045,84";"26.777,99";"31.342,26"
"01053041";"Groß Grönau";"Gemeinden";"26.775,34";"28.800,02";"29.985,06";"35.176,06"
"01053042";"Groß Pampau";"Gemeinden";"24.493,34";"26.348,48";"29.428,79";"34.661,06"
"01053043";"Groß Sarau";"Gemeinden";"25.704,08";"29.297,77";"30.739,91";"35.917,34"
"01053044";"Groß Schenkenberg";"Gemeinden";"21.165,89";"23.147,94";"25.379,49";"29.639,98"
"01053045";"Grove";"Gemeinden";"24.925,81";"27.165,63";"29.298,38";"34.327,07"
"01053046";"Gudow";"Gemeinden";"20.936,55";"23.300,00";"25.166,60";"28.887,30"
"01053047";"Gülzow";"Gemeinden";"22.369,24";"24.001,62";"25.628,45";"30.390,52"
"01053048";"Güster";"Gemeinden";"24.408,15";"27.694,60";"29.600,86";"33.863,15"
"01053049";"Hamfelde";"Gemeinden";"28.450,06";"30.474,79";"30.267,04";"34.863,81"
"01053050";"Hamwarde";"Gemeinden";"21.881,22";"24.038,77";"26.413,39";"30.788,27"
"01053051";"Harmsdorf";"Gemeinden";"20.596,46";"22.920,31";"25.439,02";"29.971,76"
"01053052";"Havekost";"Gemeinden";"25.655,85";"27.162,41";"28.542,06";"33.784,38"
"01053053";"Hohenhorn";"Gemeinden";"25.492,88";"27.193,57";"28.487,59";"32.928,24"
"01053054";"Hollenbek";"Gemeinden";"18.267,63";"20.837,69";"23.175,13";"26.946,85"
"01053056";"Hornbek";"Gemeinden";"21.856,52";"24.404,87";"25.754,21";"30.775,79"
"01053057";"Horst";"Gemeinden";"21.753,55";"24.141,32";"26.226,68";"30.672,94"
"01053058";"Juliusburg";"Gemeinden";"19.809,25";"22.516,18";"23.641,13";"28.322,66"
"01053059";"Kankelau";"Gemeinden";"22.180,71";"24.478,19";"26.993,63";"31.348,86"
"01053060";"Kasseburg";"Gemeinden";"26.383,52";"27.875,91";"30.313,99";"35.499,77"
"01053061";"Kastorf";"Gemeinden";"20.221,23";"22.542,97";"24.549,05";"28.416,52"
"01053062";"Kittlitz";"Gemeinden";"21.338,39";"22.898,16";"25.128,66";"29.619,85"
"01053064";"Klein Pampau";"Gemeinden";"21.787,95";"24.351,64";"26.555,74";"31.190,14"
"01053066";"Klein Zecher";"Gemeinden";"20.786,15";"23.213,74";"25.523,47";"30.112,12"
"01053067";"Klempau";"Gemeinden";"23.251,71";"25.599,64";"27.547,44";"31.318,08"
"01053068";"Klinkrade";"Gemeinden";"19.676,67";"22.089,19";"23.653,49";"28.200,53"
"01053069";"Koberg";"Gemeinden";"20.549,91";"23.183,41";"24.795,47";"29.148,08"
"01053070";"Köthel";"Gemeinden";"23.796,75";"25.635,85";"27.197,17";"31.230,86"
"01053071";"Kollow";"Gemeinden";"23.098,62";"24.493,57";"26.106,81";"30.709,41"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"28.727,46";"31.030,45";"32.693,50";"38.002,21"
"01053073";"Krüzen";"Gemeinden";"20.552,91";"23.332,17";"24.782,96";"28.815,64"
"01053074";"Krukow";"Gemeinden";"21.141,28";"23.228,26";"25.484,43";"29.694,14"
"01053075";"Krummesse";"Gemeinden";"30.454,79";"32.559,04";"33.715,63";"39.236,67"
"01053076";"Kuddewörde";"Gemeinden";"28.488,69";"31.073,79";"33.804,91";"39.586,45"
"01053077";"Kühsen";"Gemeinden";"20.360,16";"22.561,42";"24.882,81";"29.871,66"
"01053078";"Kulpin";"Gemeinden";"18.192,50";"20.808,61";"22.927,17";"26.728,79"
"01053079";"Labenz";"Gemeinden";"21.450,08";"23.975,62";"25.684,53";"30.209,79"
"01053080";"Langenlehsten";"Gemeinden";"21.215,52";"23.481,50";"26.401,05";"30.440,66"
"01053081";"Lankau";"Gemeinden";"18.950,86";"21.800,62";"24.143,77";"28.149,49"
