Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
"06432005";"Eppertshausen";"Gemeinden";"23.380,83";"25.695,61";"27.736,96";"32.024,42"
"06432006";"Erzhausen";"Gemeinden";"25.140,43";"27.403,28";"29.341,61";"33.616,41"
"06432007";"Fischbachtal";"Gemeinden";"22.209,03";"25.208,98";"27.483,15";"31.862,20"
"06432008";"Griesheim, Stadt";"Gemeinden";"22.914,80";"24.678,55";"26.111,76";"29.970,51"
"06432009";"Groß-Bieberau, Stadt";"Gemeinden";"23.455,70";"25.565,38";"27.354,91";"31.616,71"
"06432010";"Groß-Umstadt, Stadt";"Gemeinden";"22.560,40";"24.667,13";"26.802,81";"30.888,11"
"06432011";"Groß-Zimmern";"Gemeinden";"21.669,05";"24.381,27";"25.583,51";"29.609,15"
"06432012";"Messel";"Gemeinden";"24.409,32";"26.364,92";"27.738,01";"32.263,42"
"06432013";"Modautal";"Gemeinden";"23.084,83";"25.369,83";"27.567,47";"32.001,25"
"06432014";"Mühltal";"Gemeinden";"26.523,74";"28.809,77";"30.473,86";"35.020,54"
"06432015";"Münster (Hessen)";"Gemeinden";"22.167,99";"23.989,31";"25.663,08";"29.511,67"
"06432016";"Ober-Ramstadt, Stadt";"Gemeinden";"22.100,73";"24.317,40";"26.304,11";"30.373,21"
"06432017";"Otzberg";"Gemeinden";"22.086,45";"24.303,37";"26.360,94";"30.390,00"
"06432018";"Pfungstadt, Stadt";"Gemeinden";"21.698,60";"23.352,63";"25.082,09";"28.877,82"
"06432019";"Reinheim, Stadt";"Gemeinden";"22.671,69";"25.179,82";"26.545,00";"30.728,53"
"06432020";"Roßdorf";"Gemeinden";"24.636,12";"26.680,30";"28.812,02";"33.530,99"
"06432021";"Schaafheim";"Gemeinden";"21.308,58";"23.070,63";"24.937,45";"28.466,03"
"06432022";"Seeheim-Jugenheim";"Gemeinden";"29.976,03";"32.690,98";"34.493,46";"39.579,85"
"06432023";"Weiterstadt, Stadt";"Gemeinden";"22.698,07";"24.349,94";"25.621,22";"29.484,90"
"06433001";"Biebesheim am Rhein";"Gemeinden";"21.735,92";"23.604,10";"25.506,62";"29.043,32"
"06433002";"Bischofsheim";"Gemeinden";"22.235,41";"24.058,45";"25.101,58";"28.927,95"
"06433003";"Büttelborn";"Gemeinden";"23.348,28";"25.220,81";"26.160,80";"30.098,09"
"06433004";"Gernsheim, Schöfferstadt";"Gemeinden";"22.632,31";"24.396,95";"26.059,18";"29.949,06"
"06433005";"Ginsheim-Gustavsburg, Stadt";"Gemeinden";"21.165,79";"23.244,79";"24.972,83";"28.763,84"
"06433006";"Groß-Gerau, Stadt";"Gemeinden";"22.804,20";"24.788,15";"26.015,07";"29.961,66"
"06433007";"Kelsterbach, Stadt";"Gemeinden";"21.332,10";"22.916,60";"23.919,71";"27.519,02"
"06433008";"Mörfelden-Walldorf, Stadt";"Gemeinden";"23.464,51";"25.337,08";"26.460,19";"30.368,99"
"06433009";"Nauheim";"Gemeinden";"24.500,43";"26.449,33";"27.472,74";"31.536,24"
"06433010";"Raunheim, Stadt";"Gemeinden";"19.249,69";"20.845,52";"21.714,71";"24.804,43"
"06433011";"Riedstadt, Büchnerstadt";"Gemeinden";"22.854,11";"24.970,01";"26.110,96";"30.031,72"
"06433012";"Rüsselsheim am Main, Stadt";"Gemeinden";"20.977,67";"22.713,83";"23.662,99";"27.169,09"
"06433013";"Stockstadt am Rhein";"Gemeinden";"21.260,86";"23.052,91";"25.001,79";"28.625,14"
"06433014";"Trebur";"Gemeinden";"24.056,98";"26.105,05";"27.225,96";"31.447,30"
"06434001";"Bad Homburg v. d. Höhe, Stadt";"Gemeinden";"33.807,28";"38.222,51";"38.733,39";"44.939,38"
"06434002";"Friedrichsdorf, Stadt";"Gemeinden";"28.301,95";"30.631,53";"31.722,41";"36.731,21"
"06434003";"Glashütten";"Gemeinden";"34.471,88";"36.873,13";"37.827,27";"43.387,74"
"06434004";"Grävenwiesbach";"Gemeinden";"22.448,16";"25.148,67";"27.161,08";"31.217,17"
"06434005";"Königstein im Taunus, Stadt";"Gemeinden";"45.849,21";"48.469,88";"49.586,17";"57.159,46"
"06434006";"Kronberg im Taunus, Stadt";"Gemeinden";"37.973,60";"40.514,85";"41.181,26";"47.297,65"
"06434007";"Neu-Anspach, Stadt";"Gemeinden";"25.986,18";"28.451,16";"29.642,77";"34.260,08"
"06434008";"Oberursel (Taunus), Stadt";"Gemeinden";"30.343,65";"32.759,12";"33.863,67";"39.260,91"
"06434009";"Schmitten im Taunus";"Gemeinden";"28.539,61";"30.752,24";"32.110,83";"37.062,87"
"06434010";"Steinbach (Taunus), Stadt";"Gemeinden";"24.206,56";"26.321,34";"26.968,73";"31.318,83"
"06434011";"Usingen, Stadt";"Gemeinden";"25.246,60";"27.224,79";"28.776,17";"33.308,14"
"06434012";"Wehrheim";"Gemeinden";"28.774,08";"31.393,68";"32.663,88";"37.677,53"
"06434013";"Weilrod";"Gemeinden";"23.528,03";"25.826,34";"27.249,08";"31.495,15"
"06435001";"Bad Orb, Stadt";"Gemeinden";"21.521,14";"24.524,93";"27.380,09";"31.450,18"
"06435002";"Bad Soden-Salmünster, Stadt";"Gemeinden";"20.982,53";"23.190,41";"25.274,27";"28.752,71"
"06435003";"Biebergemünd";"Gemeinden";"24.137,97";"27.568,11";"30.479,61";"35.118,11"
"06435004";"Birstein";"Gemeinden";"20.852,77";"23.175,96";"25.343,67";"29.219,88"
"06435005";"Brachttal";"Gemeinden";"21.171,34";"23.029,34";"24.340,42";"27.805,15"
"06435006";"Bruchköbel, Stadt";"Gemeinden";"24.668,30";"26.694,03";"27.764,59";"31.956,55"
"06435007";"Erlensee, Stadt";"Gemeinden";"21.089,87";"23.205,99";"24.241,40";"27.912,96"
"06435008";"Flörsbachtal";"Gemeinden";"21.856,38";"24.267,93";"25.754,15";"29.812,04"
"06435009";"Freigericht";"Gemeinden";"22.643,67";"24.952,65";"26.287,21";"30.331,64"
"06435010";"Gelnhausen, Barbarossastadt, Kreisstadt";"Gemeinden";"23.614,03";"25.711,10";"27.448,15";"31.645,47"
"06435011";"Großkrotzenburg";"Gemeinden";"22.696,67";"24.670,82";"26.488,39";"30.452,34"
"06435012";"Gründau";"Gemeinden";"22.013,75";"24.471,00";"26.099,57";"30.031,75"
"06435013";"Hammersbach";"Gemeinden";"23.947,52";"25.824,80";"27.874,68";"32.251,69"
"06435014";"Hanau, Brüder-Grimm-Stadt";"Gemeinden";"21.003,00";"22.801,93";"24.055,26";"27.865,19"
"06435015";"Hasselroth";"Gemeinden";"22.528,73";"25.074,29";"26.175,79";"30.278,62"
"06435016";"Jossgrund";"Gemeinden";"21.840,17";"24.392,28";"26.469,83";"30.671,51"
"06435017";"Langenselbold, Stadt";"Gemeinden";"23.319,56";"25.517,64";"26.586,54";"30.628,45"
"06435018";"Linsengericht";"Gemeinden";"23.530,76";"25.608,92";"27.274,70";"31.353,05"
"06435019";"Maintal, Stadt";"Gemeinden";"22.336,45";"24.203,67";"25.469,97";"29.554,91"
"06435020";"Neuberg";"Gemeinden";"25.649,71";"27.589,40";"28.566,56";"33.075,57"
"06435021";"Nidderau, Stadt";"Gemeinden";"24.327,15";"26.383,43";"28.319,53";"32.582,78"
"06435022";"Niederdorfelden";"Gemeinden";"25.120,82";"26.535,38";"27.492,97";"32.127,53"
"06435023";"Rodenbach";"Gemeinden";"23.921,89";"25.649,44";"26.815,00";"30.683,10"
"06435024";"Ronneburg";"Gemeinden";"23.653,13";"26.040,43";"27.236,64";"31.370,58"
"06435025";"Schlüchtern, Stadt";"Gemeinden";"21.510,67";"23.982,51";"25.490,39";"29.374,20"
"06435026";"Schöneck";"Gemeinden";"25.166,03";"27.245,80";"28.438,00";"33.042,71"
"06435027";"Sinntal";"Gemeinden";"20.321,74";"22.574,90";"24.512,08";"28.280,91"
"06435028";"Steinau an der Straße, Brüder-Grimm-Stadt";"Gemeinden";"20.716,77";"23.046,13";"25.115,75";"28.939,53"
"06435029";"Wächtersbach, Stadt";"Gemeinden";"20.915,46";"23.101,48";"24.576,89";"28.183,21"
"06435200";"Gutsbezirk Spessart, gemfr. Gebiet";"Gemeinden";;;;
"06436001";"Bad Soden am Taunus, Stadt";"Gemeinden";"35.772,03";"38.365,93";"39.506,88";"45.332,56"
"06436002";"Eppstein, Stadt";"Gemeinden";"28.321,28";"30.728,68";"31.786,60";"36.300,65"
"06436003";"Eschborn, Stadt";"Gemeinden";"27.658,64";"29.729,41";"30.700,11";"35.253,35"
"06436004";"Flörsheim am Main, Stadt";"Gemeinden";"24.017,95";"25.627,39";"26.651,96";"30.654,03"
"06436005";"Hattersheim am Main, Stadt";"Gemeinden";"23.369,38";"25.369,07";"26.738,22";"30.968,90"
"06436006";"Hochheim am Main, Stadt";"Gemeinden";"24.905,78";"27.166,89";"29.179,63";"33.588,38"
"06436007";"Hofheim am Taunus, Kreisstadt";"Gemeinden";"29.483,73";"31.866,05";"32.880,69";"37.859,67"
"06436008";"Kelkheim (Taunus), Stadt";"Gemeinden";"29.998,43";"32.515,58";"33.522,54";"38.426,89"
"06436009";"Kriftel";"Gemeinden";"26.491,38";"28.704,00";"29.603,06";"33.868,23"
"06436010";"Liederbach am Taunus";"Gemeinden";"27.755,53";"30.069,54";"31.044,36";"35.599,69"
"06436011";"Schwalbach am Taunus, Stadt";"Gemeinden";"27.395,16";"29.493,97";"30.235,73";"34.794,36"
"06436012";"Sulzbach (Taunus)";"Gemeinden";"27.773,69";"30.271,22";"31.382,44";"36.185,83"
"06437001";"Bad König, Stadt";"Gemeinden";"21.405,36";"24.056,87";"25.723,88";"29.547,80"
"06437003";"Brensbach";"Gemeinden";"22.352,32";"24.170,08";"26.218,44";"30.054,34"
"06437004";"Breuberg, Stadt";"Gemeinden";"19.669,20";"21.025,87";"22.554,19";"26.078,50"
"06437005";"Brombachtal";"Gemeinden";"21.287,26";"24.031,24";"26.121,44";"30.482,17"
"06437006";"Erbach, Kreisstadt";"Gemeinden";"20.386,19";"23.418,19";"24.652,37";"28.281,59"
"06437007";"Fränkisch-Crumbach";"Gemeinden";"22.619,35";"24.832,61";"27.101,18";"31.395,18"
"06437009";"Höchst i. Odw.";"Gemeinden";"20.517,08";"22.482,06";"24.145,58";"27.960,88"
"06437010";"Lützelbach";"Gemeinden";"19.422,03";"21.623,19";"23.696,31";"27.029,47"
"06437011";"Michelstadt, Stadt";"Gemeinden";"20.787,65";"23.280,37";"24.843,48";"28.571,18"
"06437012";"Mossautal";"Gemeinden";"21.209,09";"24.177,28";"26.137,89";"29.981,90"
"06437013";"Reichelsheim (Odenwald)";"Gemeinden";"20.887,54";"23.371,33";"25.012,13";"28.895,17"
"06437016";"Oberzent, Stadt";"Gemeinden";"20.495,55";;"25.127,88";"28.803,47"
"06438001";"Dietzenbach, Kreisstadt";"Gemeinden";"21.921,45";"23.769,02";"24.615,94";"28.620,94"
"06438002";"Dreieich, Stadt";"Gemeinden";"28.188,48";"30.389,58";"31.823,97";"36.868,53"
"06438003";"Egelsbach";"Gemeinden";"25.320,54";"27.745,40";"29.139,42";"33.638,04"
"06438004";"Hainburg";"Gemeinden";"22.366,61";"24.393,37";"25.835,28";"29.911,89"
"06438005";"Heusenstamm, Stadt";"Gemeinden";"26.702,26";"28.984,87";"30.595,09";"35.508,48"
"06438006";"Langen (Hessen), Stadt";"Gemeinden";"24.571,59";"26.456,81";"27.671,52";"32.111,32"
"06438007";"Mainhausen";"Gemeinden";"23.593,34";"26.381,53";"27.572,24";"31.817,11"
"06438008";"Mühlheim am Main, Stadt";"Gemeinden";"23.361,16";"25.268,80";"26.193,74";"30.446,03"
"06438009";"Neu-Isenburg, Stadt";"Gemeinden";"24.919,62";"26.773,19";"27.855,49";"32.197,91"
"06438010";"Obertshausen, Stadt";"Gemeinden";"23.739,85";"25.627,27";"26.654,55";"30.854,59"
"06438011";"Rodgau, Stadt";"Gemeinden";"23.670,83";"25.530,23";"26.865,18";"31.176,02"
"06438012";"Rödermark, Stadt";"Gemeinden";"25.529,91";"27.485,55";"28.681,90";"33.492,40"
"06438013";"Seligenstadt, Einhardstadt";"Gemeinden";"24.455,02";"26.604,39";"28.397,82";"33.084,37"
"06439001";"Aarbergen";"Gemeinden";"21.485,22";"23.284,39";"25.136,62";"28.872,08"
"06439002";"Bad Schwalbach, Kreisstadt";"Gemeinden";"23.133,50";"24.977,08";"26.472,77";"30.509,12"
"06439003";"Eltville am Rhein, Stadt";"Gemeinden";"26.122,50";"29.021,56";"30.264,06";"34.807,88"
"06439004";"Geisenheim, Hochschulstadt";"Gemeinden";"22.544,30";"25.107,95";"26.997,32";"31.191,08"
"06439005";"Heidenrod";"Gemeinden";"22.443,57";"24.401,13";"26.546,15";"30.364,46"
"06439006";"Hohenstein";"Gemeinden";"23.751,70";"25.526,73";"27.401,91";"31.392,13"
"06439007";"Hünstetten";"Gemeinden";"25.465,26";"28.356,68";"30.493,24";"35.355,48"
"06439008";"Idstein, Hochschulstadt";"Gemeinden";"26.474,92";"28.621,57";"30.826,43";"35.533,60"
"06439009";"Kiedrich";"Gemeinden";"24.718,98";"27.525,86";"29.920,32";"34.021,64"
"06439010";"Lorch, Stadt";"Gemeinden";"20.679,60";"23.061,06";"24.436,12";"28.161,30"
"06439011";"Niedernhausen";"Gemeinden";"28.137,04";"29.975,84";"31.624,46";"36.407,04"
"06439012";"Oestrich-Winkel, Stadt";"Gemeinden";"23.157,30";"25.223,65";"27.197,90";"31.347,42"
"06439013";"Rüdesheim am Rhein, Stadt";"Gemeinden";"20.099,97";"22.207,61";"24.056,47";"27.733,61"
"06439014";"Schlangenbad";"Gemeinden";"28.515,32";"30.114,10";"31.614,11";"35.932,68"
"06439015";"Taunusstein, Stadt";"Gemeinden";"24.909,17";"26.873,91";"28.589,11";"32.801,30"
"06439016";"Waldems";"Gemeinden";"23.908,70";"26.390,50";"28.493,88";"32.950,27"
"06439017";"Walluf";"Gemeinden";"27.026,82";"29.077,69";"31.281,86";"35.671,35"
"06440001";"Altenstadt";"Gemeinden";"22.377,26";"25.011,81";"26.426,02";"30.857,48"
"06440002";"Bad Nauheim, Stadt";"Gemeinden";"24.728,28";"27.531,63";"29.338,33";"33.839,86"
"06440003";"Bad Vilbel, Stadt";"Gemeinden";"27.636,88";"30.240,30";"31.587,29";"36.567,26"
"06440004";"Büdingen, Stadt";"Gemeinden";"21.112,37";"23.708,54";"25.747,84";"29.491,51"
"06440005";"Butzbach, Friedrich-Ludwig-Weidig-Stadt";"Gemeinden";"21.797,10";"24.697,36";"26.333,66";"30.197,45"
"06440006";"Echzell";"Gemeinden";"20.684,77";"23.121,40";"24.728,75";"28.606,37"
"06440007";"Florstadt, Stadt";"Gemeinden";"22.087,74";"24.378,14";"25.917,01";"30.049,21"
"06440008";"Friedberg (Hessen), Kreisstadt";"Gemeinden";"22.271,98";"24.550,49";"25.839,29";"29.812,46"
"06440009";"Gedern, Stadt";"Gemeinden";"20.230,15";"22.662,48";"24.491,77";"28.151,19"
"06440010";"Glauburg";"Gemeinden";"20.992,14";"23.429,02";"25.594,83";"29.517,29"
"06440011";"Hirzenhain";"Gemeinden";"19.545,54";"21.535,50";"23.255,71";"26.650,30"
"06440012";"Karben, Stadt";"Gemeinden";"24.875,38";"27.164,40";"28.336,10";"32.734,08"
"06440013";"Kefenrod";"Gemeinden";"19.641,62";"22.124,05";"24.013,59";"27.779,05"
"06440014";"Limeshain";"Gemeinden";"22.701,47";"24.813,21";"26.380,84";"30.203,98"
"06440015";"Münzenberg, Stadt";"Gemeinden";"22.873,50";"25.375,63";"27.276,42";"31.628,32"
"06440016";"Nidda, Stadt";"Gemeinden";"20.345,52";"22.912,08";"24.830,32";"28.602,86"
"06440017";"Niddatal, Stadt";"Gemeinden";"24.521,40";"26.568,84";"27.931,92";"32.206,92"
"06440018";"Ober-Mörlen";"Gemeinden";"24.144,11";"27.106,13";"28.249,05";"32.922,30"
"06440019";"Ortenberg, Stadt";"Gemeinden";"20.568,12";"22.924,22";"24.781,69";"28.559,35"
"06440020";"Ranstadt";"Gemeinden";"21.242,78";"24.094,03";"25.955,91";"30.126,64"
"06440021";"Reichelsheim (Wetterau), Stadt";"Gemeinden";"22.280,84";"24.348,66";"26.582,89";"30.636,30"
"06440022";"Rockenberg";"Gemeinden";"23.514,50";"25.658,47";"27.543,31";"31.489,86"
"06440023";"Rosbach v. d. Höhe, Stadt";"Gemeinden";"25.643,08";"28.360,83";"29.844,88";"34.313,23"
"06440024";"Wölfersheim";"Gemeinden";"21.279,03";"23.791,93";"25.611,42";"29.477,29"
"06440025";"Wöllstadt";"Gemeinden";"23.354,60";"25.280,93";"26.612,41";"30.987,13"
"06531001";"Allendorf (Lumda), Stadt";"Gemeinden";"21.989,58";"24.490,89";"26.486,71";"30.327,10"
"06531002";"Biebertal";"Gemeinden";"22.845,39";"25.477,45";"26.797,31";"30.970,63"
"06531003";"Buseck";"Gemeinden";"22.648,53";"25.220,13";"26.667,62";"30.634,89"
"06531004";"Fernwald";"Gemeinden";"22.782,38";"25.089,15";"26.758,28";"31.120,40"
"06531005";"Gießen, Universitätsstadt";"Gemeinden";"18.411,87";"20.070,08";"21.068,12";"24.333,15"
"06531006";"Grünberg, Stadt";"Gemeinden";"21.409,91";"23.975,75";"26.016,69";"30.181,80"
"06531007";"Heuchelheim a. d. Lahn";"Gemeinden";"21.727,45";"24.138,47";"25.552,08";"29.488,17"
"06531008";"Hungen, Stadt";"Gemeinden";"21.409,45";"24.005,29";"25.940,56";"29.980,51"
"06531009";"Langgöns";"Gemeinden";"22.753,39";"25.158,52";"27.082,87";"31.070,49"
"06531010";"Laubach, Stadt";"Gemeinden";"20.691,62";"23.424,28";"25.208,54";"28.939,45"
"06531011";"Lich, Stadt";"Gemeinden";"22.736,48";"25.488,74";"27.174,78";"31.417,49"
"06531012";"Linden, Stadt";"Gemeinden";"22.325,84";"24.900,35";"26.007,55";"29.828,92"
"06531013";"Lollar, Stadt";"Gemeinden";"19.970,18";"22.186,25";"23.801,93";"27.567,53"
"06531014";"Pohlheim, Stadt";"Gemeinden";"20.798,58";"23.032,37";"24.963,39";"28.988,51"
"06531015";"Rabenau";"Gemeinden";"20.926,10";"23.330,49";"25.176,62";"28.985,41"
"06531016";"Reiskirchen";"Gemeinden";"21.258,41";"23.725,28";"25.512,58";"29.614,90"
"06531017";"Staufenberg, Stadt";"Gemeinden";"21.709,25";"24.397,54";"26.282,72";"30.189,25"
"06531018";"Wettenberg";"Gemeinden";"24.256,15";"26.937,99";"28.563,22";"32.746,90"
"06532001";"Aßlar, Stadt";"Gemeinden";"20.714,25";"23.090,37";"25.010,64";"28.876,45"
"06532002";"Bischoffen";"Gemeinden";"21.573,18";"23.892,62";"25.701,01";"29.943,51"
"06532003";"Braunfels, Stadt";"Gemeinden";"22.492,26";"25.307,98";"27.124,37";"31.136,65"
"06532004";"Breitscheid";"Gemeinden";"20.515,94";"22.949,70";"24.940,16";"28.675,61"
"06532005";"Dietzhölztal";"Gemeinden";"26.434,93";"30.699,95";"31.393,33";"35.873,53"
"06532006";"Dillenburg, Oranienstadt";"Gemeinden";"21.229,91";"22.960,28";"24.491,67";"28.046,82"
"06532007";"Driedorf";"Gemeinden";"21.097,46";"23.501,67";"25.361,15";"29.080,97"
"06532008";"Ehringshausen";"Gemeinden";"20.845,51";"23.210,08";"24.814,99";"28.399,39"
"06532009";"Eschenburg";"Gemeinden";"20.732,73";"22.770,41";"24.513,04";"28.043,49"
"06532010";"Greifenstein";"Gemeinden";"19.804,19";"22.382,92";"24.374,69";"28.258,02"
"06532011";"Haiger, Stadt";"Gemeinden";"21.115,61";"23.099,71";"24.784,52";"28.408,97"
"06532012";"Herborn, Stadt";"Gemeinden";"21.473,50";"23.571,72";"25.592,75";"29.256,26"
"06532013";"Hohenahr";"Gemeinden";"21.646,81";"24.220,78";"26.340,09";"30.249,12"
"06532014";"Hüttenberg";"Gemeinden";"23.213,06";"25.569,70";"27.068,97";"31.026,70"
"06532015";"Lahnau";"Gemeinden";"22.730,68";"25.091,60";"27.536,18";"31.651,76"
"06532016";"Leun, Stadt";"Gemeinden";"19.947,28";"22.346,44";"24.307,91";"27.918,67"
"06532017";"Mittenaar";"Gemeinden";"21.298,04";"23.724,15";"25.790,69";"29.487,35"
"06532018";"Schöffengrund";"Gemeinden";"22.226,47";"24.570,61";"26.524,67";"30.531,58"
"06532019";"Siegbach";"Gemeinden";"20.188,46";"22.387,15";"24.125,22";"27.383,84"
"06532020";"Sinn";"Gemeinden";"21.201,79";"23.210,77";"24.854,50";"28.662,82"
"06532021";"Solms, Stadt";"Gemeinden";"21.080,39";"23.205,46";"25.317,97";"28.987,41"
"06532022";"Waldsolms";"Gemeinden";"21.781,74";"24.597,07";"26.635,18";"30.535,73"
"06532023";"Wetzlar, Stadt";"Gemeinden";"21.176,16";"23.107,05";"25.232,83";"29.125,79"
"06533001";"Beselich";"Gemeinden";"20.264,70";"22.762,50";"24.685,46";"28.534,88"
"06533002";"Brechen";"Gemeinden";"21.858,62";"24.583,80";"26.405,81";"30.496,43"
"06533003";"Bad Camberg, Stadt";"Gemeinden";"23.950,84";"26.943,73";"28.649,12";"33.334,94"
"06533004";"Dornburg";"Gemeinden";"20.366,44";"23.090,50";"25.105,38";"29.136,23"
"06533005";"Elbtal";"Gemeinden";"18.964,82";"22.007,63";"24.289,08";"27.849,86"
"06533006";"Elz";"Gemeinden";"22.346,53";"25.144,50";"27.217,12";"31.206,32"
"06533007";"Hadamar, Stadt";"Gemeinden";"19.595,49";"22.323,71";"24.452,69";"28.180,56"
"06533008";"Hünfelden";"Gemeinden";"22.364,41";"25.294,48";"27.187,74";"31.352,83"
"06533009";"Limburg a. d. Lahn, Kreisstadt";"Gemeinden";"21.869,71";"24.010,34";"25.957,58";"29.959,12"
"06533010";"Löhnberg";"Gemeinden";"20.451,48";"23.127,73";"24.996,83";"29.279,62"
"06533011";"Mengerskirchen, Marktflecken";"Gemeinden";"19.913,77";"22.497,78";"24.456,29";"28.441,26"
"06533012";"Merenberg, Marktflecken";"Gemeinden";"20.122,56";"22.686,37";"24.665,94";"28.936,38"
"06533013";"Runkel, Stadt";"Gemeinden";"21.247,79";"23.933,69";"25.661,10";"29.465,31"
"06533014";"Selters (Taunus)";"Gemeinden";"20.778,33";"23.587,85";"25.485,12";"29.713,45"
"06533015";"Villmar, Marktflecken";"Gemeinden";"21.699,88";"24.400,96";"26.546,03";"30.598,08"
"06533016";"Waldbrunn (Westerwald)";"Gemeinden";"19.388,33";"22.068,08";"23.940,57";"27.953,70"
"06533017";"Weilburg, Stadt";"Gemeinden";"21.274,44";"23.807,82";"25.578,07";"29.805,02"
"06533018";"Weilmünster, Marktflecken";"Gemeinden";"21.974,79";"24.567,53";"26.430,06";"30.469,10"
"06533019";"Weinbach";"Gemeinden";"20.902,64";"23.410,83";"25.355,33";"29.321,94"
"06534001";"Amöneburg, Stadt";"Gemeinden";"21.130,06";"23.990,69";"26.097,46";"30.873,27"
"06534002";"Angelburg";"Gemeinden";"18.574,31";"20.595,02";"22.191,11";"26.024,97"
"06534003";"Bad Endbach";"Gemeinden";"19.834,41";"22.457,66";"24.309,66";"28.117,28"
"06534004";"Biedenkopf, Stadt";"Gemeinden";"21.719,35";"24.059,34";"25.439,86";"29.573,09"
"06534005";"Breidenbach";"Gemeinden";"21.111,30";"22.806,37";"24.167,59";"28.600,93"
"06534006";"Cölbe";"Gemeinden";"21.260,32";"23.974,78";"25.260,21";"29.458,39"
"06534007";"Dautphetal";"Gemeinden";"21.064,76";"23.429,40";"25.165,27";"29.464,91"
"06534008";"Ebsdorfergrund";"Gemeinden";"20.109,64";"21.762,67";"22.480,31";"26.088,13"
"06534009";"Fronhausen";"Gemeinden";"21.589,80";"24.261,45";"26.314,00";"30.769,39"
"06534010";"Gladenbach, Stadt";"Gemeinden";"20.766,68";"23.209,00";"25.134,94";"29.013,47"
"06534011";"Kirchhain, Stadt";"Gemeinden";"21.809,59";"24.316,73";"26.209,00";"30.524,52"
"06534012";"Lahntal";"Gemeinden";"22.664,96";"24.675,64";"26.675,89";"31.023,40"
"06534013";"Lohra";"Gemeinden";"20.650,21";"23.151,97";"25.044,98";"29.407,52"
"06534014";"Marburg, Universitätsstadt";"Gemeinden";"19.640,44";"21.569,19";"22.556,27";"26.094,15"
"06534015";"Münchhausen";"Gemeinden";"20.260,40";"23.127,73";"25.007,60";"28.900,82"
"06534016";"Neustadt (Hessen), Stadt";"Gemeinden";"18.758,05";"21.219,11";"22.363,63";"25.927,47"
"06534017";"Rauschenberg, Stadt";"Gemeinden";"19.642,20";"22.380,61";"24.599,16";"28.624,77"
"06534018";"Stadtallendorf, Stadt";"Gemeinden";"19.344,11";"21.629,59";"23.080,61";"26.618,86"
"06534019";"Steffenberg";"Gemeinden";"20.091,33";"22.498,18";"23.882,54";"27.848,37"
"06534020";"Weimar (Lahn)";"Gemeinden";"23.031,06";"25.312,18";"27.657,50";"32.090,12"
"06534021";"Wetter (Hessen), Stadt";"Gemeinden";"20.400,34";"22.938,35";"24.684,55";"28.928,31"
"06534022";"Wohratal";"Gemeinden";"21.058,07";"22.953,14";"24.068,40";"27.358,90"
"06535001";"Alsfeld, Stadt";"Gemeinden";"20.270,77";"22.663,24";"24.174,16";"27.945,81"
"06535002";"Antrifttal";"Gemeinden";"19.997,38";"22.484,33";"24.217,47";"28.301,05"
"06535003";"Feldatal";"Gemeinden";"19.884,64";"22.237,23";"24.007,23";"28.145,52"
"06535004";"Freiensteinau";"Gemeinden";"20.252,69";"22.818,18";"24.850,58";"29.108,66"
"06535005";"Gemünden (Felda)";"Gemeinden";"19.727,11";"22.251,84";"23.937,54";"27.721,51"
"06535006";"Grebenau, Stadt";"Gemeinden";"20.350,42";"22.772,57";"24.421,42";"28.780,85"
"06535007";"Grebenhain";"Gemeinden";"21.060,17";"23.676,51";"25.275,99";"29.761,63"
"06535008";"Herbstein, Stadt";"Gemeinden";"19.373,31";"21.481,97";"23.115,71";"26.821,24"
"06535009";"Homberg (Ohm), Stadt";"Gemeinden";"22.421,79";"24.589,31";"25.989,85";"29.916,31"
"06535010";"Kirtorf, Stadt";"Gemeinden";"19.872,68";"22.699,83";"24.386,95";"28.509,94"
"06535011";"Lauterbach (Hessen), Kreisstadt";"Gemeinden";"21.042,91";"23.717,95";"25.294,26";"29.208,78"
"06535012";"Lautertal (Vogelsberg)";"Gemeinden";"20.092,42";"22.834,75";"24.897,85";"28.822,99"
"06535013";"Mücke";"Gemeinden";"20.810,93";"23.236,02";"25.101,16";"29.253,58"
"06535014";"Romrod, Stadt";"Gemeinden";"20.029,43";"22.465,62";"24.524,43";"28.524,94"
"06535015";"Schlitz, Stadt";"Gemeinden";"19.168,53";"21.437,28";"23.354,81";"27.227,69"
"06535016";"Schotten, Stadt";"Gemeinden";"19.765,73";"22.225,75";"24.267,09";"27.957,62"
"06535017";"Schwalmtal";"Gemeinden";"20.578,59";"22.999,47";"24.645,65";"29.373,78"
"06535018";"Ulrichstein, Stadt";"Gemeinden";"20.287,45";"22.494,07";"24.365,79";"28.068,09"
"06535019";"Wartenberg";"Gemeinden";"22.123,32";"24.656,85";"27.174,07";"31.161,99"
"06611000";"Kassel, documenta-Stadt";"Gemeinden";"19.900,30";"22.159,22";"23.634,83";"27.212,63"
"06631001";"Bad Salzschlirf";"Gemeinden";"20.519,14";"22.409,64";"23.830,81";"27.612,85"
"06631002";"Burghaun, Marktgemeinde";"Gemeinden";"20.854,13";"22.912,42";"25.139,59";"28.648,02"
"06631003";"Dipperz";"Gemeinden";"22.082,87";"23.674,32";"25.911,60";"30.352,29"
