Kennziffer;Raumeinheit;Aggregat;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"03358024";"Walsrode, Stadt";"Gemeinden";"273,63";"261,37";"334,30";"443,83";"129,87";"280,79";"404,79";"791,74";"827,85"
"03358501";"Osterheide, gemfr. Bezirk";"Gemeinden";"85,30";"72,57";"86,67";"0,00";"0,00";"49,44";"13,53";"2,24";"506,56"
"03359001";"Agathenburg";"Gemeinden";"97,22";"87,00";"63,24";"62,22";"72,92";"373,75";"639,54";"730,79";"1.010,04"
"03359002";"Ahlerstedt";"Gemeinden";"153,90";"113,52";"43,73";"80,38";"116,41";"320,95";"361,92";"552,72";"596,76"
"03359003";"Apensen";"Gemeinden";"267,02";"267,58";"123,77";"252,07";"186,24";"503,91";"592,76";"579,83";"763,70"
"03359004";"Balje";"Gemeinden";"29,23";"46,80";"24,39";"24,15";"121,07";"302,73";"490,48";"715,79";"520,92"
"03359005";"Bargstedt";"Gemeinden";"205,48";"328,65";"229,49";"388,22";"171,36";"254,46";"267,56";"668,53";"724,97"
"03359006";"Beckdorf";"Gemeinden";"87,37";"38,01";"6,36";"39,78";"36,42";"67,41";"136,27";"246,78";"252,05"
"03359007";"Bliedersdorf";"Gemeinden";"156,37";"295,16";"180,16";"54,32";"168,03";"94,13";"104,36";"731,84";"752,66"
"03359008";"Brest";"Gemeinden";"73,79";"43,80";"26,28";"68,26";"80,85";"180,20";"349,00";"337,68";"91,64"
"03359009";"Burweg";"Gemeinden";"13,17";"38,38";"33,44";"40,16";"28,06";"66,53";"71,58";"76,11";"43,05"
"03359010";"Buxtehude, Hansestadt";"Gemeinden";"262,90";"243,79";"281,43";"330,85";"351,30";"545,26";"424,38";"585,51";"719,32"
"03359011";"Deinste";"Gemeinden";"88,91";"36,51";"14,60";"36,35";"28,46";"595,25";"284,89";"371,55";"363,25"
"03359012";"Dollern";"Gemeinden";"400,89";"655,13";"521,79";"449,43";"666,11";"713,49";"827,32";"759,94";"789,25"
"03359013";"Drochtersen";"Gemeinden";"137,17";"136,15";"165,53";"219,07";"308,41";"228,29";"561,26";"627,47";"566,22"
"03359014";"Düdenbüttel";"Gemeinden";"80,88";"76,74";"88,86";"96,39";"121,54";"581,01";"202,72";"113,17";"275,02"
"03359015";"Engelschoff";"Gemeinden";"152,20";"29,83";"18,89";"-792,92";"63,69";"48,94";"153,89";"86,52";"296,25"
"03359016";"Estorf";"Gemeinden";"193,75";"6,10";"45,09";"46,91";"92,85";"72,82";"123,62";"116,58";"136,66"
"03359017";"Fredenbeck";"Gemeinden";"143,11";"153,31";"135,32";"62,45";"137,08";"268,75";"250,60";"377,80";"299,16"
"03359018";"Freiburg (Elbe), Flecken";"Gemeinden";"101,47";"114,86";"49,26";"87,95";"109,81";"153,23";"219,17";"287,35";"213,45"
"03359019";"Großenwörden";"Gemeinden";"33,97";"63,27";"27,84";"67,90";"119,57";"143,46";"119,93";"62,45";"207,95"
"03359020";"Grünendeich";"Gemeinden";"55,96";"75,65";"64,75";"69,58";"129,00";"87,31";"114,21";"149,52";"272,00"
"03359021";"Guderhandviertel";"Gemeinden";"52,71";"88,00";"95,91";"172,16";"241,75";"332,42";"327,68";"430,12";"566,86"
"03359022";"Hammah";"Gemeinden";"83,79";"70,58";"67,05";"103,17";"190,79";"188,26";"302,14";"305,10";"239,84"
"03359023";"Harsefeld, Flecken";"Gemeinden";"225,88";"151,90";"128,19";"301,66";"216,89";"341,82";"305,49";"417,24";"592,62"
"03359024";"Heinbockel";"Gemeinden";"45,41";"78,59";"69,16";"80,87";"77,93";"66,44";"184,54";"154,97";"196,05"
"03359025";"Himmelpforten";"Gemeinden";"96,61";"159,29";"69,27";"120,88";"100,08";"216,03";"213,30";"346,53";"353,45"
"03359026";"Hollern-Twielenfleth";"Gemeinden";"79,59";"98,08";"60,81";"117,89";"230,95";"299,01";"317,31";"362,72";"452,95"
"03359027";"Horneburg, Flecken";"Gemeinden";"119,73";"96,79";"74,72";"109,04";"186,82";"253,39";"329,10";"367,10";"421,20"
"03359028";"Jork";"Gemeinden";"289,55";"219,96";"59,63";"219,87";"349,07";"328,56";"476,83";"435,96";"497,31"
"03359029";"Kranenburg";"Gemeinden";"33,61";"41,50";"18,18";"38,56";"105,33";"164,33";"174,63";"255,65";"409,66"
"03359030";"Krummendeich";"Gemeinden";"0,00";"5,54";"36,29";"25,42";"126,61";"107,72";"92,14";"3,78";"44,63"
"03359031";"Kutenholz";"Gemeinden";"86,68";"111,84";"77,28";"100,64";"93,91";"224,93";"233,14";"436,01";"738,99"
"03359032";"Mittelnkirchen";"Gemeinden";"125,55";"140,43";"109,44";"128,10";"120,52";"-3,93";"1.297,90";"30,44";"231,28"
"03359033";"Neuenkirchen";"Gemeinden";"39,60";"47,55";"112,10";"18,40";"28,24";"127,08";"98,38";"142,41";"96,70"
"03359034";"Nottensdorf";"Gemeinden";"141,74";"93,40";"84,70";"136,21";"276,80";"755,41";"296,86";"1.024,82";"447,50"
"03359035";"Oederquart";"Gemeinden";"37,46";"29,39";"27,84";"27,76";"67,19";"391,02";"389,50";"803,32";"1.682,15"
"03359036";"Oldendorf";"Gemeinden";"83,02";"65,36";"72,24";"129,11";"354,93";"175,59";"770,25";"233,61";"275,17"
"03359037";"Sauensiek";"Gemeinden";"43,39";"33,78";"66,23";"115,50";"125,97";"148,88";"188,07";"284,04";"294,18"
"03359038";"Stade, Hansestadt";"Gemeinden";"296,52";"987,32";"1.136,15";"474,08";"362,63";"548,29";"598,04";"1.163,22";"1.139,75"
"03359039";"Steinkirchen";"Gemeinden";"409,96";"263,86";"355,27";"314,75";"3.134,66";"360,79";"602,77";"462,52";"598,79"
"03359040";"Wischhafen";"Gemeinden";"385,64";"327,09";"120,36";"289,51";"28,98";"263,98";"349,62";"277,49";"456,49"
"03360001";"Altenmedingen";"Gemeinden";"45,11";"41,54";"41,00";"69,23";"67,05";"103,87";"162,51";"258,81";"374,44"
"03360002";"Bad Bevensen, Stadt";"Gemeinden";"174,52";"175,47";"121,49";"182,16";"167,29";"229,78";"319,12";"383,77";"540,62"
"03360003";"Barum";"Gemeinden";"34,44";"10,92";"78,25";"74,91";"11,98";"176,33";"119,49";"160,65";"318,10"
"03360004";"Bienenbüttel";"Gemeinden";"88,16";"78,67";"69,53";"234,66";"290,15";"741,93";"592,81";"284,59";"197,71"
"03360005";"Bad Bodenteich, Flecken";"Gemeinden";"138,57";"102,37";"128,77";"144,10";"83,98";"205,56";"150,48";"233,32";"345,30"
"03360006";"Ebstorf,Klosterflecken";"Gemeinden";"184,38";"167,82";"174,90";"109,99";"106,63";"216,22";"259,31";"281,46";"340,51"
"03360007";"Eimke";"Gemeinden";"47,86";"41,58";"57,23";"214,50";"123,02";"338,13";"270,14";"423,11";"563,95"
"03360008";"Emmendorf";"Gemeinden";"19,23";"72,52";"29,49";"91,15";"84,37";"361,93";"333,42";"242,28";"378,54"
"03360009";"Gerdau";"Gemeinden";"76,74";"137,13";"102,71";"103,47";"223,45";"365,87";"389,15";"594,85";"663,82"
"03360010";"Hanstedt";"Gemeinden";"21,03";"37,41";"80,27";"294,18";"66,74";"118,79";"182,88";"183,68";"115,49"
"03360011";"Himbergen";"Gemeinden";"31,67";"65,43";"33,81";"44,92";"73,39";"111,11";"104,98";"106,31";"162,37"
"03360012";"Jelmstorf";"Gemeinden";"12,79";"-5,39";"11,29";"15,96";"13,19";"10,32";"15,29";"81,76";"126,62"
"03360013";"Lüder";"Gemeinden";"71,60";"63,20";"88,04";"292,16";"87,33";"197,10";"485,84";"340,70";"296,66"
"03360014";"Natendorf";"Gemeinden";"44,93";"41,82";"70,37";"33,76";"38,74";"112,01";"117,03";"71,41";"136,26"
"03360015";"Oetzen";"Gemeinden";"45,29";"73,35";"80,86";"30,41";"62,70";"235,19";"162,77";"347,21";"388,84"
"03360016";"Rätzlingen";"Gemeinden";"67,62";"70,28";"23,03";"41,34";"92,52";"171,19";"88,94";"28,80";"119,40"
"03360017";"Römstedt";"Gemeinden";"9,49";"29,41";"52,18";"119,95";"33,09";"136,01";"173,34";"284,52";"272,77"
"03360018";"Rosche";"Gemeinden";"89,56";"90,70";"73,29";"217,16";"135,56";"162,97";"351,68";"416,03";"626,08"
"03360019";"Schwienau";"Gemeinden";"216,22";"284,65";"339,13";"198,96";"423,34";"166,67";"475,85";"396,01";"964,91"
"03360020";"Soltendieck";"Gemeinden";"53,42";"36,69";"57,26";"179,66";"34,72";"204,72";"446,25";"506,33";"459,05"
"03360022";"Stoetze";"Gemeinden";"23,81";"20,65";"31,93";"25,53";"47,27";"217,17";"287,51";"174,60";"490,52"
"03360023";"Suderburg";"Gemeinden";"149,60";"107,25";"133,57";"91,01";"126,56";"192,41";"166,78";"235,31";"339,18"
"03360024";"Suhlendorf";"Gemeinden";"150,02";"85,15";"92,18";"80,12";"73,77";"229,76";"160,99";"156,35";"298,70"
"03360025";"Uelzen, Hansestadt";"Gemeinden";"258,21";"326,50";"224,15";"346,01";"392,11";"711,02";"655,39";"690,35";"1.060,52"
"03360026";"Weste";"Gemeinden";"10,12";"25,52";"45,02";"68,20";"52,38";"109,13";"117,09";"159,94";"288,18"
"03360029";"Wriedel";"Gemeinden";"147,65";"59,46";"58,44";"58,64";"98,99";"131,52";"146,94";"218,95";"408,26"
"03360030";"Wrestedt";"Gemeinden";"68,97";"41,31";"72,94";"56,74";"120,20";"155,80";"94,16";"192,78";"259,52"
"03361001";"Achim, Stadt";"Gemeinden";"299,50";"249,78";"210,19";"453,20";"420,21";"495,28";"584,68";"770,43";"743,48"
"03361002";"Blender";"Gemeinden";"144,79";"164,27";"137,17";"90,09";"149,78";"137,01";"226,98";"238,55";"344,24"
"03361003";"Dörverden";"Gemeinden";"107,23";"80,36";"144,94";"95,05";"191,35";"105,23";"192,94";"408,38";"378,88"
"03361004";"Emtinghausen";"Gemeinden";"39,57";"28,13";"47,79";"57,90";"65,70";"143,88";"106,62";"171,65";"204,09"
"03361005";"Kirchlinteln";"Gemeinden";"81,43";"59,66";"168,68";"148,21";"248,15";"339,99";"394,52";"317,53";"458,83"
"03361006";"Langwedel, Flecken";"Gemeinden";"135,33";"71,00";"86,23";"145,03";"151,56";"157,60";"354,38";"193,82";"304,06"
"03361008";"Ottersberg, Flecken";"Gemeinden";"563,94";"426,94";"399,59";"467,52";"314,72";"408,82";"296,81";"400,87";"561,60"
"03361009";"Oyten";"Gemeinden";"185,63";"208,05";"216,86";"367,22";"291,11";"494,19";"661,66";"705,48";"938,75"
"03361010";"Riede";"Gemeinden";"40,15";"33,61";"30,98";"48,22";"117,86";"174,09";"212,65";"303,75";"388,49"
"03361012";"Verden (Aller), Stadt";"Gemeinden";"502,02";"1.005,64";"675,95";"725,66";"1.650,23";"1.359,87";"1.269,45";"2.031,94";"1.915,16"
"03361013";"Thedinghausen";"Gemeinden";"257,92";"191,76";"147,57";"198,30";"184,53";"388,85";"276,40";"443,74";"620,10"
"03401000";"Delmenhorst, Stadt";"Gemeinden";"238,10";"219,73";"189,03";"234,63";"192,49";"208,53";"243,32";"326,34";"391,20"
"03402000";"Emden, Stadt";"Gemeinden";"296,86";"661,04";"435,08";"419,05";"838,73";"865,35";"933,55";"922,68";"1.097,98"
"03403000";"Oldenburg (Oldenburg), Stadt";"Gemeinden";"361,16";"346,45";"313,65";"473,02";"444,83";"506,03";"635,85";"886,02";"956,26"
"03404000";"Osnabrück, Stadt";"Gemeinden";"416,55";"443,68";"300,65";"439,37";"360,02";"635,65";"611,03";"636,30";"884,55"
"03405000";"Wilhelmshaven, Stadt";"Gemeinden";"213,09";"177,86";"175,02";"155,22";"309,75";"242,26";"428,79";"461,98";"478,90"
"03451001";"Apen";"Gemeinden";"147,47";"157,01";"175,81";"207,62";"243,30";"214,68";"267,68";"518,48";"546,61"
"03451002";"Bad Zwischenahn";"Gemeinden";"328,59";"250,22";"232,92";"397,40";"394,54";"281,60";"395,73";"562,59";"436,68"
"03451004";"Edewecht";"Gemeinden";"173,82";"125,15";"163,11";"269,03";"173,97";"285,71";"252,10";"437,74";"459,27"
"03451005";"Rastede";"Gemeinden";"179,00";"150,43";"108,36";"337,53";"267,30";"382,10";"387,68";"766,82";"858,95"
"03451007";"Westerstede, Stadt";"Gemeinden";"234,58";"140,48";"173,38";"241,64";"135,44";"768,37";"843,68";"546,43";"1.021,71"
"03451008";"Wiefelstede";"Gemeinden";"186,03";"108,35";"196,58";"279,38";"190,03";"320,65";"348,12";"525,69";"713,36"
"03452001";"Aurich, Stadt";"Gemeinden";"205,19";"207,08";"546,90";"1.104,99";"1.795,86";"4.096,22";"1.009,22";"518,88";"816,37"
"03452002";"Baltrum";"Gemeinden";"407,20";"263,67";"281,59";"330,56";"465,16";"434,40";"656,03";"1.298,70";"2.217,36"
"03452003";"Berumbur";"Gemeinden";"25,11";"6,32";"16,22";"25,15";"31,80";"40,08";"42,60";"73,26";"77,06"
"03452006";"Großefehn";"Gemeinden";"182,72";"120,24";"44,15";"117,58";"204,81";"245,42";"372,32";"458,50";"529,80"
"03452007";"Großheide";"Gemeinden";"51,12";"57,19";"22,39";"77,34";"89,76";"82,68";"158,10";"152,79";"170,77"
"03452008";"Hage, Flecken";"Gemeinden";"104,42";"69,88";"68,22";"174,70";"96,97";"125,45";"172,03";"285,54";"283,82"
"03452009";"Hagermarsch";"Gemeinden";"4,98";"0,00";"176,09";"261,54";"666,67";"271,91";"318,76";"760,07";"837,17"
"03452010";"Halbemond";"Gemeinden";"5,56";"14,11";"8,51";"30,42";"19,16";"80,56";"116,07";"138,01";"556,63"
"03452011";"Hinte";"Gemeinden";"15,47";"14,53";"23,03";"28,07";"45,77";"101,80";"99,98";"252,37";"353,78"
"03452012";"Ihlow";"Gemeinden";"55,87";"80,09";"114,72";"147,94";"221,93";"354,15";"710,23";"660,47";"743,50"
"03452013";"Juist, Inselgemeinde";"Gemeinden";"352,51";"93,29";"316,10";"306,27";"485,26";"822,08";"1.211,10";"1.257,33";"2.157,10"
"03452014";"Krummhörn";"Gemeinden";"188,53";"137,56";"135,97";"363,06";"434,81";"620,95";"492,90";"649,20";"858,20"
"03452015";"Leezdorf";"Gemeinden";"41,53";"35,01";"10,66";"23,26";"41,90";"84,99";"67,80";"168,21";"219,06"
"03452016";"Lütetsburg";"Gemeinden";"150,60";"236,56";"80,60";"87,18";"256,51";"211,08";"777,52";"1.013,18";"2.250,27"
"03452017";"Marienhafe, Flecken";"Gemeinden";"235,29";"187,92";"175,45";"214,42";"188,99";"191,74";"284,65";"312,97";"316,02"
"03452019";"Norden, Stadt";"Gemeinden";"166,84";"179,81";"94,57";"176,62";"203,32";"225,82";"405,44";"495,58";"718,22"
"03452020";"Norderney, Stadt";"Gemeinden";"220,41";"161,04";"267,36";"223,24";"465,40";"631,31";"911,89";"893,72";"1.390,74"
"03452021";"Osteel";"Gemeinden";"14,29";"5,81";"19,92";"54,99";"49,30";"79,51";"200,25";"225,51";"225,34"
"03452022";"Rechtsupweg";"Gemeinden";"86,26";"19,79";"8,08";"41,89";"62,26";"166,02";"116,53";"138,96";"327,15"
"03452023";"Südbrookmerland";"Gemeinden";"83,12";"52,36";"63,74";"61,49";"87,03";"130,96";"127,86";"179,69";"204,47"
"03452024";"Upgant-Schott";"Gemeinden";"39,68";"55,19";"51,72";"60,65";"75,28";"107,05";"147,37";"168,10";"176,09"
"03452025";"Wiesmoor, Stadt";"Gemeinden";"236,52";"257,61";"263,25";"138,48";"192,19";"242,88";"335,71";"495,09";"701,74"
"03452026";"Wirdum";"Gemeinden";"36,28";"50,86";"86,24";"11,25";"71,09";"86,49";"87,84";"61,21";"61,20"
"03452027";"Dornum";"Gemeinden";"274,50";"122,09";"75,88";"428,48";"364,90";"228,95";"361,11";"516,00";"1.191,70"
"03452501";"Nordseeinsel Memmert, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"03453001";"Barßel";"Gemeinden";"115,83";"113,29";"247,94";"212,09";"134,55";"275,39";"363,66";"312,72";"315,27"
"03453002";"Bösel";"Gemeinden";"120,09";"157,11";"230,77";"190,21";"214,55";"452,22";"629,18";"745,25";"564,42"
"03453003";"Cappeln (Oldenburg)";"Gemeinden";"175,18";"262,87";"283,16";"369,79";"327,46";"432,89";"485,28";"461,99";"725,74"
"03453004";"Cloppenburg, Stadt";"Gemeinden";"251,34";"215,92";"254,39";"317,25";"273,95";"405,43";"458,06";"521,68";"1.096,49"
"03453005";"Emstek";"Gemeinden";"308,40";"1.068,59";"1.017,10";"2.122,13";"795,06";"1.053,24";"918,63";"1.052,26";"1.714,28"
"03453006";"Essen (Oldenburg)";"Gemeinden";"262,82";"372,67";"646,75";"768,43";"1.183,39";"1.161,84";"1.154,29";"1.314,50";"1.504,41"
"03453007";"Friesoythe, Stadt";"Gemeinden";"179,03";"244,72";"361,24";"265,70";"268,67";"348,63";"444,83";"589,20";"920,50"
"03453008";"Garrel";"Gemeinden";"176,29";"217,81";"458,16";"203,82";"239,78";"369,73";"416,31";"645,69";"655,69"
"03453009";"Lastrup";"Gemeinden";"200,26";"254,13";"309,49";"560,44";"422,29";"649,91";"669,05";"733,80";"971,51"
"03453010";"Lindern (Oldenburg)";"Gemeinden";"394,51";"255,43";"200,69";"356,62";"246,28";"356,19";"612,92";"567,82";"594,27"
"03453011";"Löningen, Stadt";"Gemeinden";"325,73";"295,38";"168,25";"273,15";"218,12";"247,53";"610,98";"716,45";"574,64"
"03453012";"Molbergen";"Gemeinden";"146,04";"259,33";"177,49";"253,56";"242,39";"314,42";"395,81";"382,96";"432,20"
"03453013";"Saterland";"Gemeinden";"94,67";"130,94";"112,77";"148,02";"280,22";"298,80";"528,00";"720,40";"929,23"
"03454001";"Andervenne";"Gemeinden";"93,79";"40,42";"115,68";"4,27";"48,46";"207,13";"193,29";"265,83";"421,05"
"03454002";"Bawinkel";"Gemeinden";"138,93";"197,11";"187,47";"125,00";"346,19";"318,47";"413,25";"315,27";"437,39"
"03454003";"Beesten";"Gemeinden";"103,43";"134,30";"130,93";"138,44";"520,53";"597,03";"460,95";"599,88";"940,99"
"03454004";"Bockhorst";"Gemeinden";"60,95";"128,54";"46,03";"91,18";"68,04";"74,90";"108,01";"98,41";"239,38"
"03454005";"Börger";"Gemeinden";"362,26";"178,97";"94,45";"101,35";"225,67";"334,92";"591,24";"695,45";"961,06"
"03454006";"Breddenberg";"Gemeinden";"58,64";"29,26";"66,41";"96,86";"137,40";"110,82";"166,96";"400,94";"500,79"
"03454007";"Dersum";"Gemeinden";"64,15";"65,56";"152,28";"110,43";"219,21";"180,67";"322,62";"852,53";"554,67"
"03454008";"Dörpen";"Gemeinden";"473,89";"2.055,10";"2.331,42";"756,34";"614,60";"400,12";"511,98";"1.619,18";"2.249,25"
"03454009";"Dohren";"Gemeinden";"18,17";"12,31";"27,85";"22,38";"209,42";"396,36";"656,39";"362,81";"512,10"
"03454010";"Emsbüren";"Gemeinden";"161,71";"120,37";"121,95";"103,09";"227,58";"392,08";"423,00";"524,53";"685,57"
"03454011";"Esterwegen";"Gemeinden";"91,88";"69,83";"57,58";"110,85";"156,29";"219,91";"221,70";"301,94";"427,16"
"03454012";"Freren, Stadt";"Gemeinden";"119,23";"120,59";"74,73";"131,45";"161,05";"278,62";"200,35";"360,35";"353,59"
"03454013";"Fresenburg";"Gemeinden";"310,68";"127,61";"37,44";"87,44";"276,57";"331,51";"238,40";"806,75";"467,87"
"03454014";"Geeste";"Gemeinden";"0,00";"309,53";"237,35";"430,97";"600,37";"441,30";"450,42";"671,43";"746,91"
"03454015";"Gersten";"Gemeinden";"49,43";"33,22";"48,92";"69,14";"113,65";"247,15";"266,57";"572,45";"661,13"
"03454016";"Groß Berßen";"Gemeinden";"45,66";"31,07";"151,77";"268,33";"231,00";"7.948,17";"370,34";"822,03";"714,09"
"03454017";"Handrup";"Gemeinden";"145,24";"90,17";"50,46";"42,05";"76,40";"271,56";"221,80";"400,82";"713,16"
"03454018";"Haren (Ems), Stadt";"Gemeinden";"247,79";"186,77";"166,10";"309,68";"507,52";"487,70";"665,80";"968,52";"1.159,96"
"03454019";"Haselünne, Stadt";"Gemeinden";"184,59";"128,87";"135,45";"176,33";"277,27";"284,78";"421,97";"585,80";"667,53"
"03454020";"Heede";"Gemeinden";"58,97";"32,27";"76,08";"73,57";"112,14";"160,96";"-2.647,40";"670,85";"1.007,40"
"03454021";"Herzlake";"Gemeinden";"192,23";"78,59";"194,64";"337,74";"262,02";"455,43";"845,14";"940,04";"867,50"
"03454022";"Hilkenbrook";"Gemeinden";"24,62";"96,26";"288,20";"392,94";"-60,28";"223,73";"129,35";"269,60";"400,12"
"03454023";"Hüven";"Gemeinden";"80,07";"168,44";"74,87";"340,46";"231,19";"209,35";"365,81";"1.783,54";"1.410,25"
"03454024";"Klein Berßen";"Gemeinden";"136,28";"105,65";"114,97";"27,47";"129,25";"483,87";"458,92";"821,16";"1.236,26"
"03454025";"Kluse";"Gemeinden";"130,56";"49,05";"65,19";"110,66";"510,78";"363,93";"471,24";"538,11";"1.110,52"
"03454026";"Lähden";"Gemeinden";"94,41";"73,75";"75,35";"133,33";"106,39";"291,05";"316,81";"349,81";"359,27"
"03454027";"Lahn";"Gemeinden";"39,68";"50,69";"5,69";"32,84";"146,48";"266,51";"352,61";"853,18";"768,46"
"03454028";"Langen";"Gemeinden";"96,42";"64,57";"59,78";"174,38";"84,73";"214,58";"206,83";"246,23";"388,53"
"03454029";"Lathen";"Gemeinden";"174,76";"178,64";"123,85";"240,27";"411,18";"352,02";"405,37";"512,09";"618,05"
"03454030";"Lehe";"Gemeinden";"30,94";"39,73";"120,37";"59,54";"553,30";"352,83";"416,37";"957,25";"756,12"
"03454031";"Lengerich";"Gemeinden";"186,10";"125,99";"139,20";"112,45";"269,11";"528,94";"544,03";"509,90";"840,11"
"03454032";"Lingen (Ems), Stadt";"Gemeinden";"556,65";"585,86";"530,95";"566,77";"738,51";"738,89";"580,78";"867,47";"842,23"
"03454033";"Lorup";"Gemeinden";"132,04";"198,16";"247,32";"402,89";"399,67";"422,30";"640,77";"1.335,44";"1.835,15"
"03454034";"Lünne";"Gemeinden";"127,58";"74,77";"28,28";"-1,69";"269,29";"404,12";"357,15";"635,57";"862,61"
"03454035";"Meppen, Stadt";"Gemeinden";"276,35";"208,45";"202,39";"374,14";"457,71";"571,29";"584,19";"690,93";"1.172,31"
"03454036";"Messingen";"Gemeinden";"56,95";"70,54";"23,99";"72,58";"188,85";"248,61";"231,16";"385,40";"392,91"
"03454037";"Neubörger";"Gemeinden";"65,76";"46,93";"39,27";"63,18";"110,89";"241,47";"204,65";"291,92";"368,93"
"03454038";"Neulehe";"Gemeinden";"184,17";"165,92";"163,61";"123,78";"203,34";"135,10";"263,26";"548,10";"1.031,78"
"03454039";"Niederlangen";"Gemeinden";"93,46";"190,73";"70,72";"146,86";"628,74";"310,54";"663,64";"425,24";"276,21"
"03454040";"Oberlangen";"Gemeinden";"0,00";"6,89";"14,54";"8,59";"204,26";"104,76";"421,10";"274,59";"334,19"
"03454041";"Papenburg, Stadt";"Gemeinden";"206,31";"178,17";"188,94";"212,03";"316,43";"320,89";"511,73";"609,79";"882,90"
"03454042";"Rastdorf";"Gemeinden";"54,88";"85,38";"123,26";"159,27";"119,88";"424,06";"670,82";"861,66";"850,03"
"03454043";"Renkenberge";"Gemeinden";"3,20";"1,54";"10,67";"27,66";"147,56";"103,45";"130,51";"555,42";"858,03"
"03454044";"Rhede (Ems)";"Gemeinden";"79,01";"97,83";"65,11";"109,60";"267,42";"341,63";"392,64";"709,19";"839,10"
"03454045";"Salzbergen";"Gemeinden";"81,90";"317,03";"872,68";"-20,87";"607,45";"1.061,64";"1.361,90";"924,99";"1.607,85"
"03454046";"Schapen";"Gemeinden";"123,86";"148,95";"29,61";"173,52";"160,16";"395,03";"469,29";"643,31";"605,60"
"03454047";"Sögel";"Gemeinden";"159,57";"106,51";"114,79";"249,82";"312,17";"619,61";"534,76";"925,87";"1.022,82"
"03454048";"Spahnharrenstätte";"Gemeinden";"96,37";"63,77";"93,88";"51,47";"136,78";"147,06";"264,54";"445,32";"413,29"
"03454049";"Spelle";"Gemeinden";"305,63";"232,01";"215,67";"314,46";"591,00";"1.367,17";"835,67";"1.749,85";"1.776,48"
"03454050";"Stavern";"Gemeinden";"37,28";"24,66";"10,21";"44,17";"45,03";"54,49";"136,89";"139,51";"106,20"
"03454051";"Surwold";"Gemeinden";"174,58";"324,76";"86,88";"67,60";"355,73";"270,00";"384,47";"676,63";"500,16"
"03454052";"Sustrum";"Gemeinden";"44,50";"32,99";"21,63";"37,45";"195,93";"277,35";"377,29";"765,75";"675,66"
"03454053";"Thuine";"Gemeinden";"73,20";"51,18";"64,12";"111,68";"109,69";"137,33";"61,33";"173,36";"326,73"
"03454054";"Twist";"Gemeinden";"198,20";"145,93";"163,00";"297,26";"404,05";"520,42";"442,82";"704,42";"1.259,43"
"03454055";"Vrees";"Gemeinden";"179,78";"91,99";"155,16";"231,06";"300,25";"913,04";"645,23";"938,25";"1.001,58"
"03454056";"Walchum";"Gemeinden";"13,76";"17,46";"114,01";"175,02";"369,68";"245,35";"561,06";"522,59";"667,07"
"03454057";"Werlte, Stadt";"Gemeinden";"127,60";"228,94";"328,75";"611,08";"265,62";"445,93";"660,82";"609,22";"936,61"
"03454058";"Werpeloh";"Gemeinden";"90,46";"77,99";"83,49";"26,22";"105,08";"306,36";"531,91";"415,37";"319,23"
"03454059";"Wettrup";"Gemeinden";"47,20";"25,34";"6,85";"10,56";"147,16";"76,11";"35,58";"53,03";"211,53"
"03454060";"Wippingen";"Gemeinden";"119,54";"27,50";"67,36";"152,45";"176,47";"395,90";"498,78";"390,49";"718,35"
"03455007";"Jever, Stadt";"Gemeinden";"165,28";"130,31";"103,50";"135,21";"140,54";"230,53";"746,80";"380,48";"430,19"
"03455014";"Sande";"Gemeinden";"100,11";"160,59";"134,73";"241,60";"402,75";"271,66";"170,43";"418,49";"485,71"
"03455015";"Schortens, Stadt";"Gemeinden";"141,96";"84,30";"76,31";"112,61";"86,25";"162,99";"199,06";"262,35";"237,86"
"03455020";"Wangerland";"Gemeinden";"91,84";"84,07";"160,82";"136,13";"181,64";"232,39";"318,69";"436,34";"541,45"
"03455021";"Wangerooge, Nordseebad";"Gemeinden";"228,75";"258,09";"184,81";"184,73";"251,35";"362,44";"458,21";"727,65";"886,40"
"03455025";"Bockhorn";"Gemeinden";"146,32";"81,21";"75,36";"65,15";"80,39";"134,39";"146,98";"262,91";"218,16"
"03455026";"Varel, Stadt";"Gemeinden";"215,44";"272,07";"647,80";"306,48";"213,64";"477,67";"458,07";"459,35";"766,06"
"03455027";"Zetel";"Gemeinden";"151,09";"98,38";"45,19";"163,78";"159,05";"141,97";"218,47";"335,69";"274,04"
"03456001";"Bad Bentheim, Stadt";"Gemeinden";"104,69";"150,50";"126,95";"269,04";"97,08";"332,09";"391,02";"713,36";"832,19"
"03456002";"Emlichheim";"Gemeinden";"160,95";"170,39";"247,70";"214,97";"109,14";"383,60";"515,75";"907,17";"813,12"
"03456003";"Engden";"Gemeinden";"2,35";"23,26";"21,46";"43,96";"65,61";"206,82";"609,27";"596,98";"563,87"
"03456004";"Esche";"Gemeinden";"167,91";"160,52";"68,78";"77,32";"408,23";"594,36";"1.017,69";"673,61";"377,29"
"03456005";"Georgsdorf";"Gemeinden";"177,98";"218,90";"248,07";"303,32";"249,24";"219,32";"248,94";"376,40";"506,36"
