Kennziffer;Raumeinheit;Aggregat;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01053004";"Bäk";"Gemeinden";"9,62";"9,86";"333,76";"334,15";"84,54";"129,74";"-121,87";"47,75";"90,62"
"01053005";"Bälau";"Gemeinden";"12,55";"4,13";"12,20";"40,65";"54,85";"663,76";"328,90";"533,76";"663,91"
"01053006";"Basedow";"Gemeinden";"13,33";"44,07";"27,27";"8,78";"28,45";"68,29";"55,01";"67,36";"408,86"
"01053007";"Basthorst";"Gemeinden";"34,83";"16,91";"22,84";"10,42";"31,25";"59,11";"114,78";"198,05";"241,78"
"01053008";"Behlendorf";"Gemeinden";"81,08";"2,69";"11,30";"191,44";"72,35";"120,97";"28,65";"75,60";"77,61"
"01053009";"Berkenthin";"Gemeinden";"141,91";"103,43";"120,69";"87,00";"56,95";"110,57";"122,33";"143,23";"124,02"
"01053010";"Besenthal";"Gemeinden";"11,49";"28,17";"0,00";"13,16";"12,99";"24,10";"19,03";"26,06";"50,15"
"01053011";"Bliestorf";"Gemeinden";"100,00";"6,15";"12,03";"30,04";"15,97";"18,66";"38,39";"136,71";"153,54"
"01053012";"Börnsen";"Gemeinden";"146,74";"59,91";"55,82";"747,01";"609,68";"454,23";"214,89";"257,46";"429,06"
"01053013";"Borstorf";"Gemeinden";"10,24";"19,17";"9,71";"16,23";"23,65";"7,41";"36,57";"-47,80";"33,28"
"01053014";"Breitenfelde";"Gemeinden";"99,21";"240,10";"82,69";"166,39";"203,52";"260,35";"141,71";"110,23";"365,57"
"01053015";"Bröthen";"Gemeinden";"83,70";"-8,62";"271,32";"444,44";"61,37";"7,19";"11,24";"110,61";"88,34"
"01053016";"Brunsmark";"Gemeinden";"-32,52";"8,33";"7,30";"6,58";"19,48";"93,96";"111,10";"6,17";"88,85"
"01053017";"Brunstorf";"Gemeinden";"100,00";"18,48";"85,66";"59,29";"73,67";"162,75";"138,85";"137,95";"68,07"
"01053018";"Buchholz";"Gemeinden";"4,35";"4,46";"4,52";"12,24";"8,51";"30,43";"78,84";"197,57";"116,13"
"01053019";"Buchhorst";"Gemeinden";"390,37";"816,22";"293,10";"6,49";"35,93";"219,51";"420,41";"457,64";"1.207,34"
"01053020";"Büchen";"Gemeinden";"150,31";"169,44";"243,56";"542,60";"446,98";"699,68";"813,62";"815,15";"719,57"
"01053021";"Dahmker";"Gemeinden";"8,20";"172,13";"268,66";"375,00";"737,18";"1.103,03";"114,04";"2.563,32";"683,56"
"01053022";"Dalldorf";"Gemeinden";"3,06";"64,90";"2,97";"33,80";"5,52";"27,25";"71,59";"87,30";"111,55"
"01053023";"Dassendorf";"Gemeinden";"49,33";"70,36";"49,35";"51,66";"142,76";"151,10";"319,83";"664,45";"540,79"
"01053024";"Düchelsdorf";"Gemeinden";"7,58";"6,90";"0,00";"6,21";"0,00";"6,58";"21,69";"173,86";"83,36"
"01053025";"Duvensee";"Gemeinden";"51,90";"47,98";"16,82";"65,18";"153,41";"111,93";"133,86";"155,58";"221,82"
"01053026";"Einhaus";"Gemeinden";"8,33";"0,00";"5,70";"71,07";"38,66";"-21,11";"8,91";"46,99";"25,74"
"01053027";"Elmenhorst";"Gemeinden";"94,79";"104,67";"347,73";"301,41";"82,61";"510,93";"1.230,13";"1.615,26";"2.430,53"
"01053028";"Escheburg";"Gemeinden";"100,30";"105,05";"79,77";"67,47";"65,52";"93,28";"74,69";"129,59";"112,21"
"01053029";"Fitzen";"Gemeinden";"13,38";"5,78";"8,40";"2,75";"27,32";"83,33";"59,29";"55,92";"227,22"
"01053030";"Fredeburg";"Gemeinden";"0,00";"25,00";"32,26";"153,85";"27,03";"382,98";"271,11";"224,47";"2.564,94"
"01053031";"Fuhlenhagen";"Gemeinden";"13,56";"45,45";"13,11";"6,76";"61,64";"35,82";"316,09";"120,26";"381,37"
"01053032";"Geesthacht, Stadt";"Gemeinden";"325,13";"1.246,36";"560,17";"647,37";"264,51";"665,94";"580,16";"697,03";"1.286,79"
"01053033";"Giesensdorf";"Gemeinden";"10,00";"9,01";"0,00";"51,55";"43,01";"0,00";"26,25";"65,69";"119,71"
"01053034";"Göldenitz";"Gemeinden";"-29,56";"18,96";"-13,76";"17,86";"100,84";"129,87";"153,57";"106,03";"200,05"
"01053035";"Göttin";"Gemeinden";"65,22";"98,04";"217,39";"0,00";"20,00";"-52,63";"10,06";"2,62";"2,51"
"01053036";"Grabau";"Gemeinden";"8,00";"7,69";"38,60";"7,07";"48,61";"128,62";"81,10";"81,23";"94,96"
"01053037";"Grambek";"Gemeinden";"250,00";"207,35";"290,73";"402,99";"387,25";"265,55";"401,84";"377,48";"172,96"
"01053038";"Grinau";"Gemeinden";"38,33";"6,90";"302,72";"233,64";"32,54";"65,57";"40,59";"39,49";"100,90"
"01053039";"Groß Boden";"Gemeinden";"4,78";"38,28";"18,96";"14,15";"13,82";"182,74";"136,86";"368,50";"633,17"
"01053040";"Groß Disnack";"Gemeinden";"43,48";"40,00";"120,88";"133,33";"34,88";"12,05";"44,12";"-119,12";"2,35"
"01053041";"Groß Grönau";"Gemeinden";"52,83";"56,32";"20,70";"68,52";"66,50";"90,96";"245,29";"515,93";"440,62"
"01053042";"Groß Pampau";"Gemeinden";"1.728,97";"923,08";"643,41";"480,31";"384,06";"496,60";"555,85";"355,60";"610,44"
"01053043";"Groß Sarau";"Gemeinden";"7,34";"9,70";"81,99";"174,86";"811,07";"109,93";"98,10";"167,30";"197,62"
"01053044";"Groß Schenkenberg";"Gemeinden";"36,47";"76,49";"3,70";"16,92";"78,65";"93,63";"113,11";"332,49";"77,15"
"01053045";"Grove";"Gemeinden";"8,44";"125,00";"33,33";"8,70";"27,67";"289,68";"188,47";"218,09";"336,25"
"01053046";"Gudow";"Gemeinden";"145,09";"100,24";"61,57";"58,50";"76,97";"74,46";"101,10";"120,41";"115,93"
"01053047";"Gülzow";"Gemeinden";"9,20";"8,01";"11,48";"57,65";"65,86";"70,22";"29,43";"72,13";"67,56"
"01053048";"Güster";"Gemeinden";"30,41";"230,77";"242,37";"175,39";"230,22";"363,41";"393,26";"446,08";"704,56"
"01053049";"Hamfelde";"Gemeinden";"37,70";"39,62";"60,24";"15,32";"112,17";"107,30";"150,40";"162,51";"137,79"
"01053050";"Hamwarde";"Gemeinden";"6,82";"29,33";"6,71";"3,96";"26,11";"50,96";"60,69";"72,12";"29,99"
"01053051";"Harmsdorf";"Gemeinden";"64,64";"69,26";"52,13";"16,39";"121,77";"87,10";"168,75";"59,40";"252,13"
"01053052";"Havekost";"Gemeinden";"24,79";"24,00";"14,60";"0,00";"26,49";"361,58";"253,07";"385,05";"420,06"
"01053053";"Hohenhorn";"Gemeinden";"84,86";"16,06";"40,09";"72,07";"103,87";"75,61";"59,03";"275,68";"490,81"
"01053054";"Hollenbek";"Gemeinden";"27,43";"13,42";"24,12";"11,34";"35,96";"75,12";"3,81";"30,29";"24,36"
"01053056";"Hornbek";"Gemeinden";"11,76";"10,36";"27,32";"129,03";"165,75";"106,74";"80,82";"88,44";"156,90"
"01053057";"Horst";"Gemeinden";"7,52";"4,17";"12,61";"12,15";"12,66";"303,17";"23,17";"144,78";"115,71"
"01053058";"Juliusburg";"Gemeinden";"0,00";"35,53";"10,20";"5,32";"0,00";"45,98";"65,22";"42,70";"35,61"
"01053059";"Kankelau";"Gemeinden";"9,95";"5,29";"9,48";"4,52";"0,00";"44,78";"109,81";"127,11";"155,89"
"01053060";"Kasseburg";"Gemeinden";"7,23";"14,31";"17,73";"27,99";"11,36";"74,96";"74,99";"56,02";"105,52"
"01053061";"Kastorf";"Gemeinden";"68,51";"75,17";"46,64";"177,14";"173,99";"465,68";"413,27";"867,98";"2.005,87"
"01053062";"Kittlitz";"Gemeinden";"7,49";"-7,75";"-14,08";"3,97";"-43,31";"8,26";"75,87";"47,17";"108,09"
"01053064";"Klein Pampau";"Gemeinden";"37,43";"4,50";"7,60";"58,73";"24,47";"120,52";"-9,48";"7,32";"33,34"
"01053066";"Klein Zecher";"Gemeinden";"4,63";"0,00";"8,44";"4,02";"101,21";"44,18";"158,21";"207,25";"374,23"
"01053067";"Klempau";"Gemeinden";"67,15";"88,77";"64,89";"72,58";"59,58";"119,81";"113,16";"200,93";"287,34"
"01053068";"Klinkrade";"Gemeinden";"37,81";"27,47";"-9,07";"47,36";"49,00";"50,65";"47,80";"96,27";"102,14"
"01053069";"Koberg";"Gemeinden";"14,06";"22,12";"57,72";"55,41";"64,77";"77,13";"109,47";"54,14";"100,95"
"01053070";"Köthel";"Gemeinden";"202,53";"-18,66";"25,64";"24,56";"-6,92";"51,09";"80,46";"30,10";"27,45"
"01053071";"Kollow";"Gemeinden";"79,27";"-6,57";"24,06";"24,32";"93,46";"79,93";"37,77";"217,17";"110,07"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"47,57";"9,63";"169,01";"69,16";"64,86";"174,20";"158,32";"121,96";"181,26"
"01053073";"Krüzen";"Gemeinden";"-20,76";"25,97";"24,62";"8,62";"17,14";"124,31";"118,40";"149,24";"265,83"
"01053074";"Krukow";"Gemeinden";"10,75";"15,54";"14,85";"25,77";"35,90";"97,40";"100,47";"188,29";"97,08"
"01053075";"Krummesse";"Gemeinden";"75,43";"0,00";"22,19";"42,55";"28,21";"52,42";"121,60";"103,60";"179,94"
"01053076";"Kuddewörde";"Gemeinden";"39,78";"65,10";"48,10";"30,57";"158,09";"154,59";"241,92";"272,86";"160,13"
"01053077";"Kühsen";"Gemeinden";"7,59";"19,18";"15,04";"18,09";"27,92";"134,62";"62,69";"33,61";"101,65"
"01053078";"Kulpin";"Gemeinden";"20,41";"88,24";"4,20";"20,92";"13,22";"43,06";"118,07";"58,64";"97,56"
