Kennziffer;Raumeinheit;Aggregat;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"08118076";"Sachsenheim, Stadt";"Gemeinden";"456,38";"489,51";"533,43";"596,04";"674,83";"902,36";"989,94";"1.166,03";"2.165,38"
"08118077";"Ingersheim";"Gemeinden";"526,59";"523,81";"623,81";"656,98";"781,13";"937,09";"1.308,30";"1.232,24";"1.404,09"
"08118078";"Freiberg am Neckar, Stadt";"Gemeinden";"649,80";"714,40";"841,02";"791,10";"1.060,96";"1.416,52";"1.524,38";"1.532,66";"1.752,13"
"08118079";"Bietigheim-Bissingen, Stadt";"Gemeinden";"722,67";"734,30";"887,38";"964,94";"1.278,40";"1.404,45";"1.585,33";"1.759,58";"2.067,25"
"08118080";"Korntal-Münchingen, Stadt";"Gemeinden";"842,94";"748,48";"974,85";"1.034,07";"1.263,29";"1.389,33";"1.532,60";"1.514,18";"1.927,76"
"08118081";"Remseck am Neckar, Stadt";"Gemeinden";"687,02";"620,72";"681,93";"641,80";"777,64";"923,22";"1.114,50";"1.261,76";"1.359,31"
"08119001";"Alfdorf";"Gemeinden";"878,86";"488,77";"561,38";"630,18";"984,59";"1.101,04";"2.067,02";"1.495,75";"1.512,16"
"08119003";"Allmersbach im Tal";"Gemeinden";"576,93";"514,85";"567,52";"535,24";"1.065,20";"883,88";"1.215,11";"1.190,59";"1.285,50"
"08119004";"Althütte";"Gemeinden";"479,73";"483,48";"499,03";"473,09";"579,05";"729,06";"862,10";"1.058,99";"1.171,05"
"08119006";"Auenwald";"Gemeinden";"463,31";"463,88";"533,74";"542,27";"614,73";"887,54";"1.055,46";"1.080,71";"1.165,91"
"08119008";"Backnang, Stadt";"Gemeinden";"692,14";"726,28";"724,45";"728,06";"1.020,19";"1.032,84";"1.034,26";"1.411,39";"1.595,81"
"08119018";"Burgstetten";"Gemeinden";"473,41";"487,24";"562,30";"570,46";"627,56";"770,24";"925,74";"1.099,52";"1.363,15"
"08119020";"Fellbach, Stadt";"Gemeinden";"880,15";"985,24";"1.002,34";"1.006,88";"1.045,99";"1.222,76";"1.947,77";"1.896,90";"2.025,67"
"08119024";"Großerlach";"Gemeinden";"328,97";"362,37";"380,54";"374,24";"453,63";"601,85";"755,56";"869,41";"1.040,05"
"08119037";"Kaisersbach";"Gemeinden";"325,62";"372,29";"341,59";"394,30";"477,74";"684,00";"883,92";"955,15";"1.304,08"
"08119038";"Kirchberg an der Murr";"Gemeinden";"949,86";"653,30";"678,69";"772,49";"751,21";"964,83";"1.051,96";"1.208,20";"1.258,23"
"08119041";"Korb";"Gemeinden";"568,60";"601,41";"664,29";"671,83";"714,35";"940,97";"1.074,23";"1.188,09";"1.268,46"
"08119042";"Leutenbach";"Gemeinden";"516,08";"536,24";"601,62";"604,36";"649,45";"886,95";"1.092,83";"1.061,92";"1.165,13"
"08119044";"Murrhardt, Stadt";"Gemeinden";"524,73";"556,99";"580,25";"658,18";"583,55";"706,71";"951,18";"933,19";"1.126,54"
"08119053";"Oppenweiler";"Gemeinden";"874,41";"901,46";"936,40";"1.224,13";"591,55";"1.287,44";"1.373,75";"1.638,16";"1.749,04"
"08119055";"Plüderhausen";"Gemeinden";"622,48";"541,41";"703,85";"731,88";"736,27";"944,02";"1.238,45";"1.316,52";"1.514,30"
"08119061";"Rudersberg";"Gemeinden";"651,52";"457,52";"490,97";"538,23";"617,44";"788,91";"951,12";"1.045,78";"1.109,28"
"08119067";"Schorndorf, Stadt";"Gemeinden";"606,05";"604,96";"652,82";"809,72";"815,68";"1.077,26";"1.238,44";"1.340,44";"1.528,32"
"08119068";"Schwaikheim";"Gemeinden";"628,78";"582,67";"448,65";"656,61";"736,58";"926,22";"1.205,56";"1.264,47";"1.318,87"
"08119069";"Spiegelberg";"Gemeinden";"359,92";"462,36";"501,13";"481,31";"525,76";"651,12";"847,21";"935,13";"1.023,87"
"08119075";"Sulzbach an der Murr";"Gemeinden";"627,44";"569,26";"751,92";"536,04";"668,53";"844,78";"1.113,14";"1.679,93";"1.347,15"
"08119076";"Urbach";"Gemeinden";"746,82";"643,25";"535,26";"610,08";"729,10";"912,56";"1.183,52";"1.372,53";"1.453,42"
"08119079";"Waiblingen, Stadt";"Gemeinden";"809,13";"1.003,27";"962,54";"1.313,80";"1.057,32";"1.448,33";"1.741,25";"2.142,42";"2.978,48"
"08119083";"Weissach im Tal";"Gemeinden";"516,88";"512,85";"566,76";"580,71";"739,29";"812,01";"926,26";"1.034,93";"1.134,89"
"08119084";"Welzheim, Stadt";"Gemeinden";"481,34";"499,68";"484,61";"539,91";"626,82";"868,85";"1.220,14";"1.091,93";"1.177,06"
"08119085";"Winnenden, Stadt";"Gemeinden";"731,14";"651,01";"802,92";"754,12";"1.084,39";"1.123,75";"1.465,92";"1.768,46";"1.789,90"
"08119086";"Winterbach";"Gemeinden";"520,33";"652,22";"726,44";"799,27";"1.040,83";"1.201,30";"1.435,65";"2.009,86";"1.870,40"
"08119087";"Aspach";"Gemeinden";"553,77";"614,99";"617,42";"423,48";"703,48";"1.020,88";"1.520,28";"1.427,06";"1.729,18"
"08119089";"Berglen";"Gemeinden";"476,90";"456,15";"520,16";"550,08";"672,55";"859,73";"979,01";"1.034,21";"1.223,25"
"08119090";"Remshalden";"Gemeinden";"667,77";"733,15";"702,35";"723,70";"785,98";"1.016,45";"1.190,24";"1.269,55";"1.672,65"
"08119091";"Weinstadt, Stadt";"Gemeinden";"727,40";"666,61";"686,91";"813,98";"939,65";"1.164,65";"1.392,52";"1.471,11";"1.647,86"
"08119093";"Kernen im Remstal";"Gemeinden";"597,23";"590,70";"569,45";"670,11";"806,65";"982,53";"1.146,64";"1.433,11";"1.654,68"
"08121000";"Heilbronn, Universitätsstadt";"Gemeinden";"859,29";"969,51";"921,39";"1.018,07";"923,54";"1.584,46";"1.575,83";"1.800,07";"1.973,48"
"08125001";"Abstatt";"Gemeinden";"599,75";"767,50";"810,82";"2.122,39";"1.199,02";"869,79";"1.551,51";"2.065,32";"2.228,50"
"08125005";"Bad Friedrichshall, Stadt";"Gemeinden";"480,41";"527,22";"580,74";"581,87";"772,52";"1.047,25";"1.055,80";"1.233,67";"1.576,61"
"08125006";"Bad Rappenau, Stadt";"Gemeinden";"432,98";"436,07";"499,51";"522,52";"619,99";"905,81";"980,51";"1.200,92";"1.326,93"
"08125007";"Bad Wimpfen, Stadt";"Gemeinden";"478,71";"512,40";"587,85";"782,82";"725,69";"998,23";"1.166,58";"2.261,26";"2.864,07"
"08125008";"Beilstein, Stadt";"Gemeinden";"588,03";"583,78";"705,87";"646,30";"719,93";"934,79";"1.150,82";"1.293,37";"1.294,03"
"08125013";"Brackenheim, Stadt";"Gemeinden";"568,41";"511,14";"583,05";"676,71";"762,22";"1.064,15";"1.112,87";"1.383,84";"1.493,90"
"08125017";"Cleebronn";"Gemeinden";"530,17";"529,48";"607,30";"656,32";"865,19";"1.109,11";"1.741,62";"1.636,34";"1.912,44"
"08125021";"Eberstadt";"Gemeinden";"389,65";"563,77";"517,80";"546,53";"580,32";"747,70";"942,24";"966,54";"1.123,96"
"08125024";"Ellhofen";"Gemeinden";"591,43";"640,05";"782,75";"878,58";"1.033,28";"1.063,35";"1.310,99";"1.423,68";"1.583,73"
"08125026";"Eppingen, Stadt";"Gemeinden";"440,76";"484,40";"484,76";"546,80";"602,00";"873,75";"998,23";"1.172,69";"1.292,85"
"08125027";"Erlenbach";"Gemeinden";"449,51";"502,54";"508,58";"582,13";"665,59";"822,18";"1.098,58";"1.227,06";"1.389,72"
"08125030";"Flein";"Gemeinden";"664,45";"693,77";"630,02";"642,23";"726,82";"932,38";"1.181,88";"1.227,75";"1.316,00"
"08125034";"Gemmingen";"Gemeinden";"455,98";"476,87";"596,69";"662,89";"857,11";"768,14";"1.054,28";"1.161,16";"1.394,21"
"08125038";"Güglingen, Stadt";"Gemeinden";"1.857,26";"1.650,62";"1.633,51";"1.811,49";"1.798,30";"2.823,63";"3.280,18";"3.502,85";"3.811,73"
"08125039";"Gundelsheim, Stadt";"Gemeinden";"427,57";"440,98";"453,11";"491,38";"614,98";"822,23";"995,44";"1.107,28";"1.073,57"
"08125046";"Ilsfeld";"Gemeinden";"640,16";"695,80";"653,81";"734,19";"892,12";"1.131,12";"1.563,50";"1.740,21";"2.213,55"
"08125047";"Ittlingen";"Gemeinden";"475,15";"501,53";"452,62";"498,12";"542,30";"970,95";"826,05";"878,67";"825,09"
"08125048";"Jagsthausen";"Gemeinden";"399,04";"401,09";"453,89";"525,48";"570,41";"623,25";"697,95";"944,29";"1.220,62"
"08125049";"Kirchardt";"Gemeinden";"379,35";"503,53";"467,86";"520,75";"640,44";"817,82";"890,88";"1.075,46";"1.266,49"
"08125056";"Lauffen am Neckar, Stadt";"Gemeinden";"626,67";"638,09";"660,08";"733,16";"702,59";"1.424,79";"1.185,09";"1.194,70";"1.320,78"
"08125057";"Lehrensteinsfeld";"Gemeinden";"495,52";"534,53";"473,20";"405,21";"548,22";"794,73";"874,06";"1.190,08";"1.275,90"
"08125058";"Leingarten, Stadt";"Gemeinden";"640,77";"689,05";"672,35";"693,04";"831,23";"1.064,20";"1.248,36";"1.549,82";"1.807,81"
"08125059";"Löwenstein, Stadt";"Gemeinden";"439,10";"487,23";"448,86";"516,80";"663,18";"768,11";"941,92";"1.014,01";"1.098,85"
"08125061";"Massenbachhausen";"Gemeinden";"493,99";"404,24";"586,64";"512,09";"591,71";"906,09";"1.475,49";"1.199,50";"1.427,94"
"08125063";"Möckmühl, Stadt";"Gemeinden";"426,13";"460,16";"464,54";"492,51";"625,51";"947,84";"1.108,44";"1.160,35";"1.270,97"
"08125065";"Neckarsulm, Stadt";"Gemeinden";"731,93";"1.329,27";"2.301,95";"1.637,82";"2.638,00";"5.014,40";"1.754,13";"5.405,45";"6.174,47"
"08125066";"Neckarwestheim";"Gemeinden";"1.501,69";"675,56";"1.598,14";"5.042,85";"1.524,66";"736,34";"1.835,36";"1.659,98";"6.285,70"
"08125068";"Neudenau, Stadt";"Gemeinden";"434,01";"463,70";"462,85";"500,39";"627,25";"764,40";"848,00";"879,11";"1.071,93"
"08125069";"Neuenstadt am Kocher, Stadt";"Gemeinden";"480,31";"540,54";"577,88";"680,90";"842,41";"1.880,98";"1.278,25";"1.584,42";"1.649,24"
"08125074";"Nordheim";"Gemeinden";"484,42";"492,28";"540,30";"582,47";"707,14";"875,34";"1.026,49";"1.103,26";"1.238,98"
"08125078";"Oedheim";"Gemeinden";"452,76";"440,04";"506,34";"541,71";"689,99";"816,12";"1.011,06";"1.057,30";"1.124,81"
"08125079";"Offenau";"Gemeinden";"659,09";"869,69";"1.193,18";"911,57";"1.034,11";"982,93";"1.170,83";"1.519,83";"1.349,29"
"08125081";"Pfaffenhofen";"Gemeinden";"428,93";"500,21";"512,48";"495,42";"589,41";"768,83";"837,29";"1.122,51";"1.136,66"
"08125084";"Roigheim";"Gemeinden";"495,91";"390,01";"413,62";"429,54";"1.179,31";"745,75";"733,24";"744,27";"965,75"
"08125086";"Schwaigern, Stadt";"Gemeinden";"524,61";"554,99";"790,71";"634,38";"711,70";"1.176,48";"1.405,75";"1.252,41";"1.375,01"
"08125087";"Siegelsbach";"Gemeinden";"545,09";"480,15";"832,25";"1.067,07";"565,69";"992,62";"1.404,39";"1.506,31";"1.523,89"
"08125094";"Talheim";"Gemeinden";"638,25";"619,67";"676,10";"695,47";"794,77";"1.156,43";"1.402,77";"1.526,32";"1.956,49"
"08125096";"Untereisesheim";"Gemeinden";"548,67";"466,22";"606,39";"805,16";"643,14";"810,67";"1.003,15";"1.033,45";"1.132,85"
"08125098";"Untergruppenbach";"Gemeinden";"495,29";"516,83";"618,18";"582,46";"676,25";"892,80";"1.388,29";"1.210,60";"2.181,98"
"08125102";"Weinsberg, Stadt";"Gemeinden";"502,96";"604,24";"595,93";"658,54";"787,79";"899,67";"1.135,00";"1.266,85";"1.243,40"
"08125103";"Widdern, Stadt";"Gemeinden";"303,74";"320,04";"323,65";"355,04";"461,58";"617,60";"692,15";"895,40";"1.068,21"
"08125107";"Wüstenrot";"Gemeinden";"398,33";"375,58";"371,87";"413,35";"512,53";"637,78";"788,74";"915,07";"1.043,35"
"08125108";"Zaberfeld";"Gemeinden";"417,41";"413,32";"468,84";"483,59";"568,37";"709,36";"888,88";"861,91";"978,57"
"08125110";"Obersulm";"Gemeinden";"468,69";"480,19";"538,93";"569,55";"623,06";"898,37";"1.034,54";"1.284,63";"1.450,37"
"08125111";"Hardthausen am Kocher";"Gemeinden";"428,61";"470,27";"647,59";"448,67";"803,22";"872,10";"1.240,43";"995,23";"1.024,41"
"08125113";"Langenbrettach";"Gemeinden";"433,22";"425,11";"550,12";"574,64";"862,49";"1.107,54";"1.272,13";"1.502,34";"1.779,11"
"08126011";"Bretzfeld";"Gemeinden";"411,21";"448,47";"491,42";"529,95";"650,44";"790,98";"1.033,01";"1.144,71";"1.357,47"
"08126020";"Dörzbach";"Gemeinden";"401,14";"443,57";"473,47";"483,59";"659,90";"904,18";"1.487,32";"1.513,22";"2.351,91"
"08126028";"Forchtenberg, Stadt";"Gemeinden";"509,01";"547,93";"779,68";"874,46";"859,77";"1.205,16";"1.585,49";"1.576,11";"2.046,83"
"08126039";"Ingelfingen, Stadt";"Gemeinden";"603,82";"869,04";"785,53";"976,51";"801,43";"1.207,35";"2.314,46";"2.370,66";"3.179,18"
"08126045";"Krautheim, Stadt";"Gemeinden";"460,49";"492,26";"610,20";"686,95";"533,45";"893,42";"798,52";"2.387,98";"1.744,63"
"08126046";"Künzelsau, Stadt";"Gemeinden";"1.101,31";"1.127,75";"953,04";"953,10";"966,32";"1.072,15";"2.393,58";"1.389,44";"3.401,14"
"08126047";"Kupferzell";"Gemeinden";"672,91";"588,68";"703,23";"858,89";"1.153,37";"1.196,90";"2.041,57";"1.874,88";"2.352,98"
"08126056";"Mulfingen";"Gemeinden";"1.192,98";"1.315,34";"1.533,20";"1.536,79";"1.896,13";"2.074,59";"3.739,23";"3.804,81";"3.411,31"
"08126058";"Neuenstein, Stadt";"Gemeinden";"498,02";"428,27";"792,67";"413,45";"661,29";"904,14";"1.365,21";"1.864,22";"3.379,26"
"08126060";"Niedernhall, Stadt";"Gemeinden";"758,89";"768,34";"719,72";"742,50";"777,30";"1.077,41";"1.847,83";"2.389,26";"2.800,76"
"08126066";"Öhringen, Stadt";"Gemeinden";"637,71";"668,65";"642,79";"742,45";"798,99";"952,10";"1.226,45";"1.539,43";"2.098,74"
"08126069";"Pfedelbach";"Gemeinden";"485,56";"509,10";"566,67";"658,12";"683,01";"980,26";"726,71";"1.024,25";"1.059,92"
"08126072";"Schöntal";"Gemeinden";"436,32";"570,40";"607,45";"754,29";"720,85";"941,02";"1.050,44";"1.153,43";"1.457,20"
"08126085";"Waldenburg, Stadt";"Gemeinden";"649,90";"777,39";"976,03";"1.325,01";"1.716,42";"1.739,64";"2.529,28";"4.283,63";"7.092,80"
"08126086";"Weißbach";"Gemeinden";"470,75";"386,19";"479,66";"1.326,08";"912,92";"1.314,47";"2.447,49";"1.432,58";"1.158,41"
"08126094";"Zweiflingen";"Gemeinden";"338,28";"314,00";"291,95";"316,89";"486,24";"717,31";"882,12";"1.113,30";"1.097,11"
"08127008";"Blaufelden";"Gemeinden";"453,01";"450,15";"478,12";"622,05";"814,45";"1.222,61";"1.363,52";"1.612,08";"2.128,91"
"08127009";"Braunsbach";"Gemeinden";"376,54";"404,73";"433,66";"428,16";"496,15";"639,95";"889,51";"923,86";"1.045,50"
"08127012";"Bühlertann";"Gemeinden";"615,50";"461,35";"764,88";"465,61";"832,25";"661,60";"978,42";"1.340,17";"1.290,11"
"08127013";"Bühlerzell";"Gemeinden";"341,71";"360,04";"395,44";"446,03";"500,23";"769,46";"925,10";"1.103,29";"1.231,09"
"08127014";"Crailsheim, Stadt";"Gemeinden";"622,77";"718,04";"690,87";"746,12";"871,44";"1.065,92";"1.539,11";"1.600,92";"1.893,69"
"08127023";"Fichtenberg";"Gemeinden";"483,21";"467,64";"529,67";"529,82";"659,00";"722,14";"1.114,27";"1.236,64";"1.728,09"
"08127025";"Gaildorf, Stadt";"Gemeinden";"450,88";"567,28";"515,27";"552,40";"553,68";"773,81";"1.032,96";"1.156,03";"1.357,61"
"08127032";"Gerabronn, Stadt";"Gemeinden";"351,06";"372,65";"458,29";"462,30";"605,32";"723,48";"868,58";"1.042,99";"1.170,95"
"08127043";"Ilshofen, Stadt";"Gemeinden";"425,40";"504,34";"737,69";"712,27";"717,11";"1.190,96";"1.002,82";"1.746,68";"1.782,06"
"08127046";"Kirchberg an der Jagst, Stadt";"Gemeinden";"249,78";"277,04";"329,10";"388,06";"442,85";"764,45";"942,50";"1.350,59";"1.357,91"
"08127047";"Langenburg, Stadt";"Gemeinden";"413,42";"459,73";"559,81";"571,74";"1.648,97";"1.596,63";"1.402,03";"1.577,09";"1.773,55"
"08127052";"Mainhardt";"Gemeinden";"514,86";"569,98";"548,42";"601,94";"561,04";"825,97";"919,56";"1.108,91";"1.111,84"
"08127056";"Michelbach an der Bilz";"Gemeinden";"539,58";"521,42";"584,73";"563,24";"604,00";"784,31";"1.148,07";"1.052,85";"1.176,17"
"08127059";"Michelfeld";"Gemeinden";"459,70";"384,07";"540,20";"566,67";"703,31";"949,71";"1.347,43";"1.424,59";"1.950,89"
"08127062";"Oberrot";"Gemeinden";"507,48";"663,17";"652,59";"976,52";"760,72";"858,49";"1.247,08";"2.547,05";"8.254,98"
"08127063";"Obersontheim";"Gemeinden";"527,59";"436,32";"684,69";"669,03";"931,00";"1.423,58";"1.391,05";"1.954,55";"1.586,04"
"08127071";"Rot am See";"Gemeinden";"359,62";"391,52";"447,59";"511,02";"598,27";"727,20";"891,48";"1.195,81";"1.323,65"
"08127073";"Satteldorf";"Gemeinden";"590,95";"430,24";"588,69";"681,91";"1.045,57";"1.074,47";"1.586,98";"2.056,12";"2.194,56"
"08127075";"Schrozberg, Stadt";"Gemeinden";"320,96";"410,35";"494,20";"545,36";"548,65";"726,87";"1.057,20";"1.131,17";"1.216,00"
"08127076";"Schwäbisch Hall, Stadt";"Gemeinden";"1.633,11";"2.576,54";"1.010,73";"1.175,70";"1.465,86";"1.531,48";"1.769,85";"1.601,53";"2.526,51"
"08127079";"Sulzbach-Laufen";"Gemeinden";"757,82";"801,42";"862,49";"1.224,43";"1.385,44";"1.775,00";"2.044,82";"3.236,44";"2.410,05"
"08127086";"Untermünkheim";"Gemeinden";"439,40";"570,37";"480,74";"569,11";"662,80";"889,53";"1.165,84";"1.406,52";"1.617,48"
"08127089";"Vellberg, Stadt";"Gemeinden";"658,36";"504,91";"438,09";"497,58";"566,85";"697,05";"875,91";"1.074,15";"1.078,51"
"08127091";"Wallhausen";"Gemeinden";"233,90";"290,02";"339,60";"273,46";"430,36";"591,96";"741,42";"846,97";"942,45"
"08127099";"Wolpertshausen";"Gemeinden";"283,07";"357,72";"416,62";"681,43";"631,97";"1.418,58";"1.509,63";"1.529,78";"1.804,28"
"08127100";"Rosengarten";"Gemeinden";"384,46";"395,66";"429,53";"489,90";"557,80";"720,63";"978,19";"1.053,37";"1.196,26"
"08127101";"Kreßberg";"Gemeinden";"298,60";"331,42";"354,85";"377,67";"398,12";"758,88";"1.087,54";"1.395,30";"1.437,12"
"08127102";"Fichtenau";"Gemeinden";"325,33";"364,93";"432,46";"453,83";"497,13";"611,16";"822,67";"915,87";"1.428,34"
"08127103";"Frankenhardt";"Gemeinden";"335,93";"341,28";"354,84";"371,07";"445,74";"758,45";"868,91";"985,06";"1.095,14"
"08127104";"Stimpfach";"Gemeinden";"472,01";"491,27";"506,28";"632,45";"726,50";"1.189,41";"1.118,47";"1.179,42";"1.330,38"
"08128006";"Assamstadt";"Gemeinden";"284,20";"360,23";"1.195,08";"253,82";"464,34";"830,93";"910,26";"1.125,67";"1.418,14"
"08128007";"Bad Mergentheim, Stadt";"Gemeinden";"537,66";"541,21";"608,99";"646,49";"781,08";"1.059,37";"1.164,39";"1.457,57";"1.525,57"
"08128014";"Boxberg, Stadt";"Gemeinden";"439,00";"434,22";"495,33";"675,96";"772,73";"1.086,62";"1.231,01";"1.650,43";"1.623,82"
"08128020";"Creglingen, Stadt";"Gemeinden";"431,86";"435,71";"583,94";"833,02";"836,09";"773,54";"936,05";"1.227,65";"1.642,08"
"08128039";"Freudenberg, Stadt";"Gemeinden";"539,52";"442,69";"384,63";"738,21";"798,16";"645,44";"1.179,68";"939,68";"1.219,01"
"08128045";"Großrinderfeld";"Gemeinden";"322,38";"388,10";"381,24";"405,50";"519,16";"624,63";"929,99";"1.030,34";"1.112,79"
"08128047";"Grünsfeld, Stadt";"Gemeinden";"398,41";"519,86";"491,22";"827,40";"612,47";"947,79";"1.232,06";"1.463,11";"1.783,42"
"08128058";"Igersheim";"Gemeinden";"425,14";"495,63";"468,89";"598,88";"566,58";"948,04";"963,00";"1.312,81";"2.058,34"
"08128061";"Königheim";"Gemeinden";"453,26";"492,54";"537,11";"487,54";"609,58";"734,61";"906,18";"1.106,42";"1.109,73"
"08128064";"Külsheim, Stadt";"Gemeinden";"368,69";"382,26";"444,86";"414,42";"484,01";"675,68";"788,26";"847,01";"1.004,12"
"08128082";"Niederstetten, Stadt";"Gemeinden";"531,99";"554,26";"578,50";"673,30";"684,55";"1.017,91";"1.149,32";"1.446,24";"1.291,54"
"08128115";"Tauberbischofsheim, Stadt";"Gemeinden";"747,09";"695,21";"609,57";"701,66";"755,48";"1.074,93";"1.305,80";"1.439,84";"1.818,79"
"08128126";"Weikersheim, Stadt";"Gemeinden";"496,97";"575,69";"550,37";"709,25";"550,47";"793,89";"1.102,73";"1.167,22";"1.306,84"
"08128128";"Werbach";"Gemeinden";"505,49";"504,64";"444,99";"478,43";"570,78";"698,60";"892,56";"856,03";"996,11"
"08128131";"Wertheim, Stadt";"Gemeinden";"656,15";"703,81";"745,06";"927,76";"1.019,28";"1.258,26";"1.427,35";"1.746,24";"1.974,21"
"08128137";"Wittighausen";"Gemeinden";"345,94";"383,77";"363,21";"414,38";"465,35";"658,28";"742,40";"873,01";"993,66"
"08128138";"Ahorn";"Gemeinden";"386,08";"388,22";"362,19";"359,52";"425,05";"631,82";"696,94";"890,51";"1.129,88"
"08128139";"Lauda-Königshofen, Stadt";"Gemeinden";"431,43";"492,66";"520,58";"547,52";"680,20";"795,73";"909,34";"1.187,55";"1.420,50"
"08135010";"Dischingen";"Gemeinden";"454,33";"477,03";"624,87";"622,71";"708,75";"822,85";"1.458,93";"1.979,74";"1.397,57"
"08135015";"Gerstetten";"Gemeinden";"418,87";"475,53";"415,64";"518,08";"666,33";"1.045,95";"1.099,74";"1.147,93";"1.345,37"
"08135016";"Giengen an der Brenz, Stadt";"Gemeinden";"773,21";"807,32";"940,97";"569,95";"829,18";"632,56";"1.101,31";"1.067,98";"1.099,55"
"08135019";"Heidenheim an der Brenz, Stadt";"Gemeinden";"582,54";"787,07";"676,16";"795,75";"1.030,84";"1.077,36";"1.201,57";"1.388,91";"1.402,59"
"08135020";"Herbrechtingen, Stadt";"Gemeinden";"587,96";"685,65";"677,57";"733,90";"783,96";"985,94";"1.294,99";"1.461,62";"1.528,75"
"08135021";"Hermaringen";"Gemeinden";"529,64";"469,43";"561,06";"557,68";"690,84";"842,03";"1.734,42";"2.107,15";"2.387,40"
"08135025";"Königsbronn";"Gemeinden";"505,38";"575,14";"585,43";"800,30";"747,87";"806,76";"985,67";"1.192,26";"1.238,16"
"08135026";"Nattheim";"Gemeinden";"476,76";"504,75";"532,82";"592,31";"737,78";"874,18";"1.023,82";"1.106,89";"1.281,84"
"08135027";"Niederstotzingen, Stadt";"Gemeinden";"510,39";"576,58";"362,45";"510,30";"603,87";"1.278,77";"1.097,63";"1.240,42";"1.155,40"
"08135031";"Sontheim an der Brenz";"Gemeinden";"476,50";"505,27";"654,69";"636,73";"653,85";"856,18";"1.036,97";"1.122,19";"1.449,02"
"08135032";"Steinheim am Albuch";"Gemeinden";"623,70";"493,66";"557,47";"611,98";"961,27";"993,65";"1.136,74";"1.211,45";"1.322,61"
"08136002";"Abtsgmünd";"Gemeinden";"628,02";"896,51";"1.108,74";"1.461,07";"1.415,98";"2.367,75";"2.741,99";"3.556,30";"4.815,18"
"08136003";"Adelmannsfelden";"Gemeinden";"384,62";"378,05";"395,96";"392,99";"493,44";"650,14";"838,13";"1.270,19";"1.383,21"
"08136007";"Bartholomä";"Gemeinden";"407,66";"497,17";"512,70";"437,41";"613,70";"854,35";"1.154,98";"1.395,83";"1.500,64"
"08136009";"Böbingen an der Rems";"Gemeinden";"430,49";"391,44";"462,14";"529,36";"649,88";"780,85";"1.022,88";"1.152,69";"1.335,16"
"08136010";"Bopfingen, Stadt";"Gemeinden";"450,65";"477,03";"509,03";"546,13";"630,84";"805,43";"1.023,45";"1.480,25";"1.709,66"
"08136015";"Durlangen";"Gemeinden";"304,21";"419,53";"429,77";"420,95";"637,87";"658,22";"778,68";"859,06";"926,31"
"08136018";"Ellenberg";"Gemeinden";"322,43";"327,93";"362,59";"374,15";"437,86";"604,83";"752,25";"882,59";"973,43"
"08136019";"Ellwangen (Jagst), Stadt";"Gemeinden";"572,52";"565,43";"606,90";"590,93";"754,86";"1.080,96";"1.310,15";"2.086,48";"1.823,48"
"08136020";"Eschach";"Gemeinden";"393,66";"382,17";"351,22";"515,57";"935,61";"1.154,15";"1.454,40";"2.471,33";"2.347,08"
"08136021";"Essingen";"Gemeinden";"850,12";"675,08";"622,37";"727,37";"1.227,77";"889,37";"1.394,13";"1.631,12";"1.809,42"
"08136024";"Göggingen";"Gemeinden";"332,43";"388,12";"412,00";"380,99";"535,06";"692,62";"847,69";"972,97";"1.082,10"
"08136027";"Gschwend";"Gemeinden";"471,95";"436,43";"432,97";"574,74";"566,16";"874,54";"835,72";"1.016,76";"1.132,06"
"08136028";"Heubach, Stadt";"Gemeinden";"536,03";"444,46";"544,21";"529,43";"647,32";"816,03";"1.101,10";"1.167,86";"1.111,48"
"08136029";"Heuchlingen";"Gemeinden";"446,04";"420,40";"447,62";"413,13";"538,95";"737,40";"759,67";"952,58";"1.078,46"
"08136033";"Hüttlingen";"Gemeinden";"437,33";"404,52";"521,51";"549,17";"629,40";"773,41";"957,18";"1.269,58";"1.475,65"
"08136034";"Iggingen";"Gemeinden";"331,61";"395,34";"537,13";"606,20";"649,24";"790,39";"952,21";"1.127,08";"1.355,14"
"08136035";"Jagstzell";"Gemeinden";"329,76";"366,32";"424,11";"351,78";"475,30";"932,93";"1.182,67";"2.216,83";"1.860,43"
"08136037";"Kirchheim am Ries";"Gemeinden";"277,60";"282,03";"300,40";"301,31";"437,21";"591,10";"668,34";"790,45";"925,55"
"08136038";"Lauchheim, Stadt";"Gemeinden";"404,38";"489,81";"544,66";"600,17";"716,94";"962,39";"1.506,47";"1.176,19";"1.399,75"
"08136040";"Leinzell";"Gemeinden";"391,69";"448,80";"478,79";"451,51";"576,53";"649,48";"757,58";"785,92";"989,02"
"08136042";"Lorch, Stadt";"Gemeinden";"550,96";"659,67";"622,40";"590,94";"635,31";"1.035,17";"1.201,96";"1.299,28";"1.637,70"
"08136043";"Mögglingen";"Gemeinden";"515,02";"561,99";"593,98";"723,78";"632,57";"882,62";"1.169,21";"1.174,32";"1.219,23"
"08136044";"Mutlangen";"Gemeinden";"612,36";"565,10";"584,91";"525,81";"660,54";"863,03";"1.049,58";"1.203,90";"1.472,12"
"08136045";"Neresheim, Stadt";"Gemeinden";"378,71";"403,55";"426,04";"451,74";"661,42";"758,41";"982,51";"1.193,38";"1.294,27"
