Kennziffer;Raumeinheit;Aggregat;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051125";"Welmbüttel";"Gemeinden";"331,67";"374,08";"301,97";"288,14";"377,48";"448,05";"541,55";"700,06";"868,80"
"01051126";"Wennbüttel";"Gemeinden";"352,94";"337,66";"317,65";"354,43";"417,72";"623,53";"698,33";"1.022,90";"1.015,79"
"01051127";"Wesselburen, Stadt";"Gemeinden";"326,84";"356,97";"375,88";"358,23";"428,67";"580,17";"539,62";"617,65";"774,06"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"278,20";"270,07";"395,52";"284,72";"616,44";"674,80";;"3.697,69";"3.757,32"
"01051129";"Wesselburenerkoog";"Gemeinden";"412,04";"519,55";"602,65";"826,92";"1.048,78";"604,79";"2.217,02";"4.137,77";"444,96"
"01051130";"Wesseln";"Gemeinden";"550,80";"614,04";"498,11";"502,99";"656,73";"903,39";"958,36";"1.331,00";"1.866,39"
"01051131";"Westerborstel";"Gemeinden";"325,58";"416,67";"284,21";"504,95";"682,69";"861,11";"1.409,08";"1.146,61";"1.168,33"
"01051132";"Westerdeichstrich";"Gemeinden";"425,93";"442,55";"397,58";"370,54";"350,43";"704,09";"555,47";"965,07";"1.237,16"
"01051133";"Wiemerstedt";"Gemeinden";"322,58";"288,24";"288,24";"295,18";"317,07";"452,23";"709,20";"729,62";"924,95"
"01051134";"Windbergen";"Gemeinden";"270,05";"237,56";"262,33";"241,67";"319,15";"430,69";"587,56";"1.293,20";"899,63"
"01051135";"Wolmersdorf";"Gemeinden";"363,06";"388,54";"370,03";"326,59";"478,79";"482,46";"630,71";"745,50";"732,69"
"01051136";"Wrohm";"Gemeinden";"338,89";"346,94";"353,63";"365,28";"424,41";"467,55";"821,14";"1.036,52";"1.064,27"
"01051137";"Nordermeldorf";"Gemeinden";"330,25";"341,32";"318,25";"333,33";"432,65";"692,95";"970,98";"1.324,44";"1.333,94"
"01051138";"Tensbüttel-Röst";"Gemeinden";"291,47";"220,12";"258,57";"253,92";"311,33";"370,15";"627,22";"935,39";"1.278,24"
"01051139";"Süderdorf";"Gemeinden";"229,17";"243,39";"221,37";"217,17";"287,60";"371,66";"1.545,00";"1.219,07";"1.446,38"
"01051140";"Oesterwurth";"Gemeinden";"331,13";"371,84";"392,59";"350,36";"717,56";"913,53";"1.836,66";"1.935,89";"2.852,39"
"01051141";"Süderheistedt";"Gemeinden";"345,13";"346,94";"324,10";"338,87";"437,50";"715,06";"807,05";"1.037,68";"1.096,69"
"01053001";"Albsfelde";"Gemeinden";"537,31";"516,13";"519,23";"474,58";"631,58";"666,67";"712,23";"769,28";"918,88"
"01053002";"Alt-Mölln";"Gemeinden";"412,97";"488,20";"507,11";"401,84";"556,67";"812,87";"823,82";"1.591,65";"1.783,87"
"01053003";"Aumühle";"Gemeinden";"787,73";"715,77";"701,59";"716,91";"772,41";"1.048,05";"1.211,54";"1.274,68";"1.573,53"
"01053004";"Bäk";"Gemeinden";"425,82";"415,49";"493,65";"560,59";"541,06";"623,42";"572,82";"870,52";"950,01"
"01053005";"Bälau";"Gemeinden";"410,04";"367,77";"402,44";"361,79";"476,79";"1.043,67";"894,61";"1.319,34";"1.495,14"
"01053006";"Basedow";"Gemeinden";"365,71";"350,85";"330,30";"307,47";"411,10";"502,28";"604,36";"645,02";"1.033,95"
"01053007";"Basthorst";"Gemeinden";"420,40";"379,23";"446,70";"419,27";"515,62";"568,97";"773,00";"867,94";"916,65"
"01053008";"Behlendorf";"Gemeinden";"362,16";"293,01";"361,58";"410,58";"423,77";"586,02";"581,27";"710,20";"774,01"
"01053009";"Berkenthin";"Gemeinden";"381,84";"349,48";"365,30";"322,66";"384,65";"497,09";"628,58";"771,57";"793,47"
"01053010";"Besenthal";"Gemeinden";"321,84";"352,11";"342,11";"328,95";"376,62";"385,54";"430,55";"518,46";"575,71"
"01053011";"Bliestorf";"Gemeinden";"424,56";"312,31";"339,85";"337,63";"399,13";"446,35";"553,42";"743,58";"847,45"
"01053012";"Börnsen";"Gemeinden";"657,40";"517,83";"487,98";"907,01";"1.024,94";"992,70";"952,49";"1.086,76";"1.332,98"
"01053013";"Borstorf";"Gemeinden";"354,95";"332,27";"330,10";"337,66";"402,03";"481,48";"510,19";"727,30";"887,08"
"01053014";"Breitenfelde";"Gemeinden";"435,79";"523,41";"384,57";"429,13";"575,90";"632,51";"661,91";"735,49";"1.000,12"
"01053015";"Bröthen";"Gemeinden";"431,72";"392,24";"562,02";"648,75";"537,91";"607,91";"678,50";"771,19";"849,89"
"01053016";"Brunsmark";"Gemeinden";"333,33";"375,00";"328,47";"256,58";"357,14";"536,91";"671,30";"565,52";"663,47"
"01053017";"Brunstorf";"Gemeinden";"500,00";"418,89";"402,10";"408,65";"540,75";"694,84";"717,99";"882,58";"825,19"
"01053018";"Buchholz";"Gemeinden";"452,17";"437,50";"452,49";"432,65";"561,70";"686,96";"873,89";"1.076,64";"1.070,03"
"01053019";"Buchhorst";"Gemeinden";"679,14";"1.016,22";"683,91";"525,97";"592,81";"731,71";"1.071,73";"1.256,81";"2.046,12"
"01053020";"Büchen";"Gemeinden";"463,19";"488,07";"560,20";"765,59";"798,43";"1.103,97";"1.303,11";"1.432,50";"1.386,27"
"01053021";"Dahmker";"Gemeinden";"442,62";"532,79";"626,87";"710,53";"1.192,31";"1.575,76";"1.023,18";"3.209,08";"1.574,26"
"01053022";"Dalldorf";"Gemeinden";"266,06";"277,29";"270,03";"290,14";"403,31";"495,91";"626,25";"725,15";"808,23"
"01053023";"Dassendorf";"Gemeinden";"503,69";"496,17";"499,68";"504,68";"693,33";"803,47";"1.089,11";"1.503,20";"1.463,98"
"01053024";"Düchelsdorf";"Gemeinden";"318,18";"296,55";"313,25";"285,71";"347,56";"453,95";"461,34";"739,51";"740,37"
"01053025";"Duvensee";"Gemeinden";"321,36";"295,59";"317,76";"355,68";"511,36";"524,77";"667,21";"789,68";"907,73"
"01053026";"Einhaus";"Gemeinden";"380,56";"416,67";"404,56";"411,17";"567,01";"554,09";"702,60";"807,98";"807,74"
"01053027";"Elmenhorst";"Gemeinden";"479,31";"431,27";"552,60";"636,56";"561,96";"974,68";"1.691,83";"2.306,45";"3.066,44"
"01053028";"Escheburg";"Gemeinden";"479,33";"450,11";"442,33";"444,09";"630,00";"783,74";"940,12";"1.044,43";"991,40"
"01053029";"Fitzen";"Gemeinden";"344,48";"306,36";"319,33";"316,80";"390,71";"537,36";"650,56";"667,36";"864,06"
"01053030";"Fredeburg";"Gemeinden";"437,50";"500,00";"483,87";"512,82";"567,57";"744,68";"959,29";"1.155,56";"3.216,47"
"01053031";"Fuhlenhagen";"Gemeinden";"342,37";"334,42";"347,54";"351,35";"441,78";"438,81";"663,18";"694,82";"1.010,62"
"01053032";"Geesthacht, Stadt";"Gemeinden";"654,05";"1.326,95";"789,53";"866,59";"664,84";"1.079,08";"1.130,58";"1.331,64";"1.882,05"
"01053033";"Giesensdorf";"Gemeinden";"230,00";"333,33";"346,53";"453,61";"516,13";"398,50";"573,19";"725,76";"766,61"
"01053034";"Göldenitz";"Gemeinden";"236,45";"317,54";"247,71";"303,57";"470,59";"580,09";"779,28";"870,76";"983,55"
"01053035";"Göttin";"Gemeinden";"695,65";"588,24";"717,39";"472,73";"700,00";"719,30";"690,91";"992,09";"957,04"
"01053036";"Grabau";"Gemeinden";"384,00";"392,31";"371,93";"378,09";"416,67";"488,75";"555,90";"734,31";"745,48"
"01053037";"Grambek";"Gemeinden";"649,46";"587,93";"626,57";"681,59";"750,00";"736,84";"970,58";"1.172,58";"904,93"
"01053038";"Grinau";"Gemeinden";"285,71";"258,62";"482,99";"395,64";"304,73";"432,79";"445,87";"475,64";"621,53"
"01053039";"Groß Boden";"Gemeinden";"311,00";"440,19";"412,32";"372,64";"456,22";"720,81";"835,82";"1.043,33";"1.269,92"
"01053040";"Groß Disnack";"Gemeinden";"586,96";"490,00";"527,47";"500,00";"488,37";"662,65";"786,55";"683,11";"844,36"
"01053041";"Groß Grönau";"Gemeinden";"553,10";"500,14";"482,80";"479,39";"543,86";"669,19";"920,21";"1.227,84";"1.236,87"
