Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01051127";"Wesselburen, Stadt";"Gemeinden";"231,00";"188,00";"287,00";"172,00";"143,00";"165,00";"140,00";"151,00"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"2,00";"6,00";"11,00";"11,00";"3,00";"3,00";"2,00";"2,00"
"01051129";"Wesselburenerkoog";"Gemeinden";"8,00";"3,00";"6,00";"5,00";"4,00";"3,00";"5,00";"3,00"
"01051130";"Wesseln";"Gemeinden";"46,00";"30,00";"46,00";"38,00";"19,00";"23,00";"26,00";"23,00"
"01051131";"Westerborstel";"Gemeinden";"2,00";"2,00";"4,00";"2,00";"2,00";"2,00";"1,00";"0,00"
"01051132";"Westerdeichstrich";"Gemeinden";"51,00";"45,00";"61,00";"41,00";"25,00";"30,00";"22,00";"23,00"
"01051133";"Wiemerstedt";"Gemeinden";"8,00";"7,00";"9,00";"6,00";"5,00";"5,00";"2,00";"0,00"
"01051134";"Windbergen";"Gemeinden";"34,00";"30,00";"43,00";"30,00";"29,00";"21,00";"15,00";"16,00"
"01051135";"Wolmersdorf";"Gemeinden";"6,00";"9,00";"8,00";"5,00";"5,00";"1,00";"4,00";"2,00"
"01051136";"Wrohm";"Gemeinden";"16,00";"26,00";"32,00";"27,00";"21,00";"22,00";"21,00";"21,00"
"01051137";"Nordermeldorf";"Gemeinden";"30,00";"28,00";"42,00";"18,00";"19,00";"15,00";"13,00";"16,00"
"01051138";"Tensbüttel-Röst";"Gemeinden";"33,00";"22,00";"27,00";"29,00";"15,00";"20,00";"14,00";"12,00"
"01051139";"Süderdorf";"Gemeinden";"14,00";"9,00";"13,00";"8,00";"3,00";"3,00";"6,00";"6,00"
"01051140";"Oesterwurth";"Gemeinden";"14,00";"7,00";"11,00";"6,00";"7,00";"8,00";"4,00";"5,00"
"01051141";"Süderheistedt";"Gemeinden";"24,00";"19,00";"32,00";"16,00";"13,00";"12,00";"12,00";"17,00"
"01053001";"Albsfelde";"Gemeinden";"3,00";"1,00";"3,00";"1,00";"1,00";"2,00";"1,00";"0,00"
"01053002";"Alt-Mölln";"Gemeinden";"24,00";"25,00";"35,00";"21,00";"18,00";"24,00";"17,00";"28,00"
"01053003";"Aumühle";"Gemeinden";"80,00";"71,00";"92,00";"46,00";"38,00";"46,00";"58,00";"61,00"
"01053004";"Bäk";"Gemeinden";"17,00";"14,00";"22,00";"15,00";"19,00";"9,00";"8,00";"8,00"
"01053005";"Bälau";"Gemeinden";"4,00";"7,00";"9,00";"6,00";"8,00";"8,00";"5,00";"5,00"
"01053006";"Basedow";"Gemeinden";"29,00";"23,00";"35,00";"24,00";"25,00";"14,00";"12,00";"9,00"
"01053007";"Basthorst";"Gemeinden";"9,00";"5,00";"16,00";"6,00";"7,00";"8,00";"8,00";"4,00"
