Kennziffer;Raumeinheit;Aggregat;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen
;;;2000;2002;2005;2009;2013;2017;2021;2022
"14521";"Erzgebirgskreis";"Kreise";"1.063,30";"1.138,15";"1.177,58";"1.307,59";"1.445,25";"1.654,49";"1.854,26";"2.002,14"
"14522";"Mittelsachsen";"Kreise";"1.085,50";"1.164,22";"1.217,28";"1.341,05";"1.483,50";"1.661,14";"1.873,79";"2.012,64"
"14523";"Vogtlandkreis";"Kreise";"1.105,72";"1.183,10";"1.227,08";"1.350,01";"1.483,03";"1.652,55";"1.864,80";"1.977,27"
"14524";"Zwickau";"Kreise";"1.094,67";"1.173,93";"1.222,87";"1.350,80";"1.510,31";"1.693,07";"1.913,47";"2.026,14"
"14612";"Dresden, Stadt";"Kreise";"1.161,29";"1.235,61";"1.282,47";"1.366,83";"1.485,09";"1.634,79";"1.852,20";"1.940,96"
"14625";"Bautzen";"Kreise";"1.066,84";"1.147,15";"1.200,49";"1.343,45";"1.489,25";"1.670,03";"1.908,86";"2.034,75"
"14626";"Görlitz";"Kreise";"1.020,09";"1.093,80";"1.132,94";"1.248,07";"1.386,94";"1.566,97";"1.775,15";"1.904,45"
"14627";"Meißen";"Kreise";"1.079,68";"1.163,33";"1.238,25";"1.377,02";"1.527,27";"1.723,92";"1.948,31";"2.074,08"
"14628";"Sächsische Schweiz-Osterzgebirge";"Kreise";"1.103,63";"1.186,07";"1.247,98";"1.369,84";"1.510,68";"1.696,36";"1.911,21";"2.032,60"
"14713";"Leipzig, Stadt";"Kreise";"1.081,75";"1.145,36";"1.192,31";"1.287,31";"1.427,10";"1.558,65";"1.717,99";"1.804,30"
"14729";"Leipzig";"Kreise";"1.101,37";"1.178,15";"1.251,02";"1.394,44";"1.572,47";"1.763,08";"1.996,60";"2.124,92"
"14730";"Nordsachsen";"Kreise";"1.061,95";"1.140,05";"1.194,76";"1.308,00";"1.468,70";"1.667,01";"1.879,54";"1.982,11"
"15001";"Dessau-Roßlau, Stadt";"Kreise";"1.064,28";"1.144,56";"1.201,08";"1.319,70";"1.455,48";"1.619,90";"1.859,52";"2.011,09"
"15002";"Halle (Saale), Stadt";"Kreise";"1.059,59";"1.121,08";"1.123,75";"1.250,40";"1.333,56";"1.468,91";"1.663,69";"1.814,97"
"15003";"Magdeburg, Landeshauptstadt";"Kreise";"1.070,25";"1.124,56";"1.162,55";"1.288,11";"1.402,89";"1.552,88";"1.756,82";"1.792,11"
"15081";"Altmarkkreis Salzwedel";"Kreise";"1.056,43";"1.106,92";"1.175,09";"1.308,53";"1.502,76";"1.654,80";"1.872,44";"2.022,98"
"15082";"Anhalt-Bitterfeld";"Kreise";"1.015,65";"1.073,19";"1.138,80";"1.272,92";"1.422,28";"1.619,66";"1.853,30";"1.986,90"
"15083";"Börde";"Kreise";"1.080,35";"1.139,12";"1.202,79";"1.352,92";"1.527,95";"1.708,80";"1.911,23";"2.056,64"
"15084";"Burgenlandkreis";"Kreise";"1.045,91";"1.113,89";"1.166,62";"1.293,62";"1.436,56";"1.609,56";"1.827,56";"1.946,12"
"15085";"Harz";"Kreise";"1.044,52";"1.100,26";"1.149,38";"1.285,44";"1.436,99";"1.632,56";"1.847,97";"1.958,32"
"15086";"Jerichower Land";"Kreise";"1.047,45";"1.117,05";"1.220,58";"1.373,23";"1.524,63";"1.697,66";"1.901,10";"2.035,98"
"15087";"Mansfeld-Südharz";"Kreise";"1.027,02";"1.089,99";"1.140,41";"1.261,92";"1.376,75";"1.566,82";"1.792,66";"1.901,71"
"15088";"Saalekreis";"Kreise";"1.045,33";"1.107,77";"1.169,64";"1.334,01";"1.500,33";"1.698,68";"1.908,85";"2.026,14"
"15089";"Salzlandkreis";"Kreise";"1.009,69";"1.060,31";"1.111,27";"1.242,09";"1.384,12";"1.578,27";"1.786,29";"1.904,95"
"15090";"Stendal";"Kreise";"997,22";"1.042,83";"1.100,55";"1.223,03";"1.383,46";"1.570,00";"1.798,13";"1.961,38"
"15091";"Wittenberg";"Kreise";"1.025,06";"1.078,11";"1.156,91";"1.290,99";"1.456,36";"1.667,27";"1.891,71";"2.019,48"
"16051";"Erfurt, Stadt";"Kreise";"1.115,61";"1.172,66";"1.203,93";"1.304,93";"1.436,09";"1.583,91";"1.775,98";"1.837,13"
"16052";"Gera, Stadt";"Kreise";"1.081,62";"1.160,51";"1.217,19";"1.309,20";"1.440,69";"1.597,75";"1.807,52";"1.844,13"
"16053";"Jena, Stadt";"Kreise";"1.101,69";"1.152,90";"1.179,64";"1.301,46";"1.394,04";"1.574,32";"1.803,86";"1.911,51"
"16054";"Suhl, Stadt";"Kreise";"1.122,87";"1.198,98";"1.256,54";"1.360,15";"1.535,07";"1.684,46";"1.919,64";"2.009,14"
"16055";"Weimar, Stadt";"Kreise";"1.070,81";"1.106,34";"1.154,34";"1.251,14";"1.412,33";"1.567,60";"1.749,78";"1.845,33"
"16061";"Eichsfeld";"Kreise";"1.028,66";"1.087,40";"1.138,52";"1.287,30";"1.442,33";"1.649,47";"1.850,37";"1.998,39"
"16062";"Nordhausen";"Kreise";"1.017,18";"1.080,95";"1.131,67";"1.228,42";"1.371,45";"1.539,23";"1.769,84";"1.878,51"
"16063";"Wartburgkreis";"Kreise";"1.106,84";"1.172,73";"1.236,76";"1.353,94";"1.522,10";"1.685,44";"1.868,57";"2.036,10"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"1.029,00";"1.090,98";"1.137,21";"1.252,43";"1.400,95";"1.553,66";"1.787,80";"1.931,05"
"16065";"Kyffhäuserkreis";"Kreise";"980,24";"1.036,64";"1.090,28";"1.206,29";"1.347,56";"1.520,56";"1.733,88";"1.851,25"
"16066";"Schmalkalden-Meiningen";"Kreise";"1.074,22";"1.153,86";"1.213,71";"1.336,17";"1.478,49";"1.655,82";"1.858,26";"2.013,17"
"16067";"Gotha";"Kreise";"1.046,29";"1.120,55";"1.182,17";"1.302,97";"1.438,70";"1.595,43";"1.786,41";"1.864,52"
"16068";"Sömmerda";"Kreise";"1.067,24";"1.121,27";"1.168,89";"1.282,28";"1.428,72";"1.581,25";"1.800,97";"1.949,05"
"16069";"Hildburghausen";"Kreise";"1.103,24";"1.171,18";"1.217,32";"1.354,47";"1.482,66";"1.668,95";"1.882,73";"2.043,84"
"16070";"Ilm-Kreis";"Kreise";"1.051,05";"1.111,80";"1.169,58";"1.312,52";"1.442,26";"1.600,71";"1.788,38";"1.878,30"
"16071";"Weimarer Land";"Kreise";"1.020,95";"1.086,33";"1.153,88";"1.294,32";"1.470,36";"1.615,28";"1.838,80";"1.959,07"
"16072";"Sonneberg";"Kreise";"1.118,82";"1.182,39";"1.237,47";"1.353,18";"1.487,81";"1.657,10";"1.861,69";"1.975,74"
"16073";"Saalfeld-Rudolstadt";"Kreise";"1.055,00";"1.126,63";"1.189,43";"1.318,15";"1.475,94";"1.655,85";"1.870,07";"1.975,60"
"16074";"Saale-Holzland-Kreis";"Kreise";"1.058,20";"1.133,78";"1.209,43";"1.329,73";"1.469,23";"1.650,49";"1.881,37";"1.994,07"
"16075";"Saale-Orla-Kreis";"Kreise";"1.071,77";"1.131,98";"1.195,85";"1.311,61";"1.449,04";"1.620,31";"1.836,84";"1.986,86"
"16076";"Greiz";"Kreise";"1.070,91";"1.140,33";"1.203,35";"1.328,69";"1.475,33";"1.662,72";"1.881,95";"2.032,26"
"16077";"Altenburger Land";"Kreise";"1.057,64";"1.122,47";"1.169,90";"1.266,78";"1.414,40";"1.618,51";"1.863,86";"1.979,92"
