Kennziffer;Raumeinheit;Aggregat;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo
;;;1998;2002;2005;2009;2013;2017;2021;2023
"09278182";"Salching";"Gemeinden";"-410,19";"-101,35";"-58,21";"-15,08";"6,07";"9,39";"-5,19";"-10,36"
"09278184";"Sankt Englmar";"Gemeinden";"-15,53";"1,48";"-10,77";"-37,56";"-33,40";"-44,44";"-71,15";"-56,88"
"09278187";"Schwarzach, M";"Gemeinden";"-65,51";"-93,65";"-78,90";"-73,15";"-88,23";"-56,96";"-58,54";"-55,12"
"09278189";"Stallwang";"Gemeinden";"-238,81";"-173,29";"-216,78";"-205,45";"-173,22";"-176,53";"-164,76";"-172,03"
"09278190";"Steinach";"Gemeinden";"-184,09";"-326,87";"-262,87";"-269,73";"-213,58";"-172,04";"-207,06";"-252,88"
"09278192";"Straßkirchen";"Gemeinden";"-128,48";"-160,23";"-180,68";"-140,70";"-128,34";"-115,01";"-97,04";"-98,29"
"09278197";"Wiesenfelden";"Gemeinden";"-350,20";"-392,92";"-407,73";"-425,94";"-426,20";"-157,63";"-248,36";"-302,35"
"09278198";"Windberg";"Gemeinden";"-241,76";"-272,53";"-332,14";"-439,71";"-474,29";"-485,37";"-430,21";"-450,57"
"09279112";"Dingolfing, St";"Gemeinden";"71,82";"73,17";"74,57";"72,84";"70,06";"68,76";"66,22";"67,61"
"09279113";"Eichendorf, M";"Gemeinden";"-119,63";"-135,76";"-126,29";"-131,76";"-129,74";"-118,32";"-106,92";"-115,05"
"09279115";"Frontenhausen, M";"Gemeinden";"-128,32";"-146,96";"-161,12";"-145,84";"-122,99";"-140,59";"-208,13";"-225,42"
"09279116";"Gottfrieding";"Gemeinden";"-373,46";"-409,38";"-437,42";"-587,10";"-470,99";"-325,00";"-280,74";"-251,49"
"09279122";"Landau a.d.Isar, St";"Gemeinden";"3,42";"-0,23";"-8,61";"0,89";"7,03";"4,61";"4,12";"4,56"
"09279124";"Loiching";"Gemeinden";"-184,14";"-165,05";"-142,36";"-178,86";"-121,67";"-97,54";"-83,23";"-83,26"
"09279125";"Mamming";"Gemeinden";"-129,07";"-105,16";"-108,80";"-75,68";"-101,33";"-67,99";"-75,50";"-78,10"
"09279126";"Marklkofen";"Gemeinden";"42,77";"45,21";"49,12";"55,31";"54,29";"53,54";"51,31";"49,48"
"09279127";"Mengkofen";"Gemeinden";"-142,67";"-111,95";"-82,64";"-79,37";"-108,88";"-106,81";"-111,64";"-109,92"
"09279128";"Moosthenning";"Gemeinden";"-525,19";"-509,90";"-462,83";"-544,37";"-225,24";"-190,09";"-180,05";"-219,82"
"09279130";"Niederviehbach";"Gemeinden";"-451,05";"-419,54";"-292,21";"-292,83";"-190,93";"-87,34";"-85,09";"-52,91"
"09279132";"Pilsting, M";"Gemeinden";"-31,95";"-46,07";"-69,64";"-110,41";"-183,60";"-198,44";"-173,33";"-155,60"
"09279134";"Reisbach, M";"Gemeinden";"-195,06";"-228,96";"-257,94";"-209,23";"-210,25";"-171,28";"-174,84";"-173,80"
"09279135";"Simbach, M";"Gemeinden";"-130,85";"-153,19";"-119,67";"-65,78";"-67,99";"-93,67";"-150,36";"-164,42"
"09279137";"Wallersdorf, M";"Gemeinden";"-141,31";"-147,18";"-151,26";"-138,57";"-139,11";"-120,24";"-45,20";"-58,70"
"09361000";"Amberg";"Gemeinden";"42,66";"37,98";"38,74";"38,91";"38,79";"39,48";"37,85";"36,28"
"09362000";"Regensburg";"Gemeinden";"52,80";"52,83";"54,73";"52,98";"50,48";"48,70";"46,77";"45,86"
"09363000";"Weiden i.d.OPf.";"Gemeinden";"40,93";"41,95";"43,57";"44,08";"42,44";"41,21";"38,66";"36,13"
"09371111";"Ammerthal";"Gemeinden";"-313,92";"-334,39";"-203,10";"-201,98";"-216,73";"-403,45";"-397,81";"-360,30"
"09371113";"Auerbach i.d.OPf., St";"Gemeinden";"3,70";"5,52";"4,79";"1,52";"1,10";"4,61";"11,29";"11,96"
"09371116";"Birgland";"Gemeinden";"-229,59";"-292,05";"-265,84";"-254,80";"-225,35";"-190,94";"-158,56";"-186,88"
"09371118";"Ebermannsdorf";"Gemeinden";"-137,00";"-165,23";"-133,85";"-57,05";"-37,40";"-16,16";"-2,28";"11,86"
"09371119";"Edelsfeld";"Gemeinden";"-105,03";"-80,05";"-83,15";"-85,42";"-62,78";"-44,96";"-22,19";"-33,80"
"09371120";"Ensdorf";"Gemeinden";"-339,16";"-253,77";"-241,82";"-299,01";"-285,39";"-227,01";"-230,85";"-204,64"
"09371121";"Freihung, M";"Gemeinden";"-162,35";"-199,67";"-191,78";"-207,42";"-176,47";"-210,59";"-221,73";"-244,83"
"09371122";"Freudenberg";"Gemeinden";"-285,03";"-291,23";"-423,36";"-337,57";"-305,60";"-309,93";"-341,65";"-363,77"
"09371123";"Gebenbach";"Gemeinden";"-239,76";"-275,95";"-222,47";"-233,68";"-194,40";"-251,33";"-200,78";"-184,33"
"09371126";"Hahnbach, M";"Gemeinden";"-283,04";"-306,87";"-286,27";"-269,34";"-227,44";"-191,65";"-184,65";"-209,93"
"09371127";"Hirschau, St";"Gemeinden";"18,32";"19,84";"10,20";"14,22";"6,39";"-2,16";"-6,42";"-7,63"
"09371128";"Hirschbach";"Gemeinden";"-121,72";"-175,62";"-151,50";"-117,59";"-179,88";"-228,66";"-248,65";"-409,90"
"09371129";"Hohenburg, M";"Gemeinden";"-324,60";"-540,96";"-476,34";"-362,50";"-287,10";"-366,19";"-293,71";"-307,51"
"09371131";"Illschwang";"Gemeinden";"-215,56";"-186,76";"-203,79";"-242,25";"-227,56";"-198,98";"-151,34";"-145,94"
"09371132";"Kastl, M";"Gemeinden";"-131,79";"-143,37";"-154,34";"-192,18";"-211,54";"-223,83";"-266,55";"-224,85"
"09371135";"Königstein, M";"Gemeinden";"-212,94";"-202,75";"-223,50";"-150,76";"-139,93";"-144,52";"-137,74";"-128,18"
"09371136";"Kümmersbruck";"Gemeinden";"-60,33";"-54,36";"-45,70";"-48,37";"-56,03";"-52,31";"-64,77";"-53,48"
"09371140";"Etzelwang";"Gemeinden";"-245,21";"-356,88";"-318,58";"-305,83";"-243,87";"-287,42";"-181,48";"-96,10"
"09371141";"Neukirchen b.Sulzbach-Rosenberg";"Gemeinden";"-61,12";"-68,89";"-69,94";"-96,10";"-106,37";"-130,30";"-145,52";"-175,57"
"09371144";"Poppenricht";"Gemeinden";"-589,77";"-734,90";"-662,99";"-614,12";"-610,47";"-556,02";"-561,43";"-594,88"
"09371146";"Rieden, M";"Gemeinden";"-130,31";"-124,73";"-155,61";"-151,86";"-181,36";"-209,04";"-228,49";"-216,28"
"09371148";"Schmidmühlen, M";"Gemeinden";"-183,39";"-212,50";"-197,42";"-170,86";"-155,97";"-144,74";"-158,02";"-181,64"
"09371150";"Schnaittenbach, St";"Gemeinden";"-186,84";"-165,32";"-153,29";"-131,47";"-102,02";"-111,72";"-114,07";"-116,43"
"09371151";"Sulzbach-Rosenberg, St";"Gemeinden";"13,29";"13,57";"0,71";"4,06";"8,11";"10,47";"9,74";"11,10"
"09371154";"Ursensollen";"Gemeinden";"-197,86";"-125,44";"-135,51";"-129,58";"-99,33";"-69,39";"-2,74";"1,38"
"09371156";"Vilseck, St";"Gemeinden";"-105,88";"-26,80";"-19,97";"-22,03";"-25,91";"-27,49";"-22,22";"-32,65"
"09371157";"Weigendorf";"Gemeinden";"-190,62";"-290,08";"-380,43";"-420,43";"-316,10";"-347,83";"-346,77";"-344,26"
"09371452";"Eichen";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"09372112";"Arnschwang";"Gemeinden";"-161,72";"-198,14";"-221,65";"-219,27";"-268,34";"-209,09";"-167,62";"-149,42"
"09372113";"Arrach";"Gemeinden";"-192,93";"-180,12";"-153,80";"-147,45";"-146,02";"-172,70";"-154,74";"-173,20"
"09372115";"Blaibach";"Gemeinden";"-155,69";"-181,67";"-303,09";"-371,05";"-313,61";"-277,48";"-238,78";"-284,30"
"09372116";"Cham, St";"Gemeinden";"49,41";"50,00";"53,60";"55,53";"57,12";"58,31";"59,11";"59,55"
"09372117";"Chamerau";"Gemeinden";"-79,35";"-72,12";"-69,35";"-43,07";"-52,40";"-75,04";"-68,84";"-64,72"
"09372124";"Eschlkam, M";"Gemeinden";"-190,68";"-200,80";"-200,00";"-198,98";"-183,07";"-198,68";"-163,14";"-154,80"
"09372125";"Falkenstein, M";"Gemeinden";"-77,37";"-89,65";"-84,78";"-87,00";"-99,68";"-92,78";"-110,98";"-103,30"
"09372126";"Furth im Wald, St";"Gemeinden";"12,53";"15,10";"11,17";"5,70";"-2,12";"2,89";"7,39";"11,51"
"09372128";"Gleißenberg";"Gemeinden";"-742,11";"-467,21";"-409,38";"-430,51";"-429,23";;;
"09372130";"Grafenwiesen";"Gemeinden";"-225,97";"-226,11";"-178,57";"-204,47";"-237,21";"-224,23";"-177,54";"-173,78"
"09372135";"Hohenwarth";"Gemeinden";"-228,44";"-177,51";"-164,14";"-175,00";"-173,70";"-237,39";"-242,92";"-220,70"
"09372137";"Bad Kötzting, St";"Gemeinden";"27,62";"26,80";"24,82";"25,63";"22,16";"24,92";"19,47";"17,41"
"09372138";"Lam, M";"Gemeinden";"-10,86";"-3,84";"-9,01";"-24,57";"-42,72";"-28,24";"-25,10";"-24,67"
"09372142";"Michelsneukirchen";"Gemeinden";"-138,39";"-215,17";"-199,48";"-270,29";"-195,45";"-173,01";"-135,63";"-128,07"
"09372143";"Miltach";"Gemeinden";"-42,91";"-33,11";"-36,90";"-35,73";"-21,88";"-12,40";"-10,03";"-14,04"
"09372144";"Neukirchen b.Hl.Blut, M";"Gemeinden";"-75,56";"-67,28";"-66,40";"-85,71";"-125,16";"-68,30";"-50,64";"-39,86"
"09372146";"Pemfling";"Gemeinden";"-246,15";"-298,47";"-262,33";"-164,58";"-174,29";"-270,97";"-246,21";"-245,36"
"09372147";"Pösing";"Gemeinden";"-40,48";"-22,65";"-36,40";"-24,74";"-69,87";"-86,16";"-75,86";"-89,91"
"09372149";"Reichenbach";"Gemeinden";"43,11";"43,36";"46,82";"46,96";"44,31";"44,34";"44,46";"44,54"
"09372150";"Rettenbach";"Gemeinden";"-582,93";"-502,86";"-442,62";"-507,41";"-476,19";"-480,74";"-474,31";"-435,95"
"09372151";"Rimbach";"Gemeinden";"-305,16";"-225,87";"-248,90";"-206,70";"-229,60";"-205,56";"-121,35";"-105,87"
"09372153";"Roding, St";"Gemeinden";"28,14";"30,43";"33,96";"40,27";"41,19";"37,96";"34,63";"31,46"
"09372154";"Rötz, St";"Gemeinden";"8,60";"12,47";"-12,34";"-13,00";"-12,66";"-8,86";"-3,30";"-20,31"
"09372155";"Runding";"Gemeinden";"-101,75";"-188,44";"-201,05";"-201,96";"-91,22";"-62,83";"-58,27";"-48,12"
"09372157";"Schönthal";"Gemeinden";"-194,74";"-236,41";"-258,14";"-202,87";"-159,79";"-161,54";"-133,23";"-127,71"
"09372158";"Schorndorf";"Gemeinden";"-228,34";"-239,18";"-298,74";"-309,96";"-279,80";"-216,58";"-216,75";"-206,73"
"09372161";"Stamsried, M";"Gemeinden";"-173,17";"-149,46";"-153,68";"-188,01";"-252,61";"-315,83";"-310,16";"-329,51"
"09372163";"Tiefenbach";"Gemeinden";"-271,02";"-294,55";"-326,71";"-311,92";"-283,24";"-282,01";"-197,68";"-259,72"
"09372164";"Traitsching";"Gemeinden";"-334,10";"-355,02";"-365,03";"-366,15";"-349,73";"-285,50";"-245,86";"-240,52"
"09372165";"Treffelstein";"Gemeinden";"-93,67";"-169,92";"-145,53";"-324,66";"-284,62";"-309,78";"-337,23";"-383,33"
"09372167";"Zell";"Gemeinden";"-565,35";"-480,00";"-434,85";"-522,95";"-526,40";"-502,92";"-415,53";"-415,15"
"09372168";"Waffenbrunn";"Gemeinden";"-647,92";"-469,47";"-426,76";"-320,63";"-234,98";"-250,38";"-338,03";"-322,62"
"09372169";"Wald";"Gemeinden";"-109,91";"-76,37";"-64,44";"-68,04";"-60,24";"-64,54";"-55,76";"-54,28"
"09372170";"Walderbach";"Gemeinden";"-166,20";"-112,32";"-107,69";"-100,00";"-83,40";"-62,91";"-67,77";"-73,16"
"09372171";"Waldmünchen, St";"Gemeinden";"-6,63";"-13,46";"-25,39";"-30,51";"-33,52";"-19,43";"-20,60";"-19,05"
"09372174";"Weiding";"Gemeinden";"-180,66";"-198,39";"-205,12";"-169,41";"-112,63";"-88,52";"-65,27";"-66,24"
"09372175";"Willmering";"Gemeinden";"-78,63";"-86,77";"-136,53";"-87,29";"-98,65";"-91,36";"-82,45";"-79,88"
"09372177";"Zandt";"Gemeinden";"62,70";"66,97";"59,51";"70,05";"68,48";;;
"09372178";"Lohberg";"Gemeinden";"-164,20";"-203,96";"-179,75";"-286,36";"-288,40";"-167,40";"-179,78";"-134,89"
"09373112";"Berching, St";"Gemeinden";"-41,46";"-32,47";"-25,85";"-27,45";"-19,67";"-14,99";"-10,05";"-4,43"
"09373113";"Berg b.Neumarkt i.d.OPf.";"Gemeinden";"-204,52";"-165,55";"-190,17";"-157,70";"-162,82";"-146,90";"-140,14";"-131,71"
"09373114";"Berngau";"Gemeinden";"-155,63";"-160,77";"-166,56";"-176,97";"-153,96";"-136,62";"-139,29";"-137,96"
"09373115";"Breitenbrunn, M";"Gemeinden";"-277,58";"-256,73";"-309,22";"-337,10";"-365,72";"-342,28";"-332,68";"-320,87"
"09373119";"Deining";"Gemeinden";"-328,94";"-355,02";"-307,73";"-334,48";"-339,45";"-335,87";"-276,74";"-217,21"
"09373121";"Dietfurt a.d.Altmühl, St";"Gemeinden";"-31,81";"-38,68";"-43,73";"-46,70";"-34,85";"-28,72";"-39,83";"-53,28"
"09373126";"Freystadt, St";"Gemeinden";"-115,91";"-102,75";"-120,23";"-113,49";"-108,09";"-122,56";"-124,24";"-124,56"
"09373134";"Hohenfels, M";"Gemeinden";"-82,62";"32,19";"33,55";"31,01";"14,34";"-2,21";"4,56";"0,32"
"09373140";"Lauterhofen, M";"Gemeinden";"-33,15";"-31,34";"-24,79";"-27,98";"-14,48";"-9,15";"0,06";"1,17"
"09373143";"Lupburg, M";"Gemeinden";"-236,67";"-190,84";"-136,89";"-91,56";"-67,31";"-22,55";"-29,14";"-34,49"
"09373146";"Mühlhausen";"Gemeinden";"-8,26";"-41,33";"-64,51";"-38,17";"-35,62";"-21,96";"-11,01";"-6,71"
"09373147";"Neumarkt i.d.OPf., GKSt";"Gemeinden";"18,14";"19,38";"19,09";"20,03";"20,52";"21,19";"23,29";"23,10"
"09373151";"Parsberg, St";"Gemeinden";"17,74";"-0,39";"7,29";"13,25";"1,74";"-4,40";"-9,86";"-10,32"
"09373153";"Pilsach";"Gemeinden";"-246,40";"-278,84";"-182,32";"-296,50";"-198,62";"-160,54";"-139,33";"-161,55"
"09373155";"Postbauer-Heng, M";"Gemeinden";"-57,22";"-33,33";"-41,70";"-43,26";"-74,52";"-55,86";"-49,07";"-53,22"
"09373156";"Pyrbaum, M";"Gemeinden";"-186,96";"-184,72";"-167,40";"-169,40";"-166,50";"-141,42";"-161,85";"-152,49"
"09373159";"Sengenthal";"Gemeinden";"73,41";"70,65";"68,49";"70,87";"70,76";"71,61";"67,87";"65,58"
"09373160";"Seubersdorf i.d.OPf.";"Gemeinden";"-224,11";"-262,83";"-263,02";"-315,71";"-295,52";"-294,98";"-246,06";"-267,13"
"09373167";"Velburg, St";"Gemeinden";"-146,77";"-133,64";"-109,16";"-123,21";"-83,60";"-111,17";"-92,82";"-95,53"
"09374111";"Altenstadt a.d.Waldnaab";"Gemeinden";"-130,03";"-42,04";"-45,16";"-58,87";"-40,35";"-37,95";"-31,38";"-22,35"
"09374117";"Eschenbach i.d.OPf., St";"Gemeinden";"7,80";"22,85";"29,84";"28,95";"34,92";"34,63";"31,58";"30,85"
"09374118";"Eslarn, M";"Gemeinden";"-54,23";"-70,61";"-65,58";"-57,76";"-79,16";"-64,39";"-70,04";"-80,25"
"09374119";"Etzenricht";"Gemeinden";"-741,43";"-746,38";"-1.056,25";"-1.354,76";"-1.829,41";"-840,85";"-594,06";"-577,36"
"09374121";"Floß, M";"Gemeinden";"-75,08";"-47,74";"-69,55";"-29,07";"-29,86";"-27,34";"-23,05";"-21,12"
"09374122";"Flossenbürg";"Gemeinden";"-1,02";"-25,10";"-20,42";"-19,41";"-28,85";"-50,68";"-44,06";"-55,80"
"09374123";"Georgenberg";"Gemeinden";"-294,17";"-337,50";"-381,73";"-430,93";"-513,95";"-443,75";"-350,88";"-362,28"
"09374124";"Grafenwöhr, St";"Gemeinden";"11,18";"11,27";"14,88";"19,64";"11,36";"11,04";"9,01";"9,03"
"09374127";"Irchenrieth";"Gemeinden";"-32,05";"-8,04";"-1,75";"-5,34";"39,88";"45,47";"45,28";"43,88"
"09374128";"Kirchendemenreuth";"Gemeinden";"-365,38";"-344,64";"-366,67";"-444,90";"-464,15";;"-433,87";"-462,90"
"09374129";"Kirchenthumbach, M";"Gemeinden";"-232,04";"-249,86";"-282,75";"-292,24";"-217,44";"-82,57";"-265,58";"-266,57"
"09374131";"Kohlberg, M";"Gemeinden";"-323,71";"-276,36";"-151,27";"-312,15";"-441,18";"-343,12";"-381,55";"-447,25"
"09374132";"Leuchtenberg, M";"Gemeinden";"-260,66";"-351,02";"-373,12";"-259,69";"-225,64";"-185,95";"-160,59";"-180,98"
"09374133";"Luhe-Wildenau, M";"Gemeinden";"-21,23";"-68,74";"-47,55";"-29,39";"-8,97";"9,12";"10,83";"12,12"
"09374134";"Mantel, M";"Gemeinden";"-200,90";"-255,96";"-273,18";"-238,64";"-217,60";"-194,18";"-182,15";"-181,32"
"09374137";"Moosbach, M";"Gemeinden";"-108,62";"-101,95";"-149,22";"-166,12";"-198,27";"-220,69";"-216,27";"-174,21"
"09374139";"Neustadt a.d.Waldnaab, St";"Gemeinden";"-8,28";"-25,11";"-30,98";"-42,63";"-54,80";"-21,72";"-20,69";"-24,52"
"09374140";"Neustadt am Kulm, St";"Gemeinden";"-603,03";"-601,54";"-529,17";"-731,58";"-673,85";"-692,42";"-680,30";"-753,33"
"09374144";"Parkstein, M";"Gemeinden";"-14,44";"-7,79";"-8,39";"15,35";"34,09";"48,40";"58,38";"64,90"
"09374146";"Pirk";"Gemeinden";"17,41";"24,52";"24,80";"18,74";"36,52";"15,13";"15,92";"18,64"
"09374147";"Pleystein, St";"Gemeinden";"-27,72";"-22,51";"-18,38";"-23,38";"-24,72";"-19,88";"-16,45";"-22,18"
"09374148";"Trabitz";"Gemeinden";"21,77";"21,23";"13,38";"7,53";"2,29";"-235,71";"-264,15";"-172,06"
"09374149";"Pressath, St";"Gemeinden";"-55,71";"-52,29";"-48,95";"-56,97";"-47,99";"-45,51";"-15,41";"-23,77"
"09374150";"Püchersreuth";"Gemeinden";"-505,38";"-655,84";"-624,69";"-525,74";"-512,50";"-520,00";"-462,79";"-454,48"
"09374154";"Schirmitz";"Gemeinden";"-237,37";"-292,00";"-369,93";"-355,19";"-370,41";"-404,29";"-350,00";"-389,66"
"09374155";"Schlammersdorf";"Gemeinden";"-297,22";"-341,33";"-285,23";"-296,63";"-232,41";"-218,80";"-200,79";"-231,03"
"09374156";"Schwarzenbach";"Gemeinden";"-291,58";"-213,24";"-258,04";"-228,36";"-186,59";"-155,88";"-147,60";"-145,97"
"09374157";"Speinshart";"Gemeinden";"-612,96";"-386,90";"-402,30";"-415,29";"-311,82";"-261,83";"-275,00";"-269,50"
"09374158";"Störnstein";"Gemeinden";"-5,81";"-8,78";"-15,27";"-46,32";"-42,65";"-43,13";"-26,45";"-31,77"
"09374159";"Tännesberg, M";"Gemeinden";"-142,25";"-133,64";"-141,87";"-156,93";"-194,61";"-214,65";"-156,54";"-133,07"
"09374160";"Theisseil";"Gemeinden";"-537,50";"-541,67";"-453,23";"-611,32";"-550,77";"-575,76";"-532,88";"-460,24"
"09374162";"Vohenstrauß, St";"Gemeinden";"-9,05";"-18,44";"-16,98";"-36,12";"-30,91";"-33,15";"-37,62";"-39,44"
"09374163";"Vorbach";"Gemeinden";"33,45";"45,45";"50,64";"52,16";"36,46";;"65,13";"61,87"
"09374164";"Waidhaus, M";"Gemeinden";"-28,16";"-14,99";"-19,81";"-16,51";"-10,66";"-16,19";"7,29";"14,70"
"09374165";"Waldthurn, M";"Gemeinden";"-213,15";"-192,61";"-176,82";"-155,34";"-173,26";"-154,93";"-132,14";"-124,16"
"09374166";"Weiherhammer";"Gemeinden";"32,92";"33,06";"36,03";"36,36";"35,07";"39,69";"39,89";"43,86"
"09374168";"Windischeschenbach, St";"Gemeinden";"-24,39";"-44,82";"-79,57";"-67,43";"-47,60";"-34,95";"-33,66";"-37,09"
"09374170";"Bechtsrieth";"Gemeinden";"-184,42";"-154,37";"-288,89";"-450,75";"-465,22";"-395,51";"-590,62";"-612,70"
"09374452";"Manteler Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"09374458";"Speinsharter Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"09375113";"Alteglofsheim";"Gemeinden";"-278,83";"-318,60";"-227,59";"-224,52";"-175,74";"-192,81";"-124,32";"-218,93"
"09375114";"Altenthann";"Gemeinden";"-429,13";"-401,65";"-323,65";"-361,76";"-295,93";"-423,85";"-405,97";"-478,86"
"09375115";"Aufhausen";"Gemeinden";"-451,40";"-521,00";"-466,36";"-741,98";"-567,24";"-646,67";"-490,51";"-460,26"
"09375116";"Bach a.d.Donau";"Gemeinden";"-132,58";"-100,96";"-64,47";"-48,53";"-174,82";"-225,32";"-242,36";"-202,19"
"09375117";"Barbing";"Gemeinden";"-130,71";"-84,16";"-49,26";"-52,74";"-71,97";"-60,32";"-38,64";"-39,57"
"09375118";"Beratzhausen, M";"Gemeinden";"-172,91";"-191,99";"-216,83";"-237,27";"-252,26";"-256,72";"-207,68";"-223,28"
"09375119";"Bernhardswald";"Gemeinden";"-612,64";"-582,23";"-473,04";"-441,76";"-477,37";"-481,19";"-342,24";"-365,54"
"09375120";"Brennberg";"Gemeinden";"-351,49";"-345,83";"-287,36";"-295,68";"-304,48";"-214,39";"-231,08";"-178,96"
"09375122";"Brunn";"Gemeinden";"-277,01";"-454,93";"-662,71";"-570,00";"-790,77";"-248,30";"-250,82";"-275,71"
"09375127";"Deuerling";"Gemeinden";"-534,69";"-566,99";"-508,04";"-681,05";"-546,28";"-431,61";"-390,70";"-429,56"
"09375130";"Donaustauf, M";"Gemeinden";"-65,10";"-60,17";"-69,04";"-63,95";"-89,47";"-91,16";"-111,35";"-126,05"
"09375131";"Duggendorf";"Gemeinden";"-720,31";"-724,64";"-875,41";"-727,63";"-764,47";"-725,58";"-635,11";"-588,24"
"09375143";"Hagelstadt";"Gemeinden";"-206,98";"-184,21";"-227,68";"-250,00";"-239,53";"-191,35";"-132,40";"-124,87"
"09375148";"Hemau, St";"Gemeinden";"-120,00";"-133,44";"-149,42";"-137,59";"-148,48";"-147,47";"-134,70";"-127,67"
"09375153";"Holzheim a.Forst";"Gemeinden";"-2.012,50";"-2.231,25";"-1.961,11";"-2.640,00";"-3.076,92";"-2.388,89";;"-3.126,67"
"09375156";"Kallmünz, M";"Gemeinden";"-101,70";"-99,23";"-86,95";"-95,08";"-97,24";"-93,04";"-108,00";"-105,31"
"09375161";"Köfering";"Gemeinden";"-388,19";"-462,14";"-562,88";"-591,24";"-682,22";"-522,28";"-484,19";"-333,22"
"09375162";"Laaber, M";"Gemeinden";"-332,27";"-325,06";"-234,81";"-183,41";"-183,95";"-178,80";"-216,79";"-238,02"
"09375165";"Lappersdorf, M";"Gemeinden";"-189,56";"-185,10";"-187,06";"-154,46";"-172,11";"-179,06";"-121,61";"-113,99"
"09375170";"Mintraching";"Gemeinden";"-93,36";"-107,94";"-134,68";"-95,40";"-64,71";"-65,04";"-48,03";"-56,98"
"09375171";"Mötzing";"Gemeinden";"-780,39";"-959,18";"-1.060,87";"-1.472,97";"-1.027,27";"-912,90";;"-894,12"
"09375174";"Neutraubling, St";"Gemeinden";"40,09";"45,19";"49,39";"54,12";"55,53";"57,92";"57,86";"58,66"
"09375175";"Nittendorf, M";"Gemeinden";"-198,39";"-170,35";"-158,77";"-180,20";"-203,56";"-206,22";"-180,07";"-188,15"
"09375179";"Obertraubling";"Gemeinden";"-38,89";"-35,91";"-43,99";"-45,69";"-17,98";"-20,72";"-24,22";"-33,74"
"09375180";"Pentling";"Gemeinden";"-158,09";"-190,43";"-186,00";"-160,88";"-137,04";"-149,42";"-182,67";"-174,12"
"09375181";"Pettendorf";"Gemeinden";"-252,16";"-245,86";"-315,21";"-396,89";"-405,17";"-375,20";"-346,03";"-299,70"
"09375182";"Pfakofen";"Gemeinden";"-226,58";"-238,10";"-282,72";"-247,28";"-216,13";"-336,41";"-345,86";"-431,13"
"09375183";"Pfatter";"Gemeinden";"-342,24";"-277,34";"-297,85";"-273,86";"-241,35";"-233,66";"-208,53";"-200,41"
"09375184";"Pielenhofen";"Gemeinden";"-92,71";"-139,66";"-284,62";"-239,39";"-352,94";"-343,54";"-336,81";"-323,26"
"09375190";"Regenstauf, M";"Gemeinden";"-46,47";"-41,38";"-51,83";"-45,86";"-55,19";"-40,74";"-24,12";"-25,04"
"09375191";"Riekofen";"Gemeinden";"-259,26";"-307,14";"-368,52";"-330,65";"-218,48";"-143,66";"-124,84";"-152,35"
"09375196";"Schierling, M";"Gemeinden";"-48,76";"-46,09";"-32,69";"-35,55";"-46,86";"-17,77";"-16,00";"-14,56"
"09375199";"Sinzing";"Gemeinden";"-355,98";"-304,80";"-292,31";"-276,73";"-281,99";"-226,07";"-205,40";"-181,91"
"09375201";"Sünching";"Gemeinden";"-71,68";"-108,85";"-107,92";"-78,32";"-78,09";"-80,70";"-94,49";"-119,27"
"09375204";"Tegernheim";"Gemeinden";"-391,94";"-418,35";"-449,33";"-504,95";"-383,75";"-329,13";"-260,51";"-311,53"
"09375205";"Thalmassing";"Gemeinden";"-1.061,70";"-1.049,53";"-784,51";"-1.012,90";"-898,66";"-878,40";"-606,30";"-644,78"
"09375208";"Wenzenbach";"Gemeinden";"-303,13";"-422,56";"-442,14";"-445,31";"-460,76";"-387,62";"-258,84";"-217,16"
"09375209";"Wiesent";"Gemeinden";"-608,55";"-588,55";"-568,09";"-511,80";"-636,81";"-709,52";"-482,38";"-582,01"
"09375210";"Wörth a.d.Donau, St";"Gemeinden";"-24,21";"-23,78";"-20,78";"-13,27";"6,43";"0,94";"3,84";"4,54"
"09375211";"Wolfsegg";"Gemeinden";"-356,52";"-444,33";"-452,63";"-569,05";"-483,65";"-417,69";"-442,06";"-420,74"
"09375213";"Zeitlarn";"Gemeinden";"-357,54";"-298,50";"-321,43";"-430,68";"-476,89";"-479,63";"-372,93";"-261,49"
"09375451";"Forstmühler Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"09375452";"Kreuther Forst";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"09376112";"Altendorf";"Gemeinden";"-279,12";"-318,07";"-347,30";"-391,78";"-456,52";"-420,00";"-419,74";"-443,84"
"09376116";"Bodenwöhr";"Gemeinden";"-52,26";"-81,68";"-96,95";"-58,75";"-42,66";"-78,72";"-58,83";"-46,63"
"09376117";"Bruck i.d.OPf., M";"Gemeinden";"-38,22";"-13,68";"-14,74";"-65,71";"-48,03";"-43,26";"-43,31";"-43,10"
"09376119";"Burglengenfeld, St";"Gemeinden";"-35,48";"-37,19";"-53,65";"-58,76";"-61,34";"-71,49";"-80,97";"-86,72"
