Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"05378";"Rheinisch-Bergischer Kreis";"Kreise";"8,52";"8,26";"7,64";"6,87";"6,27";"7,09";"9,21";"9,77";"10,92"
"05382";"Rhein-Sieg-Kreis";"Kreise";"8,66";"8,91";"8,86";"8,64";"8,16";"7,54";"9,96";"10,52";"11,86"
"05512";"Bottrop, Stadt";"Kreise";"9,78";"9,91";"9,47";"9,39";"9,06";"8,08";"10,69";"11,84";"12,37"
"05513";"Gelsenkirchen, Stadt";"Kreise";"14,75";"14,53";"13,41";"13,50";"13,95";"14,71";"19,13";"22,47";"24,30"
"05515";"Münster, Stadt";"Kreise";"6,49";"7,33";"7,93";"7,30";"6,71";"7,98";"10,31";"11,10";"11,70"
"05554";"Borken";"Kreise";"6,98";"6,91";"6,59";"6,63";"6,92";"6,68";"8,92";"9,91";"11,19"
"05558";"Coesfeld";"Kreise";"4,60";"4,48";"4,21";"3,92";"4,01";"3,73";"6,12";"6,82";"8,55"
"05562";"Recklinghausen";"Kreise";"10,16";"10,21";"9,36";"9,01";"8,74";"8,12";"10,71";"12,18";"14,09"
"05566";"Steinfurt";"Kreise";"5,88";"5,99";"5,72";"5,72";"5,60";"5,56";"8,82";"10,11";"11,60"
"05570";"Warendorf";"Kreise";"8,22";"8,37";"7,78";"7,40";"6,95";"6,67";"9,75";"11,09";"12,44"
"05711";"Bielefeld, Stadt";"Kreise";"12,84";"12,95";"12,76";"12,16";"11,88";"11,73";"14,09";"15,89";"17,36"
"05754";"Gütersloh";"Kreise";"9,17";"9,25";"8,62";"8,57";"8,42";"8,92";"12,42";"13,79";"14,93"
"05758";"Herford";"Kreise";"7,73";"7,65";"6,91";"6,36";"5,99";"6,32";"8,99";"10,19";"11,66"
"05762";"Höxter";"Kreise";"4,95";"5,03";"4,96";"4,86";"4,61";"3,42";"5,42";"6,49";"8,38"
"05766";"Lippe";"Kreise";"6,88";"7,09";"6,47";"6,16";"5,88";"5,47";"8,25";"9,13";"10,33"
"05770";"Minden-Lübbecke";"Kreise";"5,48";"5,80";"5,40";"5,07";"4,89";"4,96";"7,63";"9,01";"10,93"
"05774";"Paderborn";"Kreise";"7,48";"7,47";"7,08";"7,13";"6,75";"6,23";"8,88";"9,83";"11,19"
"05911";"Bochum, Stadt";"Kreise";"11,65";"11,53";"11,60";"11,37";"11,24";"8,98";"12,25";"14,10";"15,38"
"05913";"Dortmund, Stadt";"Kreise";"14,61";"16,01";"16,16";"15,85";"15,71";"13,23";"16,96";"19,10";"20,27"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"14,43";"14,59";"13,62";"13,32";"12,87";"13,08";"17,39";"21,08";"22,24"
"05915";"Hamm, Stadt";"Kreise";"16,42";"11,92";"13,13";"13,54";"13,74";"11,17";"14,57";"16,72";"17,46"
"05916";"Herne, Stadt";"Kreise";"15,47";"15,36";"15,01";"15,03";"15,07";"12,56";"16,30";"19,41";"20,27"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"9,20";"8,91";"8,44";"8,21";"7,92";"7,58";"10,01";"11,03";"12,32"
"05958";"Hochsauerlandkreis";"Kreise";"8,34";"7,92";"7,20";"7,04";"6,66";"6,01";"8,50";"9,53";"11,06"
"05962";"Märkischer Kreis";"Kreise";"13,17";"13,09";"12,59";"11,96";"11,56";"10,29";"12,81";"13,80";"14,64"
"05966";"Olpe";"Kreise";"9,24";"9,35";"8,81";"8,57";"8,25";"6,97";"9,08";"9,82";"11,26"
"05970";"Siegen-Wittgenstein";"Kreise";"8,93";"8,86";"8,75";"8,72";"8,54";"7,13";"10,28";"11,45";"12,76"
"05974";"Soest";"Kreise";"7,62";"7,58";"7,36";"7,16";"6,90";"6,07";"9,22";"10,37";"11,23"
"05978";"Unna";"Kreise";"9,93";"9,62";"9,91";"8,98";"8,67";"7,13";"9,47";"11,22";"12,79"
"06411";"Darmstadt, Wissenschaftsstadt";"Kreise";"14,86";"14,46";"14,44";"15,71";"14,96";"15,89";"19,31";"21,14";"22,78"
"06412";"Frankfurt am Main, Stadt";"Kreise";"26,33";"24,57";"22,30";"21,91";"20,83";"26,32";"29,00";"29,55";"29,22"
"06413";"Offenbach am Main, Stadt";"Kreise";"25,73";"25,61";"26,03";"26,04";"24,86";"31,27";"35,00";"37,54";"39,35"
"06414";"Wiesbaden, Landeshauptstadt";"Kreise";"17,85";"18,70";"20,35";"20,66";"20,08";"16,19";"18,85";"20,64";"22,65"
