Kennziffer;Raumeinheit;Aggregat;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"199,28";"190,63";"148,33";"124,38";"154,40";"235,89";"335,37";"398,99";"436,51"
"01051093";"Reinsbüttel";"Gemeinden";"211,20";"189,00";"185,94";"162,04";"240,00";"283,45";"437,30";"468,40";"562,62"
"01051096";"Sankt Annen";"Gemeinden";"186,39";"214,90";"209,91";"128,94";"238,53";"317,76";"372,68";"429,22";"491,68"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"256,89";"254,33";"224,18";"184,05";"233,79";"266,91";"358,99";"404,52";"449,38"
"01051098";"Sarzbüttel";"Gemeinden";"214,18";"211,19";"208,10";"196,99";"259,56";"321,58";"397,76";"463,68";"510,48"
"01051099";"Schafstedt";"Gemeinden";"193,76";"195,79";"187,13";"159,53";"223,71";"280,80";"378,67";"424,21";"475,14"
"01051100";"Schalkholz";"Gemeinden";"190,94";"174,07";"170,94";"156,83";"224,66";"239,20";"359,07";"450,71";"519,14"
"01051102";"Schlichting";"Gemeinden";"176,71";"155,10";"152,00";"129,17";"166,67";"253,22";"262,34";"410,42";"443,31"
"01051103";"Schmedeswurth";"Gemeinden";"172,09";"182,22";"198,02";"121,50";"247,62";"317,95";"386,27";"506,81";"550,28"
"01051104";"Schrum";"Gemeinden";"78,95";"111,11";"138,89";"194,81";"225,00";"436,62";"503,84";"568,34";"562,34"
"01051105";"Schülp";"Gemeinden";"185,95";"213,98";"199,16";"146,64";"218,88";"268,72";"404,80";"485,75";"532,66"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"162,35";"146,34";"150,31";"138,43";"231,88";"340,86";"399,12";"402,33";"419,81"
"01051108";"Strübbel";"Gemeinden";"209,30";"207,32";"244,44";"136,84";"250,00";"258,82";"480,59";"411,05";"569,13"
"01051109";"Süderdeich";"Gemeinden";"186,37";"182,00";"151,85";"154,14";"162,38";"254,82";"342,00";"426,92";"500,82"
"01051110";"Süderhastedt";"Gemeinden";"223,07";"195,04";"196,06";"168,58";"213,04";"252,60";"336,55";"364,61";"393,62"
"01051113";"Wöhrden";"Gemeinden";"219,81";"188,65";"177,08";"162,06";"226,42";"292,30";"390,61";"439,66";"517,14"
"01051114";"Tellingstedt";"Gemeinden";"225,65";"233,10";"220,10";"204,40";"226,56";"256,19";"336,88";"377,91";"417,15"
"01051117";"Tielenhemme";"Gemeinden";"180,79";"185,63";"209,30";"160,00";"187,50";"218,39";"260,61";"296,49";"345,29"
"01051118";"Trennewurth";"Gemeinden";"202,66";"222,97";"208,33";"168,54";"229,01";"266,67";"426,38";"531,67";"614,06"
"01051119";"Volsemenhusen";"Gemeinden";"202,78";"188,68";"174,03";"195,65";"227,27";"343,41";"471,87";"545,82";"633,33"
"01051120";"Wallen";"Gemeinden";"303,03";"111,11";"153,85";"228,57";"454,55";"388,89";"533,97";"544,91";"647,65"
"01051121";"Warwerort";"Gemeinden";"161,57";"203,98";"174,27";"122,45";"157,72";"224,49";"385,18";"475,66";"586,90"
"01051122";"Weddingstedt";"Gemeinden";"223,96";"219,24";"208,63";"215,91";"278,48";"333,48";"424,85";"495,00";"538,53"
"01051125";"Welmbüttel";"Gemeinden";"234,41";"229,83";"205,69";"192,80";"275,94";"307,36";"388,36";"438,56";"493,40"
"01051126";"Wennbüttel";"Gemeinden";"264,71";"220,78";"211,76";"227,85";"253,16";"352,94";"473,04";"515,00";"587,98"
"01051127";"Wesselburen, Stadt";"Gemeinden";"204,01";"201,43";"187,78";"149,05";"173,57";"210,91";"233,28";"254,97";"290,66"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"210,53";"204,38";"208,96";"125,00";"184,93";"292,68";"483,74";"750,79";"823,23"
"01051129";"Wesselburenerkoog";"Gemeinden";"240,74";"296,09";"304,64";"230,77";"268,29";"263,47";"340,74";"478,14";"626,29"
"01051130";"Wesseln";"Gemeinden";"251,34";"269,26";"236,58";"208,21";"269,09";"350,49";"459,02";"580,09";"666,14"
"01051131";"Westerborstel";"Gemeinden";"267,44";"238,10";"210,53";"207,92";"384,62";"425,93";"534,34";"531,58";"577,82"
"01051132";"Westerdeichstrich";"Gemeinden";"243,06";"219,57";"182,82";"150,67";"191,24";"242,11";"275,65";"358,90";"440,73"
"01051133";"Wiemerstedt";"Gemeinden";"238,71";"211,76";"176,47";"186,75";"189,02";"292,99";"407,45";"424,75";"489,99"
"01051134";"Windbergen";"Gemeinden";"187,17";"162,94";"174,49";"150,00";"230,50";"263,61";"346,34";"372,27";"439,18"
"01051135";"Wolmersdorf";"Gemeinden";"299,36";"308,92";"281,35";"225,43";"342,42";"353,80";"460,40";"489,59";"535,02"
"01051136";"Wrohm";"Gemeinden";"226,39";"229,93";"215,03";"179,17";"237,17";"259,59";"378,63";"451,61";"488,60"
"01051137";"Nordermeldorf";"Gemeinden";"226,85";"214,07";"177,98";"140,27";"210,78";"320,47";"405,17";"433,92";"484,52"
"01051138";"Tensbüttel-Röst";"Gemeinden";"173,91";"144,31";"164,29";"154,07";"180,77";"211,94";"297,44";"377,56";"436,39"
"01051139";"Süderdorf";"Gemeinden";"158,85";"164,02";"147,58";"133,84";"192,61";"256,68";"377,86";"481,31";"508,22"
"01051140";"Oesterwurth";"Gemeinden";"188,74";"241,88";"200,00";"182,48";"270,99";"323,31";"440,22";"507,71";"625,57"
"01051141";"Süderheistedt";"Gemeinden";"246,02";"226,19";"218,24";"209,30";"239,86";"341,20";"440,89";"558,49";"600,64"
"01053001";"Albsfelde";"Gemeinden";"402,99";"322,58";"346,15";"322,03";"491,23";"527,78";"560,27";"600,77";"689,47"
"01053002";"Alt-Mölln";"Gemeinden";"231,69";"268,32";"258,29";"210,10";"306,67";"389,47";"477,69";"607,58";"671,91"
"01053003";"Aumühle";"Gemeinden";"590,09";"502,44";"464,97";"415,46";"509,43";"625,63";"776,52";"768,85";"847,26"
"01053004";"Bäk";"Gemeinden";"343,41";"325,35";"257,61";"239,90";"351,45";"384,62";"501,15";"613,06";"662,25"
"01053005";"Bälau";"Gemeinden";"301,26";"256,20";"264,23";"195,12";"278,48";"362,45";"478,08";"554,00";"607,45"
"01053006";"Basedow";"Gemeinden";"287,62";"252,54";"239,39";"221,08";"311,52";"364,19";"466,72";"486,06";"569,35"
"01053007";"Basthorst";"Gemeinden";"325,87";"287,44";"327,41";"307,29";"380,21";"401,48";"560,40";"558,47";"578,85"
"01053008";"Behlendorf";"Gemeinden";"235,14";"217,74";"257,06";"181,36";"266,15";"384,41";"448,84";"501,16";"562,38"
"01053009";"Berkenthin";"Gemeinden";"219,48";"205,23";"203,12";"177,34";"247,10";"309,89";"406,06";"481,27";"517,49"
"01053010";"Besenthal";"Gemeinden";"218,39";"211,27";"223,68";"184,21";"220,78";"253,01";"286,77";"361,33";"399,30"
"01053011";"Bliestorf";"Gemeinden";"287,72";"235,38";"240,60";"223,18";"287,37";"321,93";"387,07";"462,80";"548,59"
"01053012";"Börnsen";"Gemeinden";"473,59";"394,21";"341,88";"312,73";"407,43";"475,69";"601,12";"638,83";"730,90"
"01053013";"Borstorf";"Gemeinden";"276,45";"246,01";"220,06";"211,04";"266,89";"348,15";"347,95";"577,54";"659,50"
"01053014";"Breitenfelde";"Gemeinden";"300,06";"282,11";"241,40";"205,60";"310,40";"311,59";"411,92";"477,71";"520,60"
"01053015";"Bröthen";"Gemeinden";"295,15";"310,34";"286,82";"222,22";"386,28";"474,82";"543,83";"541,25";"628,92"
"01053016";"Brunsmark";"Gemeinden";"276,42";"283,33";"233,58";"157,89";"253,25";"355,70";"472,11";"442,81";"472,26"
"01053017";"Brunstorf";"Gemeinden";"337,78";"287,47";"230,77";"250,00";"349,53";"422,54";"468,85";"561,18";"588,50"
"01053018";"Buchholz";"Gemeinden";"378,26";"348,21";"352,94";"302,04";"425,53";"526,09";"668,03";"687,53";"761,25"
"01053019";"Buchhorst";"Gemeinden";"272,73";"318,92";"281,61";"253,25";"353,29";"347,56";"478,23";"560,60";"625,97"
"01053020";"Büchen";"Gemeinden";"281,13";"290,78";"259,82";"217,37";"285,33";"341,06";"426,75";"430,20";"476,61"
"01053021";"Dahmker";"Gemeinden";"352,46";"311,48";"343,28";"315,79";"493,59";"587,88";"760,27";"741,94";"777,94"
"01053022";"Dalldorf";"Gemeinden";"204,89";"165,19";"195,85";"177,46";"312,15";"384,20";"454,39";"509,70";"567,49"
"01053023";"Dassendorf";"Gemeinden";"383,56";"342,45";"348,70";"332,90";"444,88";"521,45";"647,98";"663,48";"739,98"
"01053024";"Düchelsdorf";"Gemeinden";"234,85";"220,69";"222,89";"192,55";"250,00";"355,26";"351,37";"461,92";"519,03"
"01053025";"Duvensee";"Gemeinden";"219,56";"190,02";"214,95";"199,26";"287,88";"324,77";"435,44";"493,49";"548,04"
"01053026";"Einhaus";"Gemeinden";"294,44";"330,46";"304,84";"248,73";"420,10";"437,99";"557,95";"593,39";"622,92"
"01053027";"Elmenhorst";"Gemeinden";"347,13";"282,47";"231,45";"221,98";"335,87";"385,50";"498,71";"560,09";"617,51"
"01053028";"Escheburg";"Gemeinden";"328,12";"293,19";"289,26";"294,27";"472,80";"586,38";"732,62";"730,67";"723,98"
"01053029";"Fitzen";"Gemeinden";"250,84";"213,87";"218,49";"209,37";"262,30";"350,57";"481,86";"495,55";"534,84"
"01053030";"Fredeburg";"Gemeinden";"291,67";"300,00";"225,81";"153,85";"270,27";"212,77";"352,39";"522,29";"558,36"
"01053031";"Fuhlenhagen";"Gemeinden";"257,63";"224,03";"249,18";"239,86";"280,82";"310,45";"296,88";"438,09";"515,40"
"01053032";"Geesthacht, Stadt";"Gemeinden";"335,15";"322,94";"290,12";"258,95";"317,07";"364,27";"445,74";"447,11";"475,53"
"01053033";"Giesensdorf";"Gemeinden";"140,00";"216,22";"237,62";"268,04";"344,09";"285,71";"420,44";"554,62";"558,79"
"01053034";"Göldenitz";"Gemeinden";"187,19";"222,75";"174,31";"196,43";"294,12";"372,29";"507,87";"575,61";"618,43"
"01053035";"Göttin";"Gemeinden";"543,48";"392,16";"434,78";"345,45";"540,00";"614,04";"555,37";"839,74";"811,70"
"01053036";"Grabau";"Gemeinden";"296,00";"307,69";"266,67";"293,29";"288,19";"295,82";"394,71";"520,64";"543,75"
"01053037";"Grambek";"Gemeinden";"355,98";"328,08";"298,25";"248,76";"294,12";"373,21";"468,58";"566,62";"555,27"
"01053038";"Grinau";"Gemeinden";"202,09";"193,10";"193,88";"140,19";"195,27";"272,13";"288,62";"306,20";"386,10"
"01053039";"Groß Boden";"Gemeinden";"248,80";"344,50";"317,54";"273,58";"350,23";"472,08";"603,00";"576,85";"586,09"
